Quarter,Time,Tm,Detail,LAR,ARI
1.0,13:25,Cardinals,Dan Arnold 59 yard pass from Kyler Murray (Zane Gonzalez kick),0,7
2.0,10:35,Rams,Cam Akers 9 yard rush (Matt Gay kick),7,7
,0:51,Rams,Tyler Higbee 1 yard pass from Jared Goff (Matt Gay kick),14,7
3.0,10:26,Rams,Matt Gay 39 yard field goal,17,7
,4:03,Cardinals,DeAndre Hopkins 4 yard pass from Kyler Murray (Zane Gonzalez kick),17,14
4.0,14:52,Rams,Jared Goff 1 yard rush (Matt Gay kick),24,14
,13:21,Cardinals,Kenyan Drake 4 yard rush (Zane Gonzalez kick),24,21
,10:07,Rams,Darrell Henderson 38 yard rush (Matt Gay kick),31,21
,4:33,Rams,Troy Hill 35 yard interception return (Matt Gay kick),38,21
,2:04,Cardinals,Dan Arnold 2 yard pass from Kyler Murray (Zane Gonzalez kick),38,28
