Unnamed: 0,SDG,DEN
First Downs,25,13
Rush-Yds-TDs,43-206-1,23-162-1
Cmp-Att-Yd-TD-INT,18-29-250-1-1,10-23-113-1-1
Sacked-Yards,5-38,0-0
Net Pass Yards,212,113
Total Yards,418,275
Fumbles-Lost,2-1,0-0
Turnovers,2,1
Penalties-Yards,0-0,4-53
Third Down Conv.,8-16,2-9
Fourth Down Conv.,0-0,0-0
Time of Possession,40:08,19:52
