Quarter,Time,Tm,Detail,SDG,DEN
1.0,8:37,Chargers,Nick Novak 24 yard field goal,3,0
,5:58,Broncos,Cassius Vaughn 55 yard interception return (Matt Prater kick),3,7
,0:45,Chargers,Nick Novak 32 yard field goal,6,7
2.0,11:10,Broncos,Matt Prater 35 yard field goal,6,10
,7:19,Chargers,Philip Rivers 2 yard rush (Nick Novak kick),13,10
,1:47,Chargers,Nick Novak 28 yard field goal,16,10
,0:13,Chargers,Malcom Floyd 42 yard pass from Philip Rivers (Nick Novak kick),23,10
4.0,13:35,Chargers,Nick Novak 51 yard field goal,26,10
,6:35,Broncos,Tim Tebow 12 yard rush (Willis McGahee run),26,18
,3:19,Broncos,Knowshon Moreno 28 yard pass from Tim Tebow (pass failed),26,24
,0:24,Chargers,Nick Novak 35 yard field goal,29,24
