Unnamed: 0,GNB,DEN
First Downs,14,24
Rush-Yds-TDs,21-90-1,34-160-3
Cmp-Att-Yd-TD-INT,14-22-77-0-0,21-29-340-0-1
Sacked-Yards,3-27,0-0
Net Pass Yards,50,340
Total Yards,140,500
Fumbles-Lost,3-0,0-0
Turnovers,0,1
Penalties-Yards,2-15,11-93
Third Down Conv.,2-8,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,26:33,33:27
