Unnamed: 0,SEA,CHI
First Downs,20,15
Rush-Yds-TDs,31-111-2,14-61-1
Cmp-Att-Yd-TD-INT,25-40-242-1-0,17-39-290-0-0
Sacked-Yards,0-0,6-44
Net Pass Yards,242,246
Total Yards,353,307
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,5-83,2-18
Third Down Conv.,7-18,0-12
Fourth Down Conv.,0-0,1-1
Time of Possession,34:23,25:37
