Unnamed: 0,OAK,MIA
First Downs,14,21
Rush-Yds-TDs,12-56-0,33-121-1
Cmp-Att-Yd-TD-INT,17-31-204-1-1,21-32-237-1-0
Sacked-Yards,5-42,3-24
Net Pass Yards,162,213
Total Yards,218,334
Fumbles-Lost,4-1,1-1
Turnovers,2,1
Penalties-Yards,9-55,4-30
Third Down Conv.,2-10,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,23:07,36:53
