Unnamed: 0,BAL,MIN
First Downs,16,17
Rush-Yds-TDs,20-64-0,33-169-1
Cmp-Att-Yd-TD-INT,27-39-186-1-0,20-31-188-0-1
Sacked-Yards,5-42,0-0
Net Pass Yards,144,188
Total Yards,208,357
Fumbles-Lost,3-0,0-0
Turnovers,0,1
Penalties-Yards,3-15,4-47
Third Down Conv.,6-16,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,27:59,32:01
