Quarter,Time,Down,ToGo,Location,BAL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,BAL 25,0,0,Alex Collins middle for 5 yards (tackle by Everson Griffen),0.610,0.740
1,14:24,2,5,BAL 30,0,0,Vince Mayle right end for no gain (tackle by Anthony Barr),0.740,0.040
1,13:41,3,5,BAL 30,0,0,Joe Flacco sacked by Danielle Hunter for -8 yards,0.040,-1.900
1,13:08,4,13,BAL 22,0,0,"Sam Koch punts 60 yards, returned by Marcus Sherels for 46 yards (tackle by Anthony Levine)",-1.900,-3.180
1,12:53,1,10,BAL 36,0,0,Case Keenum pass incomplete deep right intended for Laquon Treadwell is intercepted by Brandon Carr at BAL-2 and returned for 33 yards,3.180,-1.270
1,12:41,1,10,BAL 35,0,0,Alex Collins right guard for no gain (tackle by Shamar Stephen and Ben Gedeon),1.270,0.720
1,12:07,2,10,BAL 35,0,0,"Joe Flacco pass complete short right to Mike Wallace for 9 yards. Penalty on Andrew Sendejo: Unnecessary Roughness, 18 yards",0.720,3.050
1,11:54,1,10,MIN 38,0,0,Joe Flacco pass complete short right to Griff Whalen for 2 yards (tackle by Trae Waynes),3.050,2.780
1,11:21,2,8,MIN 36,0,0,Alex Collins left end for 4 yards (tackle by Everson Griffen),2.780,2.610
1,10:36,3,4,MIN 32,0,0,Joe Flacco pass complete short right to Michael Campanaro for 6 yards (tackle by Andrew Sendejo),2.610,3.840
1,9:58,1,10,MIN 26,0,0,"Joe Flacco for no gain. Joe Flacco fumbles, recovered by Joe Flacco at MIN-29",3.840,2.890
1,9:21,2,13,MIN 29,0,0,Joe Flacco pass complete short right to Javorius Allen for -1 yards (tackle by Eric Kendricks),2.890,2.080
1,8:38,3,14,MIN 30,0,0,Joe Flacco pass incomplete short right intended for Nick Boyle,2.080,1.410
1,8:34,4,14,MIN 30,3,0,Justin Tucker 48 yard field goal good,1.410,3.000
1,8:30,,,BAL 35,3,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,8:30,1,10,MIN 25,3,0,Latavius Murray left guard for -3 yards (tackle by Brandon Williams),0.610,-0.340
1,7:56,2,13,MIN 22,3,0,Case Keenum pass complete short left to C.J. Ham for 12 yards (tackle by Patrick Onwuasor),-0.340,0.560
1,7:25,3,1,MIN 34,3,0,Case Keenum pass complete short right to Adam Thielen for 4 yards (tackle by Brandon Carr),0.560,1.470
1,6:48,1,10,MIN 38,3,0,Case Keenum pass incomplete short right intended for Adam Thielen (defended by Brandon Williams),1.470,0.920
1,6:44,2,10,MIN 38,3,0,Jerick McKinnon middle for 5 yards (tackle by Brandon Williams),0.920,0.890
1,6:06,3,5,MIN 43,3,0,Case Keenum pass complete short left to Jarius Wright for 12 yards (tackle by Lardarius Webb),0.890,2.590
1,5:47,1,10,BAL 45,3,0,Jerick McKinnon left tackle for 1 yard (tackle by Lardarius Webb),2.590,2.180
1,5:26,2,9,BAL 44,3,0,Jerick McKinnon middle for -1 yards (tackle by Michael Pierce and Tony Jefferson),2.180,1.360
1,4:45,3,10,BAL 45,3,0,"Case Keenum pass incomplete deep left intended for Laquon Treadwell. Penalty on Matt Judon: Illegal Use of Hands, 5 yards (no play)",1.360,2.920
1,4:39,1,10,BAL 40,3,0,Latavius Murray right guard for 6 yards (tackle by Tony Jefferson and Za'Darius Smith),2.920,3.180
1,3:55,2,4,BAL 34,3,0,Case Keenum pass incomplete short middle intended for Kyle Rudolph,3.180,2.480
1,3:50,3,4,BAL 34,3,0,Case Keenum pass incomplete deep left intended for Adam Thielen,2.480,1.080
1,3:44,4,4,BAL 34,3,3,Kai Forbath 52 yard field goal good,1.080,3.000
1,3:39,,,MIN 35,3,3,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
1,3:39,1,10,BAL 25,3,3,Javorius Allen right guard for 1 yard (tackle by Linval Joseph and Shamar Stephen),0.610,0.200
1,3:02,2,9,BAL 26,3,3,Joe Flacco pass complete short left to Ben Watson for 1 yard (tackle by Anthony Barr),0.200,-0.360
1,2:20,3,8,BAL 27,3,3,"Joe Flacco pass incomplete short right intended for Chris Moore. Penalty on Tom Johnson: Roughing the Passer, 14 yards (no play)",-0.360,1.660
1,2:15,1,10,BAL 41,3,3,Alex Collins left end for -1 yards (tackle by Linval Joseph),1.660,0.990
1,1:35,2,11,BAL 40,3,3,Joe Flacco pass incomplete short left intended for Javorius Allen (defended by Anthony Barr),0.990,0.300
1,1:31,3,11,BAL 40,3,3,Joe Flacco sacked by Tom Johnson for -7 yards,0.300,-1.180
1,0:58,4,18,BAL 33,3,3,"Sam Koch punts 38 yards, out of bounds",-1.180,-0.870
1,0:45,1,10,MIN 29,3,3,Latavius Murray middle for 7 yards (tackle by Brandon Carr and C.J. Mosley),0.870,1.270
1,0:25,2,3,MIN 36,3,3,Case Keenum pass complete short right to Adam Thielen for 13 yards (tackle by Brandon Carr),1.270,2.190
Quarter,Time,Down,ToGo,Location,BAL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 49,3,3,Latavius Murray right guard for 8 yards (tackle by Chris Wormley),2.190,2.730
2,14:28,2,2,BAL 43,3,3,Latavius Murray left guard for 3 yards (tackle by Terrell Suggs),2.730,2.920
2,13:52,1,10,BAL 40,3,3,Case Keenum pass incomplete deep right intended for Jarius Wright,2.920,2.370
2,13:46,2,10,BAL 40,3,3,Case Keenum pass incomplete deep left intended for Kyle Rudolph (defended by Lardarius Webb),2.370,1.680
2,13:40,3,10,BAL 40,3,3,Case Keenum pass complete short left to Laquon Treadwell for 7 yards (tackle by Jimmy Smith),1.680,1.190
2,13:00,4,3,BAL 33,3,6,Kai Forbath 51 yard field goal good,1.190,3.000
2,12:55,,,MIN 35,3,6,"Kai Forbath kicks off 51 yards, returned by Vince Mayle for 14 yards (tackle by C.J. Ham)",0.000,-0.810
