Unnamed: 0,BAL,CIN
First Downs,21,33
Rush-Yds-TDs,16-39-1,21-77-1
Cmp-Att-Yd-TD-INT,28-40-304-2-1,37-46-525-4-0
Sacked-Yards,1-9,3-27
Net Pass Yards,295,498
Total Yards,334,575
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,6-27,5-45
Third Down Conv.,6-11,5-10
Fourth Down Conv.,0-1,2-2
Time of Possession,22:57,37:03
