Quarter,Time,Tm,Detail,BAL,CIN
1.0,11:06,Bengals,Evan McPherson 30 yard field goal,0,3
,5:56,Ravens,Rashod Bateman 4 yard pass from Josh Johnson (Justin Tucker kick),7,3
,0:27,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),7,10
2.0,13:18,Bengals,Tyler Boyd 68 yard pass from Joe Burrow (Evan McPherson kick),7,17
,7:03,Bengals,Joe Mixon 9 yard pass from Joe Burrow (Evan McPherson kick),7,24
,1:38,Ravens,Devonta Freeman 2 yard rush (Justin Tucker kick),14,24
,0:21,Bengals,Tee Higgins 1 yard pass from Joe Burrow (Evan McPherson kick),14,31
3.0,0:40,Bengals,Evan McPherson 36 yard field goal,14,34
4.0,14:55,Ravens,Mark Andrews 18 yard pass from Josh Johnson (Justin Tucker kick),21,34
,10:05,Bengals,Tee Higgins 10 yard pass from Joe Burrow (Evan McPherson kick),21,41
