Unnamed: 0,PIT,ATL
First Downs,22,18
Rush-Yds-TDs,37-154-0,28-146-0
Cmp-Att-Yd-TD-INT,16-28-197-1-0,13-24-167-1-1
Sacked-Yards,0-0,1-7
Net Pass Yards,197,160
Total Yards,351,306
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,7-30,6-48
Third Down Conv.,6-12,3-10
Fourth Down Conv.,0-0,1-1
Time of Possession,32:55,27:05
