Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Najee Harris right end for 6 yards (tackle by Jaylinn Hawkins and Adetokunbo Ogundeji),0.610,0.870
1,14:25,2,4,PIT 31,0,0,Najee Harris right guard for 3 yards (tackle by Mykal Walker and Darren Hall),0.870,0.560
1,13:48,3,1,PIT 34,0,0,Derek Watt right guard for 4 yards (tackle by Adetokunbo Ogundeji),0.560,1.470
1,13:12,1,10,PIT 38,0,0,Kenny Pickett pass complete short right to Diontae Johnson for 7 yards (tackle by Timmy Horne),1.470,1.870
1,12:32,2,3,PIT 45,0,0,Kenny Pickett pass incomplete short right intended for Diontae Johnson,1.870,1.160
1,12:27,3,3,PIT 45,0,0,Kenny Pickett pass complete short left to Pat Freiermuth for 10 yards (tackle by Richie Grant and Isaiah Oliver),1.160,2.590
1,11:50,1,10,ATL 45,0,0,"Penalty on Dan Moore: False Start, 5 yards (accepted) (no play)",2.590,2.260
1,11:20,1,15,ATL 50,0,0,"Kenny Pickett pass complete to Steven Sims for 21 yards ATL challenged the pass completion ruling, and the original play was overturned. Kenny Pickett pass incomplete deep right intended for Steven Sims",2.260,1.370
1,11:32,2,15,ATL 50,0,0,Kenny Pickett pass complete short middle to Jaylen Warren for 7 yards (tackle by Rashaan Evans and Mykal Walker),1.370,1.620
1,10:53,3,8,ATL 43,0,0,Kenny Pickett pass complete short right to Pat Freiermuth for 9 yards (tackle by DeAundre Alford and Richie Grant),1.620,3.310
1,10:14,1,10,ATL 34,0,0,Najee Harris left tackle for 4 yards (tackle by Richie Grant and Darren Hall),3.310,3.310
1,9:35,2,6,ATL 30,0,0,Najee Harris left end for 5 yards (tackle by DeAngelo Malone and Mykal Walker),3.310,3.270
1,9:09,3,1,ATL 25,0,0,Kenny Pickett right guard for 2 yards (tackle by Rashaan Evans),3.270,4.040
1,8:31,1,10,ATL 23,0,0,Kenny Pickett right tackle for -5 yards (tackle by Richie Grant),4.040,2.820
1,7:49,2,15,ATL 28,0,0,Kenny Pickett pass incomplete short left intended for George Pickens,2.820,2.150
1,7:42,3,15,ATL 28,0,0,Kenny Pickett pass incomplete short left intended for Pat Freiermuth,2.150,1.590
1,7:38,4,15,ATL 28,3,0,Matthew Wright 46 yard field goal good,1.590,3.000
1,7:33,,,PIT 35,3,0,"Matthew Wright kicks off 54 yards, returned by Keith Smith for 10 yards (tackle by Derek Watt)",0.000,0.340
1,7:28,1,10,ATL 21,3,0,Marcus Mariota pass complete short right to Drake London for 11 yards (tackle by Cameron Sutton),0.340,1.070
1,6:51,1,10,ATL 32,3,0,Marcus Mariota pass complete short left to Olamide Zaccheaus for 3 yards (tackle by Devin Bush),1.070,0.930
1,6:12,2,7,ATL 35,3,0,Cordarrelle Patterson left end for 7 yards (tackle by Minkah Fitzpatrick),0.930,1.730
1,5:33,1,10,ATL 42,3,0,Marcus Mariota pass incomplete short middle intended for Drake London,1.730,1.190
1,5:28,2,10,ATL 42,3,0,"Caleb Huntley right tackle for 5 yards (tackle by Levi Wallace). Penalty on Feleipe Franks: Offensive Holding, 10 yards (accepted)",1.190,0.510
1,4:56,2,15,ATL 37,3,0,Marcus Mariota pass incomplete deep right intended for KhaDarel Hodge,0.510,-0.160
1,4:54,3,15,ATL 37,3,0,"Penalty on Jake Matthews: False Start, 5 yards (accepted) (no play)",-0.160,-0.820
1,4:54,3,20,ATL 32,3,0,Marcus Mariota pass complete short right to Damiere Byrd for 12 yards (tackle by Cameron Sutton),-0.820,-0.460
1,4:10,4,8,ATL 44,3,0,"Bradley Pinion punts 42 yards, recovered by Steven Sims at PIT-14 (tackle by Mike Ford)",-0.460,0.280
1,3:57,1,10,PIT 14,3,0,Kenny Pickett scrambles right end for 9 yards (tackle by Adetokunbo Ogundeji),-0.280,0.550
1,3:11,2,1,PIT 23,3,0,Najee Harris left tackle for 5 yards (tackle by Darren Hall),0.550,0.810
1,2:26,1,10,PIT 28,3,0,Kenny Pickett pass complete short right to Derek Watt for 3 yards,0.810,0.670
1,1:49,2,7,PIT 31,3,0,Steven Sims right end for 10 yards (tackle by AJ Terrell),0.670,1.660
1,1:22,1,10,PIT 41,3,0,Benny Snell left tackle for 4 yards (tackle by Mykal Walker and Matt Dickerson),1.660,1.660
1,0:43,2,6,PIT 45,3,0,Kenny Pickett pass complete short right to Diontae Johnson for 9 yards (tackle by Darren Hall),1.660,2.520
1,0:12,1,10,ATL 46,3,0,Benny Snell left tackle for 6 yards (tackle by Quinton Bell and Isaiah Oliver),2.520,2.790
Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,ATL 40,3,0,Najee Harris left end for 13 yards (tackle by AJ Terrell),2.790,3.780
2,14:27,1,10,ATL 27,3,0,Najee Harris left end for -1 yards (tackle by Adetokunbo Ogundeji and Abdullah Anderson),3.780,3.100
2,13:49,2,11,ATL 28,3,0,Kenny Pickett pass incomplete deep middle intended for Pat Freiermuth,3.100,2.410
2,13:44,3,11,ATL 28,3,0,Kenny Pickett pass incomplete short middle intended for Diontae Johnson,2.410,1.590
2,13:39,4,11,ATL 28,6,0,Matthew Wright 46 yard field goal good,1.590,3.000
2,13:34,,,PIT 35,6,0,"Matthew Wright kicks off 64 yards, returned by Avery Williams for 25 yards (tackle by Benny Snell)",0.000,0.670
2,13:27,1,10,ATL 26,6,0,Tyler Allgeier right tackle for 20 yards (tackle by Minkah Fitzpatrick),0.670,1.990
2,12:50,1,10,ATL 46,6,0,Tyler Allgeier left tackle for 3 yards (tackle by Larry Ogunjobi and Tyson Alualu),1.990,1.860
2,12:11,2,7,ATL 49,6,0,Marcus Mariota pass complete short right to Parker Hesse for 16 yards (tackle by Myles Jack and Minkah Fitzpatrick),1.860,3.250
2,11:34,1,10,PIT 35,6,0,Marcus Mariota pass complete short right to Drake London for 13 yards (tackle by Damontae Kazee),3.250,4.110
2,10:52,1,10,PIT 22,6,0,Cordarrelle Patterson right tackle for -3 yards (tackle by Larry Ogunjobi),4.110,3.160
2,10:11,2,13,PIT 25,6,0,Marcus Mariota pass incomplete short middle intended for Drake London,3.160,2.480
2,10:05,3,13,PIT 25,6,0,Marcus Mariota sacked by Cameron Heyward for -7 yards,2.480,1.240
2,9:20,4,20,PIT 32,6,3,Younghoe Koo 50 yard field goal good,1.240,3.000
2,9:15,,,ATL 35,6,3,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,9:15,1,10,PIT 25,6,3,Kenny Pickett pass incomplete deep left intended for Diontae Johnson,0.610,0.060
2,9:09,2,10,PIT 25,6,3,Najee Harris left tackle for 6 yards (tackle by Adetokunbo Ogundeji and Rashaan Evans),0.060,0.170
2,8:28,3,4,PIT 31,6,3,Kenny Pickett pass complete short left to Pat Freiermuth for 57 yards (tackle by DeAundre Alford and Rashaan Evans),0.170,4.780
2,7:34,1,10,ATL 12,6,3,"Penalty on Kevin Dotson: False Start, 5 yards (accepted) (no play)",4.780,4.320
2,7:12,1,15,ATL 17,12,3,"Kenny Pickett pass complete deep middle to Connor Heyward for 17 yards, touchdown",4.320,7.000
2,7:06,,,ATL 15,13,3,Matthew Wright kicks extra point good,0.000,0.000
2,7:06,,,PIT 35,13,3,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
2,7:06,1,10,ATL 25,13,3,"Marcus Mariota pass complete deep right to Drake London for 37 yards (tackle by Levi Wallace). Penalty on Levi Wallace: Illegal Contact, 5 yards (declined)",0.610,3.050
2,6:55,1,10,PIT 38,13,3,Cordarrelle Patterson right end for -4 yards (tackle by Minkah Fitzpatrick),3.050,1.970
2,6:00,2,14,PIT 42,13,3,Marcus Mariota pass incomplete deep left intended for KhaDarel Hodge (defended by Cameron Sutton),1.970,1.290
2,5:55,3,14,PIT 42,13,3,Marcus Mariota pass complete short middle to Anthony Firkser for 9 yards (tackle by Minkah Fitzpatrick),1.290,1.170
2,5:11,4,5,PIT 33,13,6,Younghoe Koo 51 yard field goal good,1.170,3.000
2,5:05,,,ATL 35,13,6,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,5:05,1,10,PIT 25,13,6,Kenny Pickett pass complete deep right to Diontae Johnson for 20 yards (tackle by Darren Hall),0.610,1.930
2,4:35,1,10,PIT 45,13,6,Steven Sims right end for 6 yards (tackle by Jaylinn Hawkins),1.930,2.190
2,3:51,2,4,ATL 49,13,6,Jaylen Warren left guard for 5 yards (tackle by DeAngelo Malone and Troy Andersen),2.190,2.650
2,3:15,1,10,ATL 44,13,6,Kenny Pickett scrambles right end for 5 yards (tackle by Troy Andersen),2.650,2.780
2,2:34,2,5,ATL 39,13,6,Kenny Pickett pass complete short left to Najee Harris for 6 yards (tackle by Jaylinn Hawkins and Rashaan Evans),2.780,3.380
2,2:00,1,10,ATL 33,13,6,Steven Sims left end for 3 yards (tackle by Mykal Walker),3.380,3.240
2,1:53,,,,,,Timeout #1 by Atlanta Falcons,,
2,1:53,2,7,ATL 30,13,6,Kenny Pickett pass incomplete short left,3.240,2.540
2,1:45,3,7,ATL 30,13,6,Kenny Pickett pass incomplete short right intended for Steven Sims. Penalty on Steven Sims: Illegal Touch Pass (accepted),2.540,1.410
2,1:34,4,7,ATL 30,16,6,Matthew Wright 48 yard field goal good,1.410,3.000
2,1:29,,,PIT 35,16,6,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
