Quarter,Time,Tm,Detail,PIT,ATL
1.0,7:33,Steelers,Matthew Wright 46 yard field goal,3,0
2.0,13:34,Steelers,Matthew Wright 46 yard field goal,6,0
,9:15,Falcons,Younghoe Koo 50 yard field goal,6,3
,7:06,Steelers,Connor Heyward 17 yard pass from Kenny Pickett (Matthew Wright kick),13,3
,5:05,Falcons,Younghoe Koo 51 yard field goal,13,6
,1:29,Steelers,Matthew Wright 48 yard field goal,16,6
3.0,4:46,Steelers,Matthew Wright 33 yard field goal,19,6
,0:43,Falcons,MyCole Pruitt 7 yard pass from Marcus Mariota (Younghoe Koo kick),19,13
4.0,5:27,Falcons,Younghoe Koo 28 yard field goal,19,16
