Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Diontae Johnson,PIT,11,5,60,0,4,40,8.0,20,4.0,11.4,0,,2,18.2,0,62.7
Pat Freiermuth,PIT,5,3,76,0,3,23,7.7,53,17.7,12.4,2,1.5,0,0.0,0,104.2
Jaylen Warren,PIT,2,2,14,0,0,-1,-0.5,15,7.5,-0.5,0,,0,0.0,0,95.8
Derek Watt,PIT,1,1,3,0,0,4,4.0,-1,-1.0,4.0,0,,0,0.0,0,79.2
Zach Gentry,PIT,1,1,8,0,,5,5.0,3,3.0,5.0,0,,0,0.0,0,100.0
Najee Harris,PIT,1,1,6,0,1,-1,-1.0,7,7.0,-1.0,0,,0,0.0,0,91.7
Connor Heyward,PIT,1,1,17,1,1,17,17.0,0,0.0,17.0,0,,0,0.0,0,158.3
Benny Snell Jr.,PIT,1,1,11,0,1,3,3.0,8,8.0,3.0,0,,0,0.0,0,112.5
George Pickens,PIT,2,1,2,0,,2,2.0,0,0.0,6.0,0,,0,0.0,0,56.2
Steven Sims,PIT,2,0,0,0,0,0,,0,,14.0,0,,1,50.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Drake London,ATL,12,6,95,0,5,78,13.0,17,2.8,14.7,0,,1,8.3,1,42.0
Olamide Zaccheaus,ATL,5,2,13,0,1,12,6.0,1,0.5,20.6,1,2.0,0,0.0,0,47.9
Anthony Firkser,ATL,2,2,24,0,1,19,9.5,5,2.5,9.5,0,,0,0.0,0,116.7
MyCole Pruitt,ATL,1,1,7,1,1,2,2.0,5,5.0,2.0,0,,0,0.0,0,135.4
Parker Hesse,ATL,1,1,16,0,1,5,5.0,11,11.0,5.0,0,,0,0.0,0,118.7
Damiere Byrd,ATL,1,1,12,0,,8,8.0,4,4.0,8.0,0,,0,0.0,0,116.7
KhaDarel Hodge,ATL,2,0,0,0,,0,,0,,32.5,0,,0,0.0,0,39.6
