Quarter,Time,Tm,Detail,NOR,MIN
1.0,14:47,Vikings,Travis Taylor 24 yard pass from Daunte Culpepper (Paul Edinger kick),0,7
,7:18,Vikings,Paul Edinger 24 yard field goal,0,10
,0:33,Vikings,Travis Taylor 13 yard pass from Daunte Culpepper (Paul Edinger kick),0,17
2.0,5:37,Vikings,Troy Williamson 53 yard pass from Daunte Culpepper (Paul Edinger kick),0,24
,1:54,Saints,Ernie Conwell 13 yard pass from Aaron Brooks (pass failed),6,24
3.0,5:38,Saints,John Carney 22 yard field goal,9,24
4.0,11:40,Saints,Deuce McAllister 1 yard rush (John Carney kick),16,24
,6:17,Vikings,Paul Edinger 28 yard field goal,16,27
,4:29,Vikings,Paul Edinger 48 yard field goal,16,30
,1:08,Vikings,Paul Edinger 34 yard field goal,16,33
