Unnamed: 0,NOR,MIN
First Downs,15,21
Rush-Yds-TDs,20-114-1,39-146-0
Cmp-Att-Yd-TD-INT,12-32-199-1-2,21-29-300-3-0
Sacked-Yards,3-17,6-26
Net Pass Yards,182,274
Total Yards,296,420
Fumbles-Lost,2-2,0-0
Turnovers,4,0
Penalties-Yards,14-84,8-60
Third Down Conv.,2-12,6-17
Fourth Down Conv.,0-1,0-0
Time of Possession,21:47,38:13
