Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,KAN 25,0,0,Patrick Mahomes pass incomplete short right intended for Noah Gray,0.610,0.060
1,14:55,2,10,KAN 25,0,0,Patrick Mahomes sacked by Haason Reddick for -9 yards,0.060,-2.140
1,14:13,3,19,KAN 16,0,0,Patrick Mahomes pass complete short right to Jerick McKinnon for 4 yards (tackle by Bradley Roby),-2.140,-2.030
1,13:39,4,15,KAN 20,0,0,Tommy Townsend punts 37 yards out of bounds,-2.030,-1.800
1,13:31,1,10,PHI 43,0,0,D'Andre Swift right end for 3 yards (tackle by Drue Tranquill),1.800,1.660
1,12:50,2,7,PHI 46,0,0,D'Andre Swift left end for 1 yard (tackle by Leo Chenal),1.660,1.090
1,12:06,3,6,PHI 47,0,0,Jalen Hurts sacked by Trent McDuffie for -7 yards,1.090,-0.720
1,11:30,4,13,PHI 40,0,0,Braden Mann punts 40 yards downed by Ben VanSumeren,-0.720,-0.280
1,11:17,1,10,KAN 20,0,0,Isiah Pacheco right guard for 3 yards (tackle by Milton Williams and Fletcher Cox),0.280,0.140
1,10:44,2,7,KAN 23,0,0,Isiah Pacheco right end for 24 yards (tackle by Reed Blankenship),0.140,2.060
1,10:25,1,10,KAN 47,0,0,Kadarius Toney right end for 14 yards (tackle by Darius Slay and Reed Blankenship),2.060,2.980
1,9:46,1,10,PHI 39,0,0,Patrick Mahomes pass complete short right to Mecole Hardman for 5 yards (tackle by Darius Slay),2.980,3.120
1,9:09,2,5,PHI 34,0,0,Isiah Pacheco right end for -2 yards (tackle by Milton Williams),3.120,2.150
1,8:28,3,7,PHI 36,0,0,Patrick Mahomes pass complete short middle to Kadarius Toney for 7 yards (tackle by Bradley Roby),2.150,3.640
1,7:56,1,10,PHI 29,0,0,"Penalty on Josh Sweat: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.640,4.370
1,7:39,1,5,PHI 24,0,0,Patrick Mahomes pass complete short right to Rashee Rice for 14 yards (tackle by Kevin Byard),4.370,4.910
1,6:58,1,10,PHI 10,0,0,Kadarius Toney left end for no gain (tackle by Haason Reddick and Josh Sweat),4.910,4.190
1,6:19,2,10,PHI 10,0,0,Isiah Pacheco right end for 7 yards (tackle by Nicholas Morrow),4.190,4.720
1,5:40,3,3,PHI 3,0,6,"Patrick Mahomes pass complete short left to Justin Watson for 3 yards, touchdown",4.720,7.000
1,5:34,,,PHI 15,0,7,Harrison Butker kicks extra point good,0.000,0.000
1,5:34,,,KAN 35,0,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,5:34,1,10,PHI 25,0,7,Jalen Hurts pass complete deep right to DeVonta Smith for 20 yards,0.610,1.930
1,4:54,1,10,PHI 45,0,7,D'Andre Swift left guard for 7 yards (tackle by Bryan Cook and L'Jarius Sneed),1.930,2.330
1,4:07,2,3,KAN 48,0,7,Jalen Hurts left end for 6 yards (tackle by Justin Reid),2.330,2.790
1,3:31,,,,,,Timeout #1 by Kansas City Chiefs,,
1,3:31,1,10,KAN 42,0,7,D'Andre Swift up the middle for 3 yards (tackle by Matt Dickerson and Drue Tranquill),2.790,2.650
1,2:53,2,7,KAN 39,0,7,"Jalen Hurts pass complete short right to D'Andre Swift for no gain (tackle by Drue Tranquill). Penalty on L'Jarius Sneed: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",2.650,3.310
1,2:33,1,10,KAN 34,0,7,D'Andre Swift left guard for 2 yards (tackle by Michael Danna),3.310,3.040
1,2:04,2,8,KAN 32,0,7,Jalen Hurts pass complete short left to DeVonta Smith for 11 yards (tackle by Justin Reid),3.040,4.170
1,1:18,1,10,KAN 21,0,7,Jalen Hurts pass incomplete deep right,4.170,3.630
1,1:11,2,10,KAN 21,0,7,D'Andre Swift left end for 17 yards (tackle by Michael Danna),3.630,6.280
1,0:36,1,4,KAN 4,6,7,"D'Andre Swift right end for 4 yards, touchdown",6.280,7.000
1,0:31,,,KAN 15,7,7,Jake Elliott kicks extra point good,0.000,0.000
1,0:31,,,PHI 35,7,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,0:31,1,10,KAN 25,7,7,Isiah Pacheco left tackle for no gain (tackle by Milton Williams and Jordan Davis),0.610,0.060
Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,KAN 25,7,7,Isiah Pacheco left end for 1 yard (tackle by Josh Sweat),0.060,-0.490
2,14:22,3,9,KAN 26,7,7,"Patrick Mahomes scrambles up the middle for 2 yards (tackle by Jalen Carter). Penalty on Donovan Smith: Offensive Holding, 10 yards (declined)",-0.490,-1.500
2,14:12,4,7,KAN 28,7,7,"Tommy Townsend punts 41 yards, returned by Britain Covey for 8 yards (tackle by Noah Gray)",-1.500,-1.530
2,14:02,1,10,PHI 39,7,7,Jalen Hurts pass complete short right to A.J. Brown for 8 yards (tackle by L'Jarius Sneed),1.530,2.070
2,13:26,2,2,PHI 47,7,7,Boston Scott right tackle for 4 yards (tackle by Felix Anudike-Uzomah and Drue Tranquill),2.070,2.320
2,12:43,1,10,KAN 49,7,7,Kenneth Gainwell left guard for 1 yard (tackle by Willie Gay),2.320,1.920
2,11:59,2,9,KAN 48,7,7,Jalen Hurts pass deep left intended for A.J. Brown is intercepted by L'Jarius Sneed at KC-30 and returned for no gain (tackle by A.J. Brown),1.920,-0.940
2,11:55,1,10,KAN 30,7,7,Patrick Mahomes scrambles right guard for 3 yards (tackle by Kevin Byard),0.940,0.800
2,11:16,2,7,KAN 33,7,7,Patrick Mahomes scrambles right end for 3 yards (tackle by Zach Cunningham),0.800,0.500
2,10:32,3,4,KAN 36,7,7,Patrick Mahomes pass complete short right to Justin Watson for 13 yards (tackle by Sydney Brown),0.500,2.190
2,9:53,1,10,KAN 49,7,7,Isiah Pacheco right guard for 9 yards (tackle by Reed Blankenship),2.190,2.860
2,9:15,2,1,PHI 42,7,7,Isiah Pacheco left guard for 2 yards (tackle by Milton Williams),2.860,2.920
2,8:33,1,10,PHI 40,7,7,Patrick Mahomes pass complete short middle to Travis Kelce for 7 yards (tackle by Kevin Byard),2.920,3.320
2,7:56,2,3,PHI 33,7,7,Patrick Mahomes scrambles right end for 7 yards (tackle by Darius Slay),3.320,3.840
2,7:25,1,10,PHI 26,7,7,Clyde Edwards-Helaire left end for 12 yards (tackle by Nicholas Morrow),3.840,4.650
2,6:51,,,,,,Timeout #2 by Kansas City Chiefs,,
2,6:51,1,10,PHI 14,7,7,Patrick Mahomes pass short left intended for Justin Watson is intercepted by Kevin Byard in end zone and returned for no gain,4.650,-0.280
2,6:45,1,10,PHI 20,7,7,D'Andre Swift right guard for 10 yards (tackle by Charles Omenihu),0.280,0.940
2,6:08,1,10,PHI 30,7,7,Jalen Hurts sacked by Chris Jones for -7 yards,0.940,-0.550
2,5:23,2,17,PHI 23,7,7,Jalen Hurts pass complete short right to Jack Stoll for 3 yards (tackle by Leo Chenal),-0.550,-0.820
2,4:37,3,14,PHI 26,7,7,Jalen Hurts sacked by Chris Jones for -3 yards,-0.820,-1.830
2,4:04,4,17,PHI 23,7,7,"Braden Mann punts 43 yards, returned by Kadarius Toney for 21 yards (tackle by Sydney Brown)",-1.830,-2.590
2,3:49,1,10,PHI 45,7,7,Isiah Pacheco right guard for 3 yards (tackle by Zach Cunningham),2.590,2.450
2,3:11,2,7,PHI 42,7,7,Patrick Mahomes pass incomplete short left intended for Justin Watson,2.450,1.750
2,3:08,3,7,PHI 42,7,7,"Patrick Mahomes pass incomplete deep right intended for Travis Kelce. Penalty on Josh Sweat: Defensive Offside, 5 yards (accepted) (no play)",1.750,2.410
2,3:02,3,2,PHI 37,7,7,Isiah Pacheco left tackle for 12 yards (tackle by Reed Blankenship),2.410,3.910
2,2:23,1,10,PHI 25,7,7,Patrick Mahomes scrambles left end for 14 yards (tackle by Josh Sweat),3.910,4.840
2,2:00,1,10,PHI 11,7,7,Isiah Pacheco left guard for 3 yards (tackle by Milton Williams),4.840,4.700
2,1:55,,,,,,Timeout #1 by Philadelphia Eagles,,
2,1:55,2,7,PHI 8,7,7,Isiah Pacheco left guard for 4 yards (tackle by Josh Sweat and Jordan Davis),4.700,4.670
2,1:49,,,,,,Timeout #2 by Philadelphia Eagles,,
2,1:49,3,3,PHI 4,7,13,"Patrick Mahomes pass complete short left to Travis Kelce for 4 yards, touchdown",4.670,7.000
2,1:45,,,PHI 15,7,14,Harrison Butker kicks extra point good,0.000,0.000
2,1:45,,,KAN 35,7,14,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,1:45,1,10,PHI 25,7,14,"Jalen Hurts sacked by Trent McDuffie for -9 yards. Jalen Hurts fumbles (forced by Trent McDuffie), recovered by Jalen Hurts at PHI-16 (tackle by Trent McDuffie and George Karlaftis)",0.610,-1.290
2,1:04,2,19,PHI 16,7,14,Jalen Hurts pass complete short left to Kenneth Gainwell for 4 yards (tackle by Drue Tranquill),-1.290,-1.290
2,0:58,3,15,PHI 20,7,14,Jalen Hurts sacked by George Karlaftis for no gain,-1.290,-2.030
2,0:54,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:54,4,15,PHI 20,7,14,"Braden Mann punts 42 yards, returned by Kadarius Toney for 16 yards (tackle by Reed Blankenship)",-2.030,-2.520
2,0:44,1,10,PHI 46,7,14,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",2.520,2.190
2,0:44,1,15,KAN 49,7,14,Patrick Mahomes pass incomplete short right,2.190,1.300
2,0:39,2,15,KAN 49,7,14,Patrick Mahomes pass incomplete short middle intended for Justin Watson,1.300,0.630
2,0:34,3,15,KAN 49,7,14,Patrick Mahomes pass complete deep middle to Justin Watson for 17 yards (tackle by Bradley Roby),0.630,1.200
