Quarter,Time,Tm,Detail,PHI,KAN
1.0,5:34,Chiefs,Justin Watson 3 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
,0:31,Eagles,D'Andre Swift 4 yard rush (Jake Elliott kick),7,7
2.0,1:45,Chiefs,Travis Kelce 4 yard pass from Patrick Mahomes (Harrison Butker kick),7,14
,0:00,Chiefs,Harrison Butker 43 yard field goal,7,17
3.0,4:05,Eagles,Jalen Hurts 10 yard rush (Jake Elliott kick),14,17
4.0,6:20,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),21,17
