Quarter,Time,Tm,Detail,PIT,BUF
1.0,6:00,Steelers,Le'Veon Bell 3 yard rush (Chris Boswell kick),7,0
2.0,12:00,Steelers,Le'Veon Bell 7 yard rush (Chris Boswell kick),14,0
,7:07,Bills,Sammy Watkins 8 yard pass from Tyrod Taylor (Dan Carpenter kick),14,7
3.0,5:28,Steelers,Le'Veon Bell 5 yard rush (Chris Boswell kick),21,7
4.0,9:57,Steelers,Chris Boswell 37 yard field goal,24,7
,7:27,Bills,Charles Clay 40 yard pass from Tyrod Taylor (Dan Carpenter kick failed),24,13
,3:38,Steelers,Chris Boswell 39 yard field goal,27,13
,1:25,Bills,LeSean McCoy 3 yard rush (Dan Carpenter kick),27,20
