Unnamed: 0,PIT,BUF
First Downs,24,14
Rush-Yds-TDs,42-240-3,18-67-1
Cmp-Att-Yd-TD-INT,17-31-220-0-3,15-25-228-2-1
Sacked-Yards,0-0,5-20
Net Pass Yards,220,208
Total Yards,460,275
Fumbles-Lost,0-0,0-0
Turnovers,3,1
Penalties-Yards,6-45,7-46
Third Down Conv.,6-14,3-9
Fourth Down Conv.,1-1,0-0
Time of Possession,38:41,21:19
