Quarter,Time,Down,ToGo,Location,PIT,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Dan Carpenter kicks off 64 yards, returned by Fitzgerald Toussaint for 21 yards (tackle by Kevon Seymour)",0.000,-0.410
1,14:53,1,10,PIT 22,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 2 yards (tackle by Ronald Darby),0.410,0.140
1,14:23,2,8,PIT 24,0,0,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 10 yards (tackle by Leger Douzable),0.140,1.200
1,13:53,1,10,PIT 34,0,0,Ben Roethlisberger pass incomplete short left intended for Cobi Hamilton,1.200,0.660
1,13:47,2,10,PIT 34,0,0,Ben Roethlisberger pass incomplete short left intended for Ladarius Green,0.660,-0.030
1,13:41,3,10,PIT 34,0,0,Ben Roethlisberger pass complete short right to Le'Veon Bell for 32 yards (tackle by Zach Brown),-0.030,3.310
1,12:59,1,10,BUF 34,0,0,Ben Roethlisberger pass complete short left to Antonio Brown for -2 yards (tackle by Nickell Robey-Coleman),3.310,0.000
1,12:16,,,,0,0,Timeout #1 by Pittsburgh Steelers,0.000,-2.500
1,12:16,2,12,BUF 36,0,0,Le'Veon Bell right tackle for 16 yards (tackle by Jerry Hughes and Preston Brown),2.500,4.240
1,11:30,1,10,BUF 20,0,0,Ben Roethlisberger pass complete short left to Jesse James for 5 yards (tackle by Lorenzo Alexander and Preston Brown),4.240,4.450
1,10:44,2,5,BUF 15,0,0,Ben Roethlisberger pass incomplete short middle intended for Ladarius Green is intercepted by Lorenzo Alexander at BUF-12 and returned for 28 yards,4.450,-1.600
1,10:34,1,10,BUF 40,0,0,Tyrod Taylor sacked by Stephon Tuitt and Sean Davis for -4 yards,1.600,0.510
1,9:58,2,14,BUF 36,0,0,LeSean McCoy left end for 2 yards (tackle by Artie Burns),0.510,0.100
1,9:23,3,12,BUF 38,0,0,Tyrod Taylor pass incomplete deep right intended for Marquise Goodwin,0.100,-0.850
1,9:17,4,12,BUF 38,0,0,"Colton Schmidt punts 44 yards, returned by Antonio Brown for 11 yards",-0.850,-0.870
1,9:06,1,10,PIT 29,0,0,Le'Veon Bell left guard for 2 yards (tackle by Zach Brown and Corey Graham),0.870,0.600
1,8:26,2,8,PIT 31,0,0,Ben Roethlisberger pass complete deep right to Antonio Brown for 40 yards (tackle by Ronald Darby),0.600,3.640
1,7:49,1,10,BUF 29,0,0,Ben Roethlisberger pass incomplete short middle intended for Antonio Brown,3.640,3.100
1,7:46,2,10,BUF 29,0,0,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown (defended by Ronald Darby),3.100,2.410
1,7:39,3,10,BUF 29,0,0,Ben Roethlisberger pass complete short right to Ladarius Green for 18 yards (tackle by Zach Brown and Corey White),2.410,4.840
1,6:54,1,10,BUF 11,0,0,Le'Veon Bell left tackle for 8 yards (tackle by Lorenzo Alexander and Corey Graham),4.840,5.660
1,6:10,2,2,BUF 3,0,0,Ben Roethlisberger pass incomplete short left intended for Antonio Brown,5.660,4.890
1,6:05,3,2,BUF 3,6,0,"Le'Veon Bell left guard for 3 yards, touchdown",4.890,7.000
1,6:00,,,BUF 15,7,0,Chris Boswell kicks extra point good,0.000,0.000
1,6:00,,,PIT 35,7,0,"Chris Boswell kicks off 64 yards, returned by Brandon Tate for 13 yards (tackle by Roosevelt Nix)",0.000,0.280
1,5:54,1,10,BUF 14,7,0,LeSean McCoy right guard for 1 yard (tackle by William Gay and Ryan Shazier),-0.280,-0.640
1,5:22,2,9,BUF 15,7,0,Tyrod Taylor sacked by Bud Dupree for -4 yards,-0.640,-1.770
1,4:39,3,13,BUF 11,7,0,"Tyrod Taylor pass incomplete short left intended for Robert Woods is intercepted by William Gay at BUF-25 and returned for 25 yards. Penalty on Artie Burns: Defensive Holding, 5 yards (no play)",-1.770,-0.140
1,4:29,1,10,BUF 16,7,0,"Reggie Bush left end for 4 yards (tackle by Mike Mitchell). Penalty on Marquise Goodwin: Offensive Holding, 10 yards",-0.140,-0.610
1,4:17,1,16,BUF 10,7,0,LeSean McCoy middle for -1 yards (tackle by Leterrius Walton),-0.610,-1.290
1,3:43,2,17,BUF 9,7,0,Tyrod Taylor sacked by Sean Davis for -6 yards,-1.290,-2.940
1,3:00,3,23,BUF 3,7,0,LeSean McCoy middle for 7 yards (tackle by Bud Dupree),-2.940,-2.490
1,2:25,4,16,BUF 10,7,0,"Colton Schmidt punts 41 yards, returned by Antonio Brown for 3 yards (tackle by Jonathan Meeks). Penalty on Sammie Coates: Offensive Holding, 10 yards",-2.490,-1.530
1,2:14,1,10,PIT 39,7,0,Ben Roethlisberger pass complete short left to Ladarius Green for 7 yards (tackle by Zach Brown),1.530,1.930
1,1:44,2,3,PIT 46,7,0,Le'Veon Bell middle for 5 yards (tackle by Preston Brown),1.930,2.320
1,1:07,1,10,BUF 49,7,0,Le'Veon Bell right guard for 4 yards (tackle by Preston Brown and Marcell Dareus),2.320,2.320
1,0:28,2,6,BUF 45,7,0,Ben Roethlisberger pass complete short left to Eli Rogers for 5 yards (tackle by Nickell Robey-Coleman and Corey Graham),2.320,2.280
Quarter,Time,Down,ToGo,Location,PIT,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,BUF 40,7,0,Le'Veon Bell middle for no gain (tackle by Marcell Dareus and James Ihedigbo),2.280,0.590
2,14:19,4,1,BUF 40,7,0,Ben Roethlisberger pass complete short right to David Johnson for 15 yards (tackle by Preston Brown),0.590,3.910
2,13:36,1,10,BUF 25,7,0,Ben Roethlisberger pass incomplete deep middle intended for Jesse James,3.910,3.360
2,13:32,2,10,BUF 25,7,0,Ben Roethlisberger pass complete short right to Eli Rogers for 9 yards (tackle by Ronald Darby),3.360,4.060
2,12:45,3,1,BUF 16,7,0,Ben Roethlisberger pass complete short right to Antonio Brown for 9 yards (tackle by Corey Graham),4.060,5.600
2,12:05,1,7,BUF 7,13,0,"Le'Veon Bell left guard for 7 yards, touchdown",5.600,7.000
2,12:00,,,BUF 15,14,0,Chris Boswell kicks extra point good,0.000,0.000
2,12:00,,,PIT 35,14,0,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
2,12:00,1,10,BUF 25,14,0,LeSean McCoy right tackle for 9 yards (tackle by William Gay and Ross Cockrell),0.610,1.280
2,11:24,2,1,BUF 34,14,0,LeSean McCoy right tackle for 2 yards (tackle by Ryan Shazier and William Gay),1.280,1.330
2,10:55,1,10,BUF 36,14,0,Tyrod Taylor pass complete short middle to LeSean McCoy for 9 yards (tackle by Sean Davis),1.330,2.010
2,10:23,2,1,BUF 45,14,0,Tyrod Taylor sacked by Ryan Shazier for -2 yards,2.010,1.030
2,9:42,3,3,BUF 43,14,0,Tyrod Taylor pass incomplete short left intended for Sammy Watkins,1.030,-0.520
,,,,,,,"PIT challenged the pass completion ruling, and the original play was overturned.",,
2,9:38,4,3,BUF 43,14,0,"Colton Schmidt punts 32 yards, out of bounds",-0.520,-0.610
2,9:30,1,10,PIT 25,14,0,Le'Veon Bell middle for no gain (tackle by Adolphus Washington and Marcell Dareus),0.610,0.060
2,8:45,2,10,PIT 25,14,0,Ben Roethlisberger pass incomplete short left intended for Antonio Brown is intercepted by Stephon Gilmore at PIT-38 and returned for 31 yards,0.060,-5.600
2,8:34,1,7,PIT 7,14,0,LeSean McCoy right tackle for 1 yard (tackle by Ryan Shazier),5.600,4.950
2,8:00,2,6,PIT 6,14,0,"Tyrod Taylor pass incomplete short left intended for Robert Woods. Penalty on John Miller: Offensive Holding, 10 yards (no play)",4.950,3.340
2,7:53,2,16,PIT 16,14,0,Tyrod Taylor pass complete short left to LeSean McCoy for 8 yards (tackle by Ryan Shazier and Leterrius Walton),3.340,3.580
2,7:11,3,8,PIT 8,14,6,"Tyrod Taylor pass complete short middle to Sammy Watkins for 8 yards, touchdown",3.580,7.000
2,7:07,,,PIT 15,14,7,Dan Carpenter kicks extra point good,0.000,0.000
2,7:07,,,BUF 35,14,7,"Dan Carpenter kicks off 66 yards, returned by Fitzgerald Toussaint for 26 yards (tackle by Nickell Robey-Coleman)",0.000,-0.610
2,7:00,1,10,PIT 25,14,7,Ben Roethlisberger pass complete short left to Le'Veon Bell for 6 yards (tackle by Stephon Gilmore),0.610,0.870
2,6:22,2,4,PIT 31,14,7,Le'Veon Bell left tackle for 7 yards (tackle by Corey White),0.870,1.470
2,5:43,1,10,PIT 38,14,7,Le'Veon Bell right tackle for 11 yards (tackle by Preston Brown and Ronald Darby),1.470,2.190
2,5:03,1,10,PIT 49,14,7,Ben Roethlisberger pass incomplete deep right intended for Ladarius Green,2.190,1.650
2,4:55,2,10,PIT 49,14,7,Ben Roethlisberger pass incomplete short middle intended for Le'Veon Bell (defended by Lorenzo Alexander),1.650,0.960
2,4:50,3,10,PIT 49,14,7,"Penalty on Marcus Gilbert: False Start, 5 yards (no play)",0.960,0.300
2,4:50,3,15,PIT 44,14,7,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown,0.300,-0.460
2,4:42,4,15,PIT 44,14,7,"Jordan Berry punts 56 yards, touchback",-0.460,-0.280
2,4:36,1,10,BUF 20,14,7,LeSean McCoy right guard for 4 yards (tackle by Sean Davis),0.280,0.270
2,4:12,2,6,BUF 24,14,7,Tyrod Taylor pass complete short right to Sammy Watkins for 14 yards (tackle by Ross Cockrell),0.270,1.470
2,3:47,1,10,BUF 38,14,7,Tyrod Taylor pass complete short middle to Charles Clay for 7 yards (tackle by Ryan Shazier and William Gay),1.470,1.870
2,3:21,2,3,BUF 45,14,7,LeSean McCoy middle for no gain (tackle by Ryan Shazier),1.870,1.160
2,2:38,3,3,BUF 45,14,7,Tyrod Taylor pass incomplete short middle intended for Robert Woods,1.160,-0.390
2,2:33,4,3,BUF 45,14,7,"Colton Schmidt punts 55 yards, touchback",-0.390,-0.280
2,2:24,1,10,PIT 20,14,7,Le'Veon Bell left end for 12 yards (tackle by Marcell Dareus),0.280,1.070
2,2:00,1,10,PIT 32,14,7,Ben Roethlisberger pass complete short right to Eli Rogers for 6 yards (tackle by Nickell Robey-Coleman),1.070,1.340
2,1:30,2,4,PIT 38,14,7,Le'Veon Bell right tackle for 2 yards (tackle by Ronald Darby and Jerry Hughes),1.340,0.890
2,0:54,3,2,PIT 40,14,7,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown (defended by Corey Graham). Penalty on Antonio Brown: Offensive Pass Interference (Declined),0.890,-0.720
2,0:45,4,2,PIT 40,14,7,"Jordan Berry punts 45 yards, returned by Brandon Tate for no gain",-0.720,0.220
2,0:32,1,10,BUF 15,14,7,"Tyrod Taylor pass complete short right to LeSean McCoy for no gain. Penalty on John Miller: Offensive Holding, 7 yards (no play)",-0.220,-0.650
2,0:23,1,17,BUF 8,14,7,LeSean McCoy right tackle for no gain (tackle by Ross Cockrell and Ricardo Mathews),-0.650,0.000
2,0:11,,,,14,7,Timeout #2 by Pittsburgh Steelers,0.000,1.290
2,0:11,2,17,BUF 8,14,7,"Penalty on Charles Clay: False Start, 4 yards (no play)",-1.290,-1.580
2,0:11,2,21,BUF 4,14,7,Mike Gillislee left guard for 22 yards (tackle by Artie Burns),-1.580,0.670
2,0:04,1,10,BUF 26,14,7,Mike Gillislee right guard for 12 yards (tackle by Mike Mitchell),0.670,1.470
Quarter,Time,Down,ToGo,Location,PIT,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,14,7,--,0.000,0.140
3,14:55,1,10,BUF 16,14,7,Tyrod Taylor right tackle for no gain (tackle by Bud Dupree),-0.140,-0.660
3,14:20,2,10,BUF 16,14,7,Tyrod Taylor pass incomplete short right intended for Charles Clay (defended by Ryan Shazier),-0.660,-1.320
3,14:15,3,10,BUF 16,14,7,Tyrod Taylor pass complete short right to Sammy Watkins for 14 yards (tackle by Sean Davis and Ross Cockrell),-1.320,0.940
3,13:39,1,10,BUF 30,14,7,LeSean McCoy middle for -1 yards (tackle by Stephon Tuitt),0.940,0.260
3,13:02,2,11,BUF 29,14,7,Tyrod Taylor left end for 1 yard (tackle by Artie Burns),0.260,-0.300
3,12:20,3,10,BUF 30,14,7,Tyrod Taylor pass incomplete short left intended for Charles Clay (defended by Stephon Tuitt),-0.300,-1.370
3,12:14,4,10,BUF 30,14,7,"Colton Schmidt punts 52 yards, returned by Antonio Brown for no gain",-1.370,-0.040
3,12:01,1,10,PIT 18,14,7,Le'Veon Bell left guard for 13 yards (tackle by Corey Graham and Ronald Darby),0.040,1.000
3,11:16,1,10,PIT 31,14,7,Le'Veon Bell middle for 5 yards (tackle by Preston Brown and Brandon Spikes),1.000,1.140
3,10:34,2,5,PIT 36,14,7,Le'Veon Bell left end for 7 yards (tackle by Preston Brown),1.140,1.800
3,9:52,1,10,PIT 43,14,7,Le'Veon Bell left tackle for 3 yards (tackle by Shaq Lawson and Deandre Coleman),1.800,0.000
3,9:12,,,,14,7,Timeout #1 by Pittsburgh Steelers,0.000,-1.660
3,9:12,2,7,PIT 46,14,7,"Penalty on B.J. Finney: False Start, 5 yards (no play)",1.660,0.980
3,9:12,2,12,PIT 41,14,7,Le'Veon Bell left tackle for 24 yards (tackle by Ronald Darby),0.980,3.250
3,8:33,1,10,BUF 35,14,7,Le'Veon Bell right end for 5 yards (tackle by Ronald Darby and James Ihedigbo),3.250,3.380
3,7:48,2,5,BUF 30,14,7,Le'Veon Bell right guard for 2 yards (tackle by Jerry Hughes and Deandre Coleman),3.380,2.940
3,7:05,3,3,BUF 28,14,7,Ben Roethlisberger pass complete short middle to Cobi Hamilton for 15 yards (tackle by Corey White),2.940,4.710
3,6:19,1,10,BUF 13,14,7,Le'Veon Bell middle for 8 yards (tackle by Corey Graham and Ronald Darby),4.710,5.540
3,5:35,2,2,BUF 5,20,7,"Le'Veon Bell left end for 5 yards, touchdown",5.540,7.000
