#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:37,CHI 11,3,1:19,3,Punt
2,1,7:43,CHI 15,10,4:21,81,Missed FG
3,1,0:57,CHI 25,3,1:10,26,Interception
4,2,10:07,CHI 25,8,3:47,75,Touchdown
5,2,1:41,CHI 25,4,1:07,75,Touchdown
6,3,15:00,CHI 25,9,5:18,19,Interception
7,3,3:05,CHI 28,1,0:13,0,Interception
8,3,0:58,CHI 18,6,1:22,41,Interception
9,4,12:53,CHI 33,8,2:46,43,Interception
10,4,6:26,CHI 15,11,5:05,85,Touchdown
11,4,0:57,CHI 25,4,0:57,25,End of Game
