Unnamed: 0,WAS,CHI
First Downs,21,31
Rush-Yds-TDs,35-208-4,26-140-1
Cmp-Att-Yd-TD-INT,18-29-270-1-0,24-40-323-2-5
Sacked-Yards,0-0,1-5
Net Pass Yards,270,318
Total Yards,478,458
Fumbles-Lost,0-0,0-0
Turnovers,0,5
Penalties-Yards,7-73,4-52
Third Down Conv.,8-13,7-10
Fourth Down Conv.,0-1,1-1
Time of Possession,32:35,27:25
