Quarter,Time,Tm,Detail,WAS,CHI
1.0,7:43,Redskins,Chris Thompson 7 yard rush (Dustin Hopkins kick),7,0
,0:57,Redskins,Chris Thompson 17 yard pass from Kirk Cousins (Dustin Hopkins kick),14,0
2.0,10:07,Redskins,Dustin Hopkins 29 yard field goal,17,0
,6:20,Bears,Jeremy Langford 1 yard rush (Connor Barth kick),17,7
,1:41,Redskins,Kirk Cousins 9 yard rush (Dustin Hopkins kick),24,7
,0:34,Bears,Cameron Meredith 21 yard pass from Matt Barkley (Connor Barth kick),24,14
3.0,3:05,Redskins,Kirk Cousins 1 yard rush (Dustin Hopkins kick),31,14
4.0,12:53,Redskins,Dustin Hopkins 20 yard field goal,34,14
,1:21,Bears,Deonte Thompson 3 yard pass from Matt Barkley (Connor Barth kick),34,21
,0:57,Redskins,Mack Brown 61 yard rush (Dustin Hopkins kick),41,21
