Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,WAS 25,0,0,Robert Kelley left guard for 1 yard (tackle by Akiem Hicks),0.610,0.200
1,14:19,2,9,WAS 26,0,0,Kirk Cousins right end for 13 yards,0.200,1.530
1,13:39,1,10,WAS 39,0,0,Robert Kelley left guard for 4 yards (tackle by Adrian Amos),1.530,1.530
1,13:02,2,6,WAS 43,0,0,Kirk Cousins pass incomplete,1.530,0.830
1,12:54,3,6,WAS 43,0,0,Kirk Cousins pass incomplete deep right intended for Jamison Crowder,0.830,-0.520
1,12:48,4,6,WAS 43,0,0,"Tress Way punts 49 yards, returned by Bralon Addison for 3 yards (tackle by Martrell Spaight)",-0.520,0.370
1,12:37,1,10,CHI 11,0,0,Jordan Howard left guard for 2 yards (tackle by Mason Foster),-0.370,-0.630
1,12:05,2,8,CHI 13,0,0,Jordan Howard right guard for 1 yard (tackle by William Compton),-0.630,-1.070
1,11:31,3,7,CHI 14,0,0,Matt Barkley pass incomplete deep right intended for Cameron Meredith,-1.070,-2.470
1,11:26,4,7,CHI 14,0,0,"Pat O'Donnell punts 51 yards, fair catch by Jamison Crowder",-2.470,-1.270
1,11:18,1,10,WAS 35,0,0,Robert Kelley right tackle for 5 yards (tackle by Deon Bush and Akiem Hicks),1.270,1.400
1,10:33,2,5,WAS 40,0,0,Robert Kelley right tackle for 8 yards (tackle by Pernell McPhee),1.400,2.130
1,10:07,1,10,WAS 48,0,0,Kirk Cousins pass complete deep left to Pierre Garcon for 16 yards,2.130,3.180
1,9:52,1,10,CHI 36,0,0,Kirk Cousins pass incomplete short middle intended for Robert Kelley,3.180,2.640
1,9:48,2,10,CHI 36,0,0,Kirk Cousins pass complete deep right to DeSean Jackson for 21 yards (tackle by Harold Jones-Quartey),2.640,4.580
1,9:09,1,10,CHI 15,0,0,Robert Kelley left guard for 3 yards (tackle by Leonard Floyd),4.580,4.450
1,8:29,2,7,CHI 12,0,0,Kirk Cousins pass complete short right to DeSean Jackson for 5 yards (tackle by Harold Jones-Quartey),4.450,4.680
1,7:48,3,2,CHI 7,6,0,"Chris Thompson right tackle for 7 yards, touchdown",4.680,7.000
1,7:43,,,CHI 15,7,0,Dustin Hopkins kicks extra point good,0.000,0.000
1,7:43,,,WAS 35,7,0,"Dustin Hopkins kicks off 64 yards, returned by Deonte Thompson for 14 yards (tackle by Duke Ihenacho)",0.000,0.220
1,7:38,1,10,CHI 15,7,0,Matt Barkley pass incomplete short right intended for Ben Braunecker,-0.220,-0.710
1,7:35,2,10,CHI 15,7,0,"Matt Barkley pass incomplete short left intended for Cameron Meredith. Penalty on Bashaud Breeland: Defensive Pass Interference, 15 yards, Penalty on Josh Norman: Illegal Use of Hands (Declined) (no play)",-0.710,0.940
1,7:26,1,10,CHI 30,7,0,Jordan Howard right guard for -8 yards (tackle by Duke Ihenacho),0.940,-0.690
1,6:43,2,18,CHI 22,7,0,Matt Barkley pass incomplete short left intended for Jordan Howard (defended by Chris Baker),-0.690,-1.350
1,6:35,3,18,CHI 22,7,0,Matt Barkley pass complete deep middle to Deonte Thompson for 18 yards (tackle by Deshazor Everett),-1.350,1.600
1,5:54,1,10,CHI 40,7,0,Matt Barkley pass complete short middle to Alshon Jeffery for 18 yards (tackle by Josh Norman and Donte Whitner),1.600,2.790
1,5:10,1,10,WAS 42,7,0,Matt Barkley pass complete short middle to Daniel Brown for 10 yards (tackle by Mason Foster),2.790,3.450
1,4:50,1,10,WAS 32,7,0,Jordan Howard left guard for 23 yards (tackle by Greg Toler),3.450,5.140
1,4:12,1,9,WAS 9,7,0,Jordan Howard right guard for 5 yards (tackle by Donte Whitner),5.140,5.340
1,3:36,2,4,WAS 4,7,0,Matt Barkley pass incomplete short right intended for Daniel Brown,5.340,4.490
1,3:32,3,4,WAS 4,7,0,Matt Barkley pass incomplete short left intended for Alshon Jeffery,4.490,3.030
1,3:26,4,4,WAS 4,7,0,"Connor Barth 22 yard field goal no good, blocked by Preston Smith",3.030,-0.280
1,3:22,1,10,WAS 20,7,0,Kirk Cousins pass complete short right to Robert Kelley for 5 yards (tackle by Nick Kwiatkoski),0.280,0.410
1,2:39,2,5,WAS 25,7,0,Kirk Cousins pass complete short middle to DeSean Jackson for 57 yards (tackle by Deon Bush),0.410,4.370
1,1:52,1,10,CHI 18,7,0,Robert Kelley right tackle for 1 yard (tackle by Pernell McPhee),4.370,3.940
1,1:11,2,9,CHI 17,7,0,Kirk Cousins pass incomplete deep right intended for Ryan Grant,3.940,3.170
1,1:05,3,9,CHI 17,13,0,"Kirk Cousins pass complete short right to Chris Thompson for 17 yards, touchdown",3.170,7.000
1,0:57,,,CHI 15,14,0,Dustin Hopkins kicks extra point good,0.000,0.000
1,0:57,,,WAS 35,14,0,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
1,0:57,1,10,CHI 25,14,0,"Jordan Howard left end for 15 yards (tackle by Donte Whitner). Penalty on Deonte Thompson: Offensive Holding, 10 yards",0.610,1.340
1,0:23,1,5,CHI 30,14,0,Matt Barkley pass complete deep left to Cameron Meredith for 21 yards (tackle by Bashaud Breeland),1.340,2.320
Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 49,14,0,Matt Barkley pass incomplete deep middle intended for Josh Bellamy is intercepted by Bashaud Breeland at WAS-1,2.320,0.380
2,14:47,1,10,WAS 1,14,0,Robert Kelley left guard for 3 yards (tackle by Willie Young and Mitch Unrein),-0.380,-0.560
2,14:16,2,7,WAS 4,14,0,Kirk Cousins pass complete short middle to Pierre Garcon for 25 yards (tackle by Tracy Porter),-0.560,0.870
2,13:39,1,10,WAS 29,14,0,Robert Kelley right end for 5 yards (tackle by Jerrell Freeman),0.870,1.000
2,12:59,2,5,WAS 34,14,0,Chris Thompson right tackle for 4 yards (tackle by Akiem Hicks),1.000,0.830
2,12:17,3,1,WAS 38,14,0,Kirk Cousins pass complete deep right to Pierre Garcon for 46 yards (tackle by Harold Jones-Quartey),0.830,4.510
2,11:43,1,10,CHI 16,14,0,Robert Kelley right tackle for 3 yards (tackle by Jonathan Bullard),4.510,4.390
2,11:07,2,7,CHI 13,14,0,Kirk Cousins pass incomplete,4.390,3.540
2,10:59,3,7,CHI 13,14,0,Kirk Cousins pass complete short right to DeSean Jackson for 2 yards (tackle by Jerrell Freeman),3.540,2.750
2,10:12,4,5,CHI 11,17,0,Dustin Hopkins 29 yard field goal good,2.750,3.000
2,10:07,,,WAS 35,17,0,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
2,10:07,1,10,CHI 25,17,0,Jordan Howard right guard for 3 yards (tackle by Mason Foster),0.610,0.470
2,9:35,2,7,CHI 28,17,0,Matt Barkley pass incomplete short right intended for Alshon Jeffery (defended by Josh Norman),0.470,-0.230
2,9:31,3,7,CHI 28,17,0,Matt Barkley pass complete short middle to Alshon Jeffery for 9 yards (tackle by Josh Norman),-0.230,1.400
2,8:52,1,10,CHI 37,17,0,"Jordan Howard right end for 13 yards (tackle by Duke Ihenacho). Penalty on Duke Ihenacho: Horse Collar Tackle, 15 yards",1.400,3.250
2,8:24,1,10,WAS 35,17,0,Jordan Howard right guard for 3 yards (tackle by Donte Whitner and Mason Foster),3.250,3.110
2,7:50,2,7,WAS 32,17,0,Jordan Howard left end for -1 yards (tackle by Mason Foster),3.110,2.280
2,7:11,3,8,WAS 33,17,0,Matt Barkley pass complete deep right to Cameron Meredith for 32 yards (tackle by Greg Toler),2.280,6.970
2,6:27,1,1,WAS 1,17,6,"Jeremy Langford left guard for 1 yard, touchdown",6.970,7.000
2,6:20,,,WAS 15,17,7,Connor Barth kicks extra point good,0.000,0.000
2,6:20,,,CHI 35,17,7,"Connor Barth kicks off 65 yards, returned by Bashaud Breeland for 25 yards (tackle by Chris Prosinski). Penalty on Terence Garvin: Illegal Block Above the Waist, 9 yards",0.000,0.380
2,6:14,1,10,WAS 9,17,7,--,-0.380,-0.530
2,6:14,1,14,WAS 5,17,7,Kirk Cousins pass incomplete deep right intended for DeSean Jackson,-0.530,-1.070
2,6:07,2,14,WAS 5,17,7,Robert Kelley left tackle for 4 yards (tackle by Jerrell Freeman and Johnthan Banks),-1.070,-1.420
2,5:28,3,10,WAS 9,17,7,Kirk Cousins pass complete deep middle to DeSean Jackson for 29 yards (tackle by Harold Jones-Quartey),-1.420,1.470
2,4:44,1,10,WAS 38,17,7,Robert Kelley right end for -2 yards (tackle by Akiem Hicks),1.470,0.650
2,3:59,2,12,WAS 36,17,7,Kirk Cousins pass complete short middle to Robert Kelley for 1 yard (tackle by Jerrell Freeman),0.650,0.100
2,3:15,3,11,WAS 37,17,7,"Kirk Cousins pass incomplete deep right intended for DeSean Jackson. Penalty on Tracy Porter: Defensive Pass Interference, 28 yards (no play)",0.100,3.250
2,3:08,1,10,CHI 35,17,7,Robert Kelley left guard for 6 yards (tackle by Jerrell Freeman),3.250,3.510
2,2:30,2,4,CHI 29,17,7,Robert Kelley left guard for 5 yards (tackle by Harold Jones-Quartey),3.510,3.970
2,2:00,1,10,CHI 24,17,7,Robert Kelley right guard for 15 yards (tackle by Jerrell Freeman),3.970,0.000
2,1:48,,,,17,7,Timeout #1 by Washington Redskins,0.000,-5.140
2,1:48,1,9,CHI 9,23,7,"Kirk Cousins right end for 9 yards, touchdown",5.140,7.000
2,1:41,,,CHI 15,24,7,Dustin Hopkins kicks extra point good,0.000,0.000
2,1:41,,,WAS 35,24,7,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
2,1:41,1,10,CHI 25,24,7,Matt Barkley pass complete short middle to Cameron Meredith for 9 yards (tackle by Mason Foster),0.610,1.280
2,1:17,2,1,CHI 34,24,7,Jeremy Langford right tackle for 3 yards (tackle by Martrell Spaight),1.280,1.400
2,1:00,1,10,CHI 37,24,7,"Matt Barkley sacked by Preston Smith for -9 yards. Penalty on Mason Foster: Illegal Use of Hands, 5 yards (no play)",1.400,1.730
2,0:53,1,10,CHI 42,24,7,Matt Barkley pass complete deep left to Alshon Jeffery for 37 yards (tackle by Josh Norman),1.730,0.000
2,0:41,,,,24,7,Timeout #1 by Chicago Bears,0.000,-4.170
2,0:41,1,10,WAS 21,24,13,"Matt Barkley pass complete deep right to Cameron Meredith for 21 yards, touchdown",4.170,7.000
2,0:34,,,WAS 15,24,14,Connor Barth kicks extra point good,0.000,0.000
2,0:34,,,CHI 35,24,14,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
2,0:34,1,10,WAS 25,24,14,Kirk Cousins kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,24,14,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CHI 25,24,14,Jordan Howard right end for 2 yards (tackle by Evander Hood and Donte Whitner),0.610,0.330
3,14:43,2,8,CHI 27,24,14,Jeremy Langford right guard for 1 yard (tackle by William Compton),0.330,-0.230
3,14:04,3,7,CHI 28,24,14,Matt Barkley pass complete short left to Cameron Meredith for 11 yards (tackle by Bashaud Breeland),-0.230,1.530
3,13:26,1,10,CHI 39,24,14,Matt Barkley sacked by Preston Smith for -5 yards,1.530,0.310
3,13:00,2,15,CHI 34,24,14,Matt Barkley pass complete short left to Alshon Jeffery for 14 yards (tackle by Josh Norman),0.310,1.490
3,12:19,3,1,CHI 48,24,14,Jeremy Langford left guard for no gain (tackle by Chris Baker),1.490,-0.190
3,11:47,4,1,CHI 48,24,14,Chris Prosinski right guard for 2 yards (tackle by Lynden Trail),-0.190,2.260
3,11:10,1,10,,24,14,Jeremy Langford left tackle for 4 yards (tackle by Trent Murphy),2.260,2.250
3,10:22,2,6,WAS 46,24,14,"Matt Barkley pass complete short right to Jordan Howard for 1 yard (tackle by Evander Hood). Penalty on Josh Sitton: Offensive Holding, 10 yards (no play)",2.250,0.900
3,9:50,2,16,CHI 44,24,14,Matt Barkley pass incomplete short middle intended for Alshon Jeffery is intercepted by Josh Norman at WAS-43 and returned for 2 yards,0.900,-1.930
3,9:42,1,10,WAS 45,24,14,Robert Kelley left tackle for 4 yards (tackle by Nick Kwiatkoski),1.930,1.920
3,9:04,2,6,WAS 49,24,14,Kirk Cousins pass incomplete deep right intended for DeSean Jackson,1.920,1.220
3,8:57,3,6,WAS 49,24,14,Kirk Cousins left tackle for 8 yards (tackle by Cornelius Washington),1.220,2.720
3,8:13,1,10,CHI 43,24,14,Kirk Cousins pass incomplete deep right intended for Pierre Garcon,2.720,2.180
3,8:08,2,10,CHI 43,24,14,Chris Thompson left end for 9 yards (tackle by Nick Kwiatkoski),2.180,2.680
3,7:25,3,1,CHI 34,24,14,Robert Kelley right guard for 1 yard (tackle by Nick Kwiatkoski),2.680,3.380
3,7:07,1,10,CHI 33,24,14,Kirk Cousins pass complete short right to Pierre Garcon for 7 yards (tackle by Deiondre' Hall),3.380,3.780
3,6:44,2,3,CHI 26,24,14,Kirk Cousins pass complete short right to Mack Brown for -2 yards (tackle by Jerrell Freeman),3.780,2.810
3,6:00,3,5,CHI 28,24,14,Kirk Cousins pass complete short left to Vernon Davis for 13 yards (tackle by Nick Kwiatkoski). Penalty on Deiondre' Hall: Illegal Use of Hands (Declined),2.810,4.580
3,5:43,1,10,CHI 15,24,14,Robert Kelley right tackle for 2 yards (tackle by Sam Acho),4.580,4.280
3,5:04,2,8,CHI 13,24,14,Robert Kelley right tackle for 6 yards (tackle by Pernell McPhee),4.280,4.680
3,4:27,3,2,CHI 7,24,14,"Robert Kelley left guard for no gain (tackle by Mitch Unrein). Penalty on Deiondre' Hall: Illegal Use of Hands, 4 yards (no play)",4.680,6.510
3,3:57,1,3,CHI 3,24,14,Robert Kelley right guard for 2 yards (tackle by Akiem Hicks),6.510,5.910
3,3:10,2,1,CHI 1,30,14,"Kirk Cousins left guard for 1 yard, touchdown",5.910,7.000
3,3:05,,,CHI 15,31,14,Dustin Hopkins kicks extra point good,0.000,0.000
3,3:05,,,WAS 35,31,14,"Dustin Hopkins kicks off 55 yards, returned by Bralon Addison for 18 yards (tackle by Will Blackmon)",0.000,-0.810
3,2:59,1,10,CHI 28,31,14,Matt Barkley pass incomplete short middle intended for Cameron Meredith is intercepted by Bashaud Breeland at CHI-34 and returned for 6 yards,0.810,-3.710
3,2:52,1,10,CHI 28,31,14,Mack Brown right end for -2 yards (tackle by Jonathan Bullard),3.710,2.900
3,2:12,2,12,CHI 30,31,14,Kirk Cousins pass complete short right to Ryan Grant for 8 yards (tackle by Nick Kwiatkoski and Willie Young),2.900,3.270
