Quarter,Time,Tm,Detail,HOU,IND
1.0,9:21,Texans,Kris Brown 28 yard field goal,3,0
,5:39,Colts,Adam Vinatieri 40 yard field goal,3,3
,2:58,Texans,Kris Brown 34 yard field goal,6,3
2.0,11:34,Colts,Adam Vinatieri 39 yard field goal,6,6
,2:51,Texans,Ahman Green 1 yard rush (Kris Brown kick),13,6
,0:05,Colts,Adam Vinatieri 32 yard field goal,13,9
3.0,11:08,Colts,Joseph Addai 23 yard pass from Peyton Manning (Adam Vinatieri kick),13,16
,9:30,Texans,Steve Slaton 71 yard rush (Kris Brown kick),20,16
,6:14,Colts,Joseph Addai 7 yard rush (Adam Vinatieri kick),20,23
4.0,14:56,Colts,Marvin Harrison 10 yard pass from Peyton Manning (Adam Vinatieri kick),20,30
,8:54,Texans,Ahman Green 2 yard rush (Kris Brown kick),27,30
,1:52,Colts,Adam Vinatieri 31 yard field goal,27,33
