Quarter,Time,Tm,Detail,NOR,PHI
1.0,7:17,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),0,7
,2:02,Eagles,Jalen Hurts 3 yard rush (Jake Elliott kick),0,14
2.0,13:01,Saints,Adam Trautman 18 yard pass from Trevor Siemian (Brett Maher kick),7,14
,9:27,Eagles,Jake Elliott 50 yard field goal,7,17
,4:20,Eagles,Jake Elliott 37 yard field goal,7,20
,0:24,Eagles,Darius Slay 51 yard interception return (Jake Elliott kick),7,27
3.0,5:57,Eagles,Jake Elliott 33 yard field goal,7,30
,2:38,Eagles,Jake Elliott 47 yard field goal,7,33
4.0,14:49,Saints,Marquez Callaway 26 yard pass from Trevor Siemian (pass failed),13,33
,12:33,Saints,Trevor Siemian 17 yard rush (Brett Maher kick failed),19,33
,7:14,Saints,Brett Maher 28 yard field goal,22,33
,3:59,Eagles,Jalen Hurts 24 yard rush (Jake Elliott kick),22,40
,0:45,Saints,Lil'Jordan Humphrey 4 yard pass from Trevor Siemian (Brett Maher kick),29,40
