Unnamed: 0,NOR,PHI
First Downs,18,21
Rush-Yds-TDs,22-109-1,50-242-3
Cmp-Att-Yd-TD-INT,22-40-214-3-2,13-24-147-0-0
Sacked-Yards,0-0,3-9
Net Pass Yards,214,138
Total Yards,323,380
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,3-25,6-49
Third Down Conv.,6-13,12-21
Fourth Down Conv.,0-0,0-0
Time of Possession,22:59,37:01
