Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",,
1,15:00,1,10,NOR 25,0,0,Trevor Siemian pass incomplete deep left intended for Marquez Callaway (defended by Steven Nelson),,
1,14:55,2,10,NOR 25,0,0,Mark Ingram left end for 6 yards (tackle by Davion Taylor),,
1,14:20,3,4,NOR 31,0,0,Trevor Siemian pass complete short left to Mark Ingram for 5 yards (tackle by T.J. Edwards),,
1,13:55,1,10,NOR 36,0,0,Tony Jones left guard for -1 yards (tackle by T.J. Edwards),,
1,13:27,2,11,NOR 35,0,0,Trevor Siemian pass incomplete short left intended for Adam Trautman,,
1,13:23,3,11,NOR 35,0,0,Trevor Siemian pass incomplete deep middle intended for Deonte Harty,,
1,13:18,4,11,NOR 35,0,0,"Blake Gillikin punts 62 yards, returned by Jalen Reagor for 12 yards (tackle by Garrett Griffin)",,
1,13:06,1,10,PHI 15,0,0,Jalen Hurts pass complete short left to DeVonta Smith for 8 yards (tackle by Marshon Lattimore),,
1,12:39,2,2,PHI 23,0,0,Miles Sanders left guard for 1 yard (tackle by Kwon Alexander),,
1,12:03,3,1,PHI 24,0,0,Jalen Hurts up the middle for 2 yards (tackle by David Onyemata and Marcus Davenport),,
1,11:30,1,10,PHI 26,0,0,Miles Sanders up the middle for 3 yards (tackle by Marcus Davenport),,
1,11:00,2,7,PHI 29,0,0,Miles Sanders right tackle for 4 yards (tackle by Paulson Adebo),,
1,10:32,3,3,PHI 33,0,0,Jordan Howard right guard for -3 yards (tackle by Christian Ringo),,
1,9:56,4,6,PHI 30,0,0,"Arryn Siposs punts 44 yards, returned by Deonte Harty for 8 yards (tackle by Shaun Bradley)",,
1,9:46,1,10,NOR 34,0,0,Trevor Siemian pass short right intended for Adam Trautman is intercepted by T.J. Edwards at NO-40 and returned for 1 yard (tackle by Adam Trautman),,
1,9:37,1,10,NOR 39,0,0,Jalen Hurts pass incomplete deep right intended for Dallas Goedert,,
1,9:31,2,10,NOR 39,0,0,Jalen Hurts pass complete short right to Dallas Goedert for 4 yards (tackle by Kwon Alexander),,
1,9:01,3,6,NOR 35,0,0,Jalen Hurts pass complete short right to Dallas Goedert for 16 yards (tackle by Malcolm Jenkins),,
1,8:38,1,10,NOR 19,0,0,Jalen Hurts pass incomplete short left intended for Jalen Reagor (defended by Cameron Jordan),,
1,8:33,2,10,NOR 19,0,0,Miles Sanders up the middle for 4 yards (tackle by Josiah Bronson),,
1,7:50,3,6,NOR 15,0,0,Jalen Hurts pass complete short right to Dallas Goedert for 14 yards (tackle by Kwon Alexander),,
1,7:21,1,1,NOR 1,0,6,"Jalen Hurts up the middle for 1 yard, touchdown. Penalty on Jalyn Holmes: Defensive Offside, 5 yards (declined)",,
1,7:17,,,NOR 15,0,7,Jake Elliott kicks extra point good,,
1,7:17,,,PHI 35,0,7,"Jake Elliott kicks off 65 yards, returned by Deonte Harty for 19 yards (tackle by Patrick Johnson and Zech McPhearson)",,
1,7:12,1,10,NOR 19,0,7,Mark Ingram up the middle for 4 yards (tackle by Anthony Harris and T.J. Edwards),,
1,6:41,2,6,NOR 23,0,7,Tony Jones left guard for 2 yards (tackle by Rodney McLeod),,
1,6:08,3,4,NOR 25,0,7,Trevor Siemian pass incomplete short left intended for Tre'Quan Smith,,
1,6:04,4,4,NOR 25,0,7,"Blake Gillikin punts 43 yards, returned by Jalen Reagor for 10 yards (tackle by Dwayne Washington). Penalty on Andrew Dowell: Offensive Holding, 10 yards (accepted)",,
1,5:54,1,10,PHI 42,0,7,Miles Sanders left end for 25 yards (tackle by Marcus Williams),,
1,5:29,1,10,NOR 33,0,7,Jalen Hurts scrambles right end for 4 yards (tackle by Marcus Davenport),,
1,4:50,2,6,NOR 29,0,7,Jalen Hurts left end for 4 yards (tackle by Bradley Roby),,
1,4:12,3,2,NOR 25,0,7,Jalen Hurts left tackle for 20 yards (tackle by Malcolm Jenkins),,
1,3:42,1,5,NOR 5,0,7,Miles Sanders left tackle for 4 yards (tackle by Josiah Bronson and Marcus Davenport),,
1,2:57,2,1,NOR 1,0,7,"Penalty on Dallas Goedert: False Start, 5 yards (accepted) (no play)",,
1,2:42,2,6,NOR 6,0,7,Jalen Hurts up the middle for 3 yards (tackle by Cameron Jordan),,
1,2:08,3,3,NOR 3,0,13,"Jalen Hurts scrambles right end for 2 yards (tackle by Demario Davis) PHI challenged the runner broke the plane ruling, and the original play was overturned. Jalen Hurts scrambles right end for 3 yards, touchdown",,
1,2:02,,,NOR 15,0,14,Jake Elliott kicks extra point good,,
1,2:02,,,PHI 35,0,14,"Jake Elliott kicks off 65 yards, touchback.",,
1,2:02,1,10,NOR 25,0,14,Mark Ingram right tackle for 14 yards (tackle by Marcus Epps),,
1,1:31,1,10,NOR 39,0,14,Trevor Siemian pass complete short left to Mark Ingram for 7 yards (tackle by T.J. Edwards),,
1,0:57,2,3,NOR 46,0,14,Mark Ingram right tackle for 9 yards (tackle by Steven Nelson and Alex Singleton),,
1,0:27,1,10,PHI 45,0,14,Tony Jones right end for 1 yard (tackle by Javon Hargrave),,
Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,PHI 44,0,14,"Penalty on Landon Young: False Start, 5 yards (accepted) (no play)",,
2,15:00,2,14,PHI 49,0,14,Trevor Siemian pass complete short middle to Tre'Quan Smith for 6 yards (tackle by Alex Singleton and T.J. Edwards),,
2,14:23,3,8,PHI 43,0,14,Trevor Siemian pass incomplete short right intended for Deonte Harty,,
2,14:18,4,8,PHI 43,0,14,Blake Gillikin punts 39 yards downed by Kaden Elliss,,
2,14:08,1,10,PHI 4,0,14,"Miles Sanders up the middle for 2 yards. Miles Sanders fumbles (forced by Christian Ringo) (tackle by Carl Granderson), recovered by Christian Ringo at PHI-6 and Christian Ringo and Carl Granderson)",,
2,14:00,1,6,PHI 6,0,14,Mark Ingram up the middle for -2 yards (tackle by Genard Avery),,
2,13:23,2,8,PHI 8,0,14,Trevor Siemian pass incomplete short left intended for Mark Ingram (defended by Avonte Maddox),,
2,13:17,3,8,PHI 8,0,14,"Trevor Siemian pass complete short right to Lil'Jordan Humphrey for no gain, touchdown. Penalty on Landon Young: Offensive Holding, 10 yards (accepted) (no play)",,
2,13:09,3,18,PHI 18,6,14,"Trevor Siemian pass complete deep right to Adam Trautman for 18 yards, touchdown",,
2,13:01,,,PHI 15,7,14,Brett Maher kicks extra point good,,
2,13:01,,,NOR 35,7,14,"Brett Maher kicks off 65 yards, touchback.",,
2,13:01,1,10,PHI 25,7,14,Jalen Hurts scrambles right end for 4 yards (tackle by P.J. Williams),,
2,12:18,2,6,PHI 29,7,14,Jalen Hurts up the middle for 4 yards (tackle by Josiah Bronson),,
2,11:35,3,2,PHI 33,7,14,Jalen Hurts pass complete deep right to DeVonta Smith for 33 yards (tackle by Demario Davis),,
2,11:02,1,10,NOR 34,7,14,Jalen Hurts pass incomplete deep right intended for Miles Sanders (defended by Marcus Williams),,
2,10:50,2,10,NOR 34,7,14,Jalen Hurts pass complete short right to Boston Scott for -2 yards (tackle by Kwon Alexander),,
2,10:07,3,12,NOR 36,7,14,Jalen Hurts pass complete short right to Boston Scott for 4 yards (tackle by Paulson Adebo),,
2,9:33,4,8,NOR 32,7,17,Jake Elliott 50 yard field goal good,,
2,9:27,,,PHI 35,7,17,"Jake Elliott kicks off 62 yards, returned by Deonte Harty for 22 yards (tackle by K'Von Wallace)",,
2,9:22,1,10,NOR 25,7,17,Mark Ingram left end for 4 yards (tackle by Derek Barnett and Rodney McLeod),,
2,8:50,2,6,NOR 29,7,17,Trevor Siemian pass incomplete short left intended for Marquez Callaway (defended by Alex Singleton),,
2,8:45,3,6,NOR 29,7,17,Trevor Siemian pass incomplete short left,,
2,8:43,4,6,NOR 29,7,17,"Blake Gillikin punts 54 yards, returned by Jalen Reagor for 8 yards (tackle by Andrew Dowell)",,
2,8:33,1,10,PHI 25,7,17,Jordan Howard up the middle for 18 yards (tackle by Paulson Adebo and Marcus Williams),,
2,8:08,1,10,PHI 43,7,17,Jordan Howard up the middle for 8 yards (tackle by Kwon Alexander),,
2,7:47,2,2,NOR 49,7,17,Jordan Howard up the middle for 5 yards (tackle by David Onyemata),,
2,7:16,1,10,NOR 44,7,17,Jordan Howard up the middle for 13 yards (tackle by Marcus Williams),,
2,6:45,1,10,NOR 31,7,17,Jordan Howard up the middle for 4 yards (tackle by Kwon Alexander and Jalyn Holmes),,
2,6:12,2,6,NOR 27,7,17,Jalen Hurts pass incomplete short right intended for Quez Watkins,,
2,5:59,,,,,,Timeout #1 by Philadelphia Eagles,,
2,5:59,3,6,NOR 27,7,17,Jalen Hurts pass complete short right to Dallas Goedert for 14 yards (tackle by Paulson Adebo),,
2,5:29,1,10,NOR 13,7,17,"Jalen Hurts pass complete short right to Dallas Goedert for no gain, touchdown. Penalty on DeVonta Smith: Offensive Pass Interference, 10 yards (accepted) . Penalty on Jack Driscoll: Ineligible Downfield Pass, 5 yards (declined) (no play)",,
