Unnamed: 0,BUF,CLE
First Downs,19,17
Rush-Yds-TDs,34-138-0,13-33-1
Cmp-Att-Yd-TD-INT,22-35-208-3-0,27-43-237-1-2
Sacked-Yards,1-2,4-30
Net Pass Yards,206,207
Total Yards,344,240
Fumbles-Lost,1-1,2-0
Turnovers,1,2
Penalties-Yards,10-75,6-57
Third Down Conv.,4-14,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,32:56,27:04
