Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Todd Sauerbrun kicks off 73 yards, returned by Ellis Hobbs for 28 yards (tackle by Tatum Bell)",0.000,0.610
1,14:55,1,10,NWE 25,0,0,Corey Dillon left guard for 2 yards (tackle by Courtney Brown and Al Wilson),0.610,0.330
1,14:17,2,8,NWE 27,0,0,Tom Brady pass complete to Deion Branch for 9 yards (tackle by Ian Gold),0.330,1.330
1,13:36,1,10,NWE 36,0,0,Tom Brady pass complete to Heath Evans for 3 yards (tackle by Domonique Foxworth),1.330,1.200
1,13:12,2,7,NWE 39,0,0,Corey Dillon up the middle for 1 yard (tackle by Al Wilson and Ian Gold),1.200,0.630
1,12:24,3,6,NWE 40,0,0,"Penalty on Steve Neal: False Start, 5 yards (no play)",0.630,-0.030
1,11:58,3,11,NWE 35,0,0,Tom Brady pass incomplete intended for Deion Branch (defended by Al Wilson),-0.030,-1.040
1,11:52,4,11,NWE 35,0,0,"Josh Miller punts 49 yards, returned by Charlie Adams for 10 yards (tackle by Lonie Paxton)",-1.040,-0.670
1,11:41,1,10,DEN 26,0,0,Mike Anderson left guard for 1 yard (tackle by Richard Seymour),0.670,0.270
1,11:04,2,9,DEN 27,0,0,"Penalty on Stephen Alexander: False Start, 5 yards (no play)",0.270,-0.410
1,10:41,2,14,DEN 22,0,0,Jake Plummer pass complete to Ashley Lelie for 10 yards (tackle by Asante Samuel),-0.410,0.230
1,10:09,3,4,DEN 32,0,0,Mike Anderson right guard for 2 yards (tackle by Ty Warren),0.230,-1.110
1,9:29,4,2,DEN 34,0,0,"Todd Sauerbrun punts 41 yards, returned by Tim Dwight for 10 yards (tackle by Louis Green)",-1.110,-1.270
1,9:21,1,10,NWE 35,0,0,Tom Brady pass incomplete intended for Christian Fauria,1.270,0.720
1,9:14,2,10,NWE 35,0,0,Tom Brady pass complete to Deion Branch for 9 yards (tackle by Nick Ferguson and Domonique Foxworth),0.720,1.220
1,8:34,3,1,NWE 44,0,0,Corey Dillon right tackle for 11 yards (tackle by Nick Ferguson and Domonique Foxworth),1.220,2.590
1,7:51,1,10,DEN 45,0,0,"Penalty on Logan Mankins: False Start, 5 yards (no play)",2.590,2.260
1,7:33,1,15,DEN 50,0,0,Tom Brady pass complete to Corey Dillon for 9 yards (tackle by Ian Gold and Domonique Foxworth),2.260,2.580
1,6:53,2,6,DEN 41,0,0,Kevin Faulk up the middle for 4 yards (tackle by Ian Gold and Nick Ferguson),2.580,2.410
1,6:11,3,2,DEN 37,0,0,Kevin Faulk right tackle for 1 yard (tackle by Al Wilson),2.410,0.890
1,5:30,4,1,DEN 36,0,0,Tom Brady pass incomplete intended for Christian Fauria,0.890,-1.330
1,5:27,1,10,DEN 36,0,0,Jake Plummer pass complete to Ashley Lelie for 5 yards (tackle by Rosevelt Colvin),1.330,1.470
1,4:54,2,5,DEN 41,0,0,Jake Plummer up the middle for 6 yards (tackle by Tedy Bruschi and Vince Wilfork),1.470,2.060
1,4:10,1,10,DEN 47,0,0,Tatum Bell left tackle for 3 yards (tackle by Rosevelt Colvin),2.060,1.920
1,3:31,2,7,DEN 50,0,0,Jake Plummer pass incomplete intended for Ashley Lelie,1.920,1.220
1,3:26,3,7,DEN 50,0,0,Jake Plummer pass complete to Rod Smith for 5 yards (tackle by Chad Brown and Hank Poteat),1.220,0.270
1,2:45,4,2,NWE 45,0,0,Todd Sauerbrun punts 41 yards,0.270,0.380
1,2:34,1,10,NWE 4,0,0,Tom Brady pass incomplete intended for Deion Branch (defended by Al Wilson),-0.380,-0.780
1,2:30,2,10,NWE 4,0,0,Corey Dillon left tackle for 5 yards (tackle by John Lynch),-0.780,-0.840
1,1:45,,,,0,0,Timeout #1 by New England Patriots,0.000,-0.840
1,1:45,3,5,NWE 9,0,0,Tom Brady pass incomplete intended for David Givens,-0.840,-2.490
1,1:42,4,5,NWE 9,0,0,"Josh Miller punts 53 yards, returned by Charlie Adams for 17 yards (tackle by Larry Izzo). Penalty on DEN: Defensive Offside, 4 yards (no play)",-2.490,-2.490
1,1:31,4,1,NWE 13,0,0,"Josh Miller punts 50 yards, fair catch by Charlie Adams",-2.490,-1.400
1,1:23,1,10,DEN 37,0,0,Jake Plummer pass complete to Ashley Lelie for 15 yards (tackle by Mike Vrabel and Ellis Hobbs),1.400,2.390
1,0:47,1,10,NWE 48,0,0,Mike Anderson right tackle for 4 yards (tackle by Willie McGinest),2.390,2.390
1,0:08,2,6,NWE 44,0,0,Mike Anderson up the middle for no gain (tackle by Rosevelt Colvin),2.390,1.690
Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,NWE 44,0,0,Jake Plummer pass complete to Rod Smith for 15 yards (tackle by Ellis Hobbs),1.690,3.640
2,14:16,1,10,NWE 29,0,0,Jake Plummer pass complete to Ashley Lelie for 3 yards (tackle by Asante Samuel),3.640,3.510
2,14:16,2,7,NWE 26,0,0,Jake Plummer pass incomplete intended for Stephen Alexander,3.510,2.810
2,13:35,3,7,NWE 26,0,0,"Jake Plummer pass incomplete intended for Rod Smith. Penalty on Tatum Bell: Offensive Holding, 10 yards (no play)",2.810,1.490
2,13:26,3,17,NWE 36,0,0,Jake Plummer pass complete to Jeb Putzier for 24 yards (tackle by Asante Samuel),1.490,4.780
2,12:41,1,10,NWE 12,0,0,Tatum Bell left tackle for 8 yards (tackle by Ellis Hobbs),4.780,5.600
2,12:00,2,2,NWE 4,0,0,Tatum Bell left tackle for 1 yard (tackle by Richard Seymour),5.600,5.060
2,11:32,3,1,NWE 3,0,0,Jake Plummer up the middle for no gain (tackle by Ty Warren),5.060,3.060
2,10:47,,,,0,0,Timeout #1 by Denver Broncos,0.000,3.060
2,10:47,4,1,NWE 3,0,0,Jake Plummer pass incomplete intended for Ashley Lelie,3.060,0.380
2,10:43,1,10,NWE 3,0,0,Corey Dillon right tackle for 2 yards (tackle by Al Wilson),-0.380,-0.630
2,10:12,2,8,NWE 5,0,0,Corey Dillon up the middle for 2 yards (tackle by D.J. Williams),-0.630,-0.950
2,9:28,3,6,NWE 7,0,0,"Penalty on Logan Mankins: False Start, 3 yards (no play)",-0.950,-1.300
2,9:01,3,9,NWE 4,0,0,Kevin Faulk right guard for 5 yards (tackle by John Lynch and Courtney Brown),-1.300,-2.490
2,8:23,4,4,NWE 9,0,0,"Josh Miller punts 47 yards, fair catch by Charlie Adams",-2.490,-1.860
2,8:15,1,10,DEN 44,0,0,Jake Plummer pass complete to Mike Anderson for 14 yards (tackle by Willie McGinest),1.860,2.790
2,7:35,1,10,NWE 42,0,0,Jake Plummer pass complete to Rod Smith for 11 yards (tackle by Mike Vrabel),2.790,3.510
2,6:59,1,10,NWE 31,0,0,Mike Anderson left tackle for 1 yard (tackle by Tedy Bruschi),3.510,3.100
2,6:16,2,9,NWE 30,0,0,Jake Plummer pass incomplete intended for Ashley Lelie is intercepted by Asante Samuel at NWE-11,3.100,0.370
,,,,,,,"NWE challenged the ruling, and the original play was overturned.",,
2,6:10,1,10,NWE 11,0,0,Tom Brady pass complete to Andre' Davis for 51 yards (tackle by Champ Bailey),-0.370,3.050
2,5:25,1,10,DEN 38,0,0,Tom Brady pass incomplete intended for Corey Dillon,3.050,2.510
2,5:21,2,10,DEN 38,0,0,Tom Brady pass complete to Deion Branch for 13 yards (tackle by Domonique Foxworth and Al Wilson),2.510,3.910
2,4:41,1,10,DEN 25,0,0,Kevin Faulk up the middle for 3 yards (tackle by Al Wilson and D.J. Williams),3.910,3.770
2,4:01,2,7,DEN 22,0,0,Tom Brady pass incomplete intended for Ben Watson (defended by Trevor Pryce),3.770,3.070
2,3:57,,,,0,0,Timeout #2 by New England Patriots,0.000,3.070
2,3:57,3,7,DEN 22,0,0,Tom Brady pass incomplete intended for Deion Branch,3.070,1.990
2,3:52,4,7,DEN 22,3,0,Adam Vinatieri 40 yard field goal good,1.990,3.000
2,,,,NWE 30,3,0,"Adam Vinatieri kicks off 66 yards, returned by Charlie Adams for 29 yards (tackle by Michael Stone). Penalty on James Sanders: Offside on Free Kick, 5 yards",0.000,1.470
2,3:42,1,10,DEN 38,3,0,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Asante Samuel),1.470,0.920
2,3:37,2,10,DEN 38,3,0,Jake Plummer pass complete to Jeb Putzier for 8 yards (tackle by Mike Vrabel and Artrell Hawkins),0.920,1.290
2,2:52,3,2,DEN 46,3,0,Jake Plummer pass incomplete intended for Rod Smith,1.290,-0.320
2,2:48,4,2,DEN 46,3,0,"Todd Sauerbrun punts 48 yards, fair catch by Tim Dwight",-0.320,0.380
2,2:41,1,10,NWE 7,3,0,Tom Brady pass complete to David Givens for 21 yards (tackle by Champ Bailey),-0.380,0.810
2,2:08,1,10,NWE 28,3,0,Corey Dillon left tackle for 8 yards (tackle by Domonique Foxworth),0.810,1.340
2,2:00,2,2,NWE 36,3,0,"Kevin Faulk up the middle for 3 yards (tackle by Courtney Brown). Kevin Faulk fumbles (forced by Courtney Brown), recovered by Ian Gold at NWE-40 (tackle by Logan Mankins)",1.340,-2.920
2,1:51,1,10,NWE 40,3,0,"Jake Plummer pass incomplete intended for Ashley Lelie. Penalty on Asante Samuel: Defensive Pass Interfere, 39 yards (no play)",2.920,6.970
2,1:45,1,1,NWE 1,3,6,"Mike Anderson left guard for 1 yard, touchdown",6.970,7.000
2,,,,NWE 2,3,7,Jason Elam kicks extra point good,0.000,0.000
