Unnamed: 0,NWE,DEN
First Downs,15,16
Rush-Yds-TDs,21-79-0,32-96-2
Cmp-Att-Yd-TD-INT,20-36-341-1-2,15-26-197-1-1
Sacked-Yards,0-0,2-7
Net Pass Yards,341,190
Total Yards,420,286
Fumbles-Lost,3-3,1-0
Turnovers,5,1
Penalties-Yards,8-82,4-24
Third Down Conv.,3-11,4-14
Fourth Down Conv.,0-1,0-1
Time of Possession,28:12,31:48
