Quarter,Time,Tm,Detail,NWE,DEN
2.0,3:48,Patriots,Adam Vinatieri 40 yard field goal,3,0
,1:42,Broncos,Mike Anderson 1 yard rush (Jason Elam kick),3,7
,0:43,Broncos,Jason Elam 50 yard field goal,3,10
3.0,7:49,Patriots,Adam Vinatieri 32 yard field goal,6,10
,0:43,Broncos,Mike Anderson 1 yard rush (Jason Elam kick),6,17
4.0,8:38,Broncos,Rod Smith 4 yard pass from Jake Plummer (Jason Elam kick),6,24
,8:05,Patriots,David Givens 4 yard pass from Tom Brady (Adam Vinatieri kick),13,24
,3:20,Broncos,Jason Elam 34 yard field goal,13,27
