Quarter,Time,Tm,Detail,NYJ,BUF
1.0,5:23,Jets,Doug Brien 38 yard field goal,3,0
2.0,12:50,Bills,Josh Reed 6 yard pass from Drew Bledsoe (Rian Lindell kick),3,7
3.0,7:24,Bills,Travis Henry 4 yard rush (Rian Lindell kick),3,14
,2:39,Jets,Doug Brien 40 yard field goal,6,14
4.0,11:01,Bills,Rian Lindell 32 yard field goal,6,17
