Unnamed: 0,SEA,SFO
First Downs,18,20
Rush-Yds-TDs,35-168-1,26-94-0
Cmp-Att-Yd-TD-INT,23-31-237-2-0,20-29-275-1-0
Sacked-Yards,3-20,3-18
Net Pass Yards,217,257
Total Yards,385,351
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,14-148,8-66
Third Down Conv.,9-19,3-10
Fourth Down Conv.,1-1,0-0
Time of Possession,37:14,29:40
