Unnamed: 0,WAS,NYG
First Downs,12,14
Rush-Yds-TDs,23-91-0,35-122-1
Cmp-Att-Yd-TD-INT,19-49-169-0-2,12-32-163-1-2
Sacked-Yards,3-9,1-7
Net Pass Yards,160,156
Total Yards,251,278
Fumbles-Lost,3-2,4-1
Turnovers,4,3
Penalties-Yards,3-30,3-20
Third Down Conv.,5-20,3-14
Fourth Down Conv.,1-3,0-0
Time of Possession,28:21,31:39
