Quarter,Time,Tm,Detail,WAS,NYG
2.0,8:16,Redskins,Kai Forbath 31 yard field goal,3,0
,5:21,Giants,Jerrel Jernigan 24 yard pass from Eli Manning (Josh Brown kick),3,7
,1:38,Giants,Josh Brown 34 yard field goal,3,10
,0:04,Redskins,Kai Forbath 49 yard field goal,6,10
3.0,0:00,Giants,Jerrel Jernigan 49 yard rush (Josh Brown kick),6,17
4.0,4:53,Giants,Josh Brown 38 yard field goal,6,20
