Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 66 yards, returned by Nick Williams for 26 yards (tackle by Julian Talley)",0.000,-0.610
1,14:54,1,10,WAS 25,0,0,Alfred Morris right guard for 4 yards (tackle by Mathias Kiwanuka and Jacquian Williams),0.610,0.600
1,14:17,2,6,WAS 29,0,0,Kirk Cousins pass complete short right to Alfred Morris for 15 yards (tackle by Jacquian Williams and Antrel Rolle),0.600,1.860
1,13:53,1,10,WAS 44,0,0,Kirk Cousins pass complete short right to Alfred Morris for 6 yards (tackle by Jon Beason and Jacquian Williams),1.860,2.130
1,13:16,2,4,,0,0,Alfred Morris left end for 1 yard (tackle by Jon Beason and Linval Joseph),2.130,1.550
1,12:39,3,3,NYG 49,0,0,Kirk Cousins pass incomplete short left intended for Santana Moss,1.550,0.000
1,12:31,4,3,NYG 49,0,0,"Saverio Rocca punts 34 yards, fair catch by Rueben Randle",0.000,0.220
1,12:24,1,10,NYG 15,0,0,Andre Brown up the middle for 1 yard (tackle by Rob Jackson and Reed Doughty),-0.220,-0.580
1,11:49,2,9,NYG 16,0,0,Eli Manning pass incomplete short middle intended for Brandon Myers (defended by London Fletcher),-0.580,-1.250
1,11:41,3,9,NYG 16,0,0,Eli Manning pass incomplete short right intended for Rueben Randle (defended by David Amerson),-1.250,-2.390
1,11:36,4,9,NYG 16,0,0,Steve Weatherford punts 36 yards,-2.390,-2.130
1,11:22,1,10,WAS 48,0,0,Aldrick Robinson right end for -2 yards (tackle by Justin Tuck and Keith Rivers),2.130,1.310
1,10:39,2,12,WAS 46,0,0,Kirk Cousins pass incomplete short left intended for Logan Paulsen,1.310,1.310
1,10:34,2,12,WAS 46,0,0,Timeout #1 by Washington Redskins,1.310,0.630
1,10:34,3,12,WAS 46,0,0,Kirk Cousins pass incomplete,0.630,-0.320
1,10:26,4,12,WAS 46,0,0,"Saverio Rocca punts 32 yards, out of bounds. Penalty on Jose Gumbs: Illegally Kicking Ball, 10 yards",-0.320,-1.070
1,10:14,1,10,NYG 32,0,0,Eli Manning pass complete short left to Jerrel Jernigan for 9 yards (tackle by Josh Wilson),1.070,1.740
1,9:50,2,1,NYG 41,0,0,Andre Brown right tackle for 2 yards (tackle by Chris Baker and London Fletcher),1.740,1.800
1,9:05,1,10,NYG 43,0,0,Andre Brown left tackle for -1 yards (tackle by Josh Wilson and London Fletcher),1.800,1.120
1,8:29,2,11,NYG 42,0,0,Eli Manning sacked by Perry Riley for -7 yards,1.120,-0.490
1,7:47,3,18,NYG 35,0,0,Eli Manning pass incomplete short middle intended for Peyton Hillis,-0.490,-1.040
1,7:42,4,18,NYG 35,0,0,"Steve Weatherford punts 48 yards, fair catch by Santana Moss",-1.040,0.060
1,7:34,1,10,WAS 17,0,0,Kirk Cousins pass incomplete deep right intended for Aldrick Robinson,-0.060,-0.580
1,7:28,2,10,WAS 17,0,0,Alfred Morris right end for 7 yards (tackle by Jon Beason),-0.580,-0.370
1,6:52,3,3,WAS 24,0,0,Kirk Cousins pass incomplete short left intended for Nick Williams,-0.370,-1.770
1,6:42,4,3,WAS 24,0,0,"Saverio Rocca punts 53 yards, returned by Jayron Hosley for 8 yards (tackle by Josh Hull)",-1.770,-1.000
