Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Matt Tobin,T,83,100%,0,0%,5,19%
Lane Johnson,T,83,100%,0,0%,5,19%
Jason Kelce,C,83,100%,0,0%,0,0%
Jason Peters,T,83,100%,0,0%,0,0%
Jeremy Maclin,WR,71,86%,0,0%,0,0%
Riley Cooper,WR,69,83%,0,0%,0,0%
Brent Celek,TE,64,77%,0,0%,0,0%
Mark Sanchez,QB,63,76%,0,0%,0,0%
Jordan Matthews,WR,55,66%,0,0%,0,0%
Todd Herremans,G,55,66%,0,0%,0,0%
LeSean McCoy,RB,54,65%,0,0%,0,0%
Andrew Gardner,T,28,34%,0,0%,5,19%
Zach Ertz,TE,24,29%,0,0%,9,33%
Nick Foles,QB,20,24%,0,0%,0,0%
Darren Sproles,RB,19,23%,0,0%,6,22%
Josh Huff,WR,16,19%,0,0%,12,44%
James Casey,TE,15,18%,0,0%,23,85%
Chris Polk,RB,14,17%,0,0%,18,67%
Jeff Maehl,WR,14,17%,0,0%,4,15%
Malcolm Jenkins,FS,0,0%,60,100%,15,56%
Bradley Fletcher,CB,0,0%,60,100%,9,33%
Earl Wolff,SS,0,0%,60,100%,3,11%
Cary Williams,CB,0,0%,60,100%,0,0%
Mychal Kendricks,LB,0,0%,59,98%,0,0%
Connor Barwin,LB,0,0%,54,90%,0,0%
Fletcher Cox,DE,0,0%,50,83%,0,0%
Trent Cole,LB,0,0%,46,77%,4,15%
DeMeco Ryans,LB,0,0%,44,73%,3,11%
Bennie Logan,NT,0,0%,36,60%,9,33%
Cedric Thornton,DE,0,0%,33,55%,4,15%
Brandon Boykin,CB,0,0%,32,53%,8,30%
Brandon Graham,LB,0,0%,20,33%,13,48%
Vinny Curry,DE,0,0%,16,27%,0,0%
Nolan Carroll,CB,0,0%,14,23%,16,59%
Beau Allen,NT,0,0%,8,13%,5,19%
Brandon Bair,DE,0,0%,5,8%,9,33%
Casey Matthews,LB,0,0%,3,5%,7,26%
Bryan Braman,LB,0,0%,0,0%,22,81%
Chris Maragos,FS,0,0%,0,0%,22,81%
Trey Burton,TE,0,0%,0,0%,18,67%
Emmanuel Acho,LB,0,0%,0,0%,11,41%
Cody Parkey,K,0,0%,0,0%,10,37%
Donnie Jones,P,0,0%,0,0%,8,30%
Jon Dorenbos,LS,0,0%,0,0%,8,30%
Jaylen Watkins,CB,0,0%,0,0%,6,22%
