Unnamed: 0,PHI,HOU
First Downs,30,15
Rush-Yds-TDs,41-190-1,28-118-0
Cmp-Att-Yd-TD-INT,24-34-326-3-3,13-27-203-2-1
Sacked-Yards,4-33,4-21
Net Pass Yards,293,182
Total Yards,483,300
Fumbles-Lost,1-1,1-0
Turnovers,4,1
Penalties-Yards,7-55,9-54
Third Down Conv.,9-16,5-13
Fourth Down Conv.,2-2,0-1
Time of Possession,32:13,27:47
