Quarter,Time,Tm,Detail,DEN,PIT
1.0,4:23,Steelers,James Conner 2 yard rush (Chris Boswell kick),0,7
2.0,12:07,Broncos,Brandon McManus 49 yard field goal,3,7
,6:23,Steelers,Chase Claypool 84 yard pass from Ben Roethlisberger (Chris Boswell kick),3,14
,0:39,Steelers,Chris Boswell 21 yard field goal,3,17
3.0,8:00,Broncos,Brandon McManus 28 yard field goal,6,17
,1:07,Broncos,Noah Fant 20 yard pass from Jeff Driskel (Noah Fant pass from Jeff Driskel),14,17
4.0,11:26,Steelers,Diontae Johnson 28 yard pass from Ben Roethlisberger (Chris Boswell kick),14,24
,10:01,Steelers,"Safety, Sam Martin tackled in end zone",14,26
,7:43,Broncos,Melvin Gordon 16 yard pass from Jeff Driskel (Brandon McManus kick),21,26
