Unnamed: 0,DEN,PIT
First Downs,23,19
Rush-Yds-TDs,26-104-0,22-109-1
Cmp-Att-Yd-TD-INT,19-39-276-2-1,29-41-311-2-1
Sacked-Yards,7-61,1-10
Net Pass Yards,215,301
Total Yards,319,410
Fumbles-Lost,2-1,2-1
Turnovers,2,2
Penalties-Yards,4-30,10-89
Third Down Conv.,5-15,2-12
Fourth Down Conv.,0-2,1-2
Time of Possession,30:31,29:29
