Quarter,Time,Down,ToGo,Location,DEN,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 61 yards, returned by Diontae Spencer for 16 yards (tackle by Chase Claypool)",0.000,0.280
1,14:56,1,10,DEN 20,0,0,Drew Lock pass complete deep left to Courtland Sutton for 20 yards,0.280,1.600
1,14:30,1,10,DEN 40,0,0,Drew Lock pass incomplete short middle intended for Jerry Jeudy,1.600,1.050
1,14:24,2,10,DEN 40,0,0,Melvin Gordon left guard for 7 yards (tackle by Minkah Fitzpatrick),1.050,1.290
1,13:47,3,3,DEN 47,0,0,"Drew Lock pass incomplete short right intended for Tim Patrick (defended by Joe Haden). Penalty on Joe Haden: Defensive Pass Interference, 4 yards (no play)",1.290,2.320
1,13:43,1,10,PIT 49,0,0,Melvin Gordon left guard for -2 yards (tackle by Vince Williams and Tyson Alualu),2.320,1.510
1,13:04,2,12,DEN 49,0,0,Drew Lock pass incomplete deep right intended for Nick Vannett,1.510,0.830
1,12:55,,,,,,Timeout #1 by Denver Broncos,,
1,12:55,3,12,DEN 49,0,0,Drew Lock pass incomplete short middle intended for Courtland Sutton (defended by Devin Bush),0.830,-0.130
1,12:51,4,12,DEN 49,0,0,"Sam Martin punts 46 yards, returned by Diontae Johnson for 18 yards (tackle by Jake Butt)",-0.130,-0.480
1,12:38,1,10,PIT 23,0,0,"Ben Roethlisberger aborted snap, recovered by Diontae Johnson at PIT-15 (tackle by Shelby Harris)",0.480,-1.280
1,12:02,2,18,PIT 15,0,0,James Conner up the middle for 8 yards (tackle by Alexander Johnson),-1.280,-0.760
1,11:19,3,10,PIT 23,0,0,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 8 yards (tackle by Michael Ojemudia),-0.760,-1.310
1,10:39,4,2,PIT 31,0,0,"Dustin Colquitt punts 42 yards, returned by Diontae Spencer for 6 yards (tackle by Chase Claypool and Justin Layne)",-1.310,-1.140
1,10:30,1,10,DEN 33,0,0,Melvin Gordon left tackle for 6 yards (tackle by Vince Williams and Terrell Edmunds),1.140,1.400
1,9:56,2,4,DEN 39,0,0,Melvin Gordon up the middle for 17 yards (tackle by Devin Bush),1.400,2.650
1,9:20,1,10,PIT 44,0,0,Melvin Gordon up the middle for 16 yards (tackle by Steven Nelson and Minkah Fitzpatrick),2.650,3.710
1,8:42,1,10,PIT 28,0,0,Drew Lock pass incomplete deep left intended for Tim Patrick,3.710,3.170
1,8:35,2,10,PIT 28,0,0,Royce Freeman left tackle for 3 yards (tackle by T.J. Watt),3.170,2.870
1,7:53,3,7,PIT 25,0,0,"Drew Lock sacked by Bud Dupree for -8 yards. Drew Lock fumbles (forced by Bud Dupree), recovered by Mike Hilton at PIT-33 and returned for 8 yards (tackle by Garett Bolles)",2.870,-1.660
1,7:42,1,10,PIT 41,0,0,Ben Roethlisberger pass complete short right to Eric Ebron for 15 yards (tackle by Bryce Callahan),1.660,2.650
1,7:12,1,10,DEN 44,0,0,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 8 yards (tackle by Justin Simmons and Alexander Johnson),2.650,3.190
1,6:37,2,2,DEN 36,0,0,Ben Roethlisberger pass complete short right to James Washington for 5 yards (tackle by Bryce Callahan),3.190,3.510
1,5:57,1,10,DEN 31,0,0,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson,3.510,2.970
1,5:54,2,10,DEN 31,0,0,James Conner up the middle for 11 yards (tackle by Alexander Johnson and Josey Jewell),2.970,4.240
1,5:13,1,10,DEN 20,0,0,Ben Roethlisberger pass incomplete short middle intended for Eric Ebron,4.240,3.690
1,5:09,2,10,DEN 20,0,0,Ben Roethlisberger pass incomplete deep left intended for Diontae Johnson (defended by Michael Ojemudia),3.690,3.010
1,5:04,3,10,DEN 20,0,0,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 18 yards (tackle by Kareem Jackson and Alexander Johnson),3.010,6.740
1,4:27,1,2,DEN 2,0,6,"James Conner up the middle for 2 yards, touchdown",6.740,7.000
1,4:23,,,DEN 15,0,7,Chris Boswell kicks extra point good,0.000,0.000
1,4:23,,,PIT 35,0,7,"Chris Boswell kicks off 67 yards, returned by Diontae Spencer for 22 yards (tackle by Derek Watt)",0.000,0.280
1,4:18,1,10,DEN 20,0,7,Melvin Gordon left tackle for 1 yard (tackle by Mike Hilton and Bud Dupree),0.280,-0.130
1,3:42,2,9,DEN 21,0,7,Jeff Driskel pass complete short middle to Jerry Jeudy for 20 yards (tackle by Steven Nelson),-0.130,1.660
1,3:03,1,10,DEN 41,0,7,KJ Hamler left end for 9 yards (tackle by Minkah Fitzpatrick),1.660,2.340
1,2:22,2,1,DEN 50,0,7,Melvin Gordon right guard for -2 yards (tackle by Mike Hilton),2.340,1.360
1,1:36,3,3,DEN 48,0,7,Jeff Driskel pass incomplete deep right intended for Courtland Sutton (defended by Terrell Edmunds),1.360,-0.190
1,1:29,4,3,DEN 48,0,7,Sam Martin punts 35 yards out of bounds,-0.190,0.060
1,1:22,1,10,PIT 17,0,7,Benny Snell right guard for 2 yards (tackle by Alexander Johnson),-0.060,-0.250
1,0:50,2,8,PIT 19,0,7,Ben Roethlisberger sacked by Mike Purcell for -10 yards,-0.250,-2.360
1,0:05,3,18,PIT 9,0,7,Ben Roethlisberger pass incomplete short middle intended for Jaylen Samuels,-2.360,-2.490
1,0:01,4,18,PIT 9,0,7,"Dustin Colquitt punts 36 yards, returned by Diontae Spencer for 9 yards (tackle by Benny Snell)",-2.490,-3.180
Quarter,Time,Down,ToGo,Location,DEN,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 36,0,7,Jeff Driskel pass complete deep left to Jerry Jeudy for 19 yards (tackle by Terrell Edmunds),3.180,4.440
2,14:27,1,10,PIT 17,0,7,"Penalty on Nick Vannett: False Start, 5 yards (no play)",4.440,4.110
2,14:06,1,15,PIT 22,0,7,Jeff Driskel sacked by Mike Hilton for -8 yards,4.110,2.140
2,13:25,2,23,PIT 30,0,7,Melvin Gordon left guard for -2 yards (tackle by Cameron Heyward),2.140,1.220
2,12:51,3,25,PIT 32,0,7,Jeff Driskel pass complete short left to Courtland Sutton for 1 yard (tackle by Mike Hilton),1.220,1.320
2,12:11,4,24,PIT 31,3,7,Brandon McManus 49 yard field goal good,1.320,3.000
2,12:07,,,DEN 35,3,7,"Brandon McManus kicks off 58 yards, returned by Ray-Ray McCloud for 15 yards (tackle by Derrek Tuszka)",0.000,0.410
2,12:01,1,10,PIT 22,3,7,Ben Roethlisberger pass complete short left to James Washington for 7 yards (tackle by Michael Ojemudia),0.410,0.810
2,11:29,2,3,PIT 29,3,7,James Conner left guard for 3 yards (tackle by Jurrell Casey),0.810,1.070
2,10:50,1,10,PIT 32,3,7,Ben Roethlisberger pass complete short left to Diontae Johnson for 10 yards (tackle by Kareem Jackson),1.070,1.730
2,10:37,1,10,PIT 42,3,7,"James Conner up the middle for 4 yards (tackle by Justin Simmons). Penalty on Vance McDonald: Offensive Holding, 10 yards",1.730,1.330
2,10:15,1,16,PIT 36,3,7,Ben Roethlisberger pass complete short right to Diontae Johnson for 18 yards (tackle by Malik Reed),1.330,2.520
2,9:38,1,10,DEN 46,3,7,Ben Roethlisberger pass incomplete short middle intended for Vance McDonald,2.520,1.980
2,9:33,2,10,DEN 46,3,7,Ben Roethlisberger pass incomplete short middle intended for James Washington (defended by Malik Reed),1.980,1.290
2,9:29,3,10,DEN 46,3,7,Ben Roethlisberger pass incomplete short middle intended for Diontae Johnson (defended by Justin Simmons),1.290,0.200
2,9:26,4,10,DEN 46,3,7,"Dustin Colquitt punts 35 yards, fair catch by Diontae Spencer at DEN-11",0.200,0.370
2,9:19,1,10,DEN 11,3,7,Melvin Gordon left tackle for 2 yards (tackle by Isaiah Buggs),-0.370,-0.630
2,8:42,2,8,DEN 13,3,7,Jeff Driskel pass incomplete short right,-0.630,-1.190
2,8:36,3,8,DEN 13,3,7,Jeff Driskel pass complete short middle to Jerry Jeudy for 15 yards (tackle by Devin Bush),-1.190,0.810
2,8:26,1,10,DEN 28,3,7,Jeff Driskel pass incomplete short right intended for Tim Patrick,0.810,0.260
2,8:20,2,10,DEN 28,3,7,Melvin Gordon right tackle for 6 yards (tackle by Vince Williams),0.260,0.370
2,7:39,3,4,DEN 34,3,7,Jeff Driskel sacked by and T.J. Watt for -8 yards and Cameron Heyward for -8 yards,0.370,-1.630
2,6:56,4,12,DEN 26,3,7,"Sam Martin punts 55 yards, returned by Diontae Johnson for 7 yards. Penalty on Cameron Sutton: Illegal Block Above the Waist, 10 yards",-1.630,0.140
2,6:34,1,10,PIT 16,3,13,"Ben Roethlisberger pass complete deep left to Chase Claypool for 84 yards, touchdown, touchdown",-0.140,7.000
2,6:23,,,DEN 15,3,14,Chris Boswell kicks extra point good,0.000,0.000
2,6:23,,,PIT 35,3,14,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,6:23,1,10,DEN 25,3,14,Jeff Driskel pass complete deep right to Courtland Sutton for 45 yards (tackle by Joe Haden),0.610,3.580
2,5:39,1,10,PIT 30,3,14,Jeff Driskel sacked by Tyson Alualu for -10 yards,3.580,1.680
2,4:54,,,,,,Timeout #2 by Denver Broncos,,
2,4:53,2,20,PIT 40,3,14,Jeff Driskel pass incomplete short middle intended for DaeSean Hamilton (defended by Tyson Alualu),1.680,1.020
2,4:49,3,20,PIT 40,3,14,Jeff Driskel pass incomplete short middle intended for KJ Hamler,1.020,0.590
2,4:46,4,20,PIT 40,3,14,Brandon McManus 58 yard field goal no good,0.590,-2.130
2,4:41,1,10,PIT 48,3,14,James Conner right guard for 2 yards (tackle by Jurrell Casey),2.130,1.850
2,4:11,2,8,PIT 50,3,14,"James Conner right tackle for 3 yards (tackle by Bradley Chubb). Penalty on Eric Ebron: Offensive Holding, 10 yards (no play)",1.850,0.500
2,3:47,2,18,PIT 40,3,14,James Conner up the middle for 2 yards (tackle by Bradley Chubb),0.500,0.100
2,3:12,3,16,PIT 42,3,14,Ben Roethlisberger pass complete short middle to Diontae Johnson for 9 yards (tackle by Alexander Johnson),0.100,0.000
2,2:22,4,7,DEN 49,3,14,"Penalty on PIT: Delay of Game, 5 yards (no play)",0.000,-0.320
2,2:18,4,12,PIT 46,3,14,"Dustin Colquitt punts 54 yards, touchback.",-0.320,-0.280
2,2:09,1,10,DEN 20,3,14,Jeff Driskel pass short middle intended for Courtland Sutton is intercepted by Joe Haden at DEN-35 and returned for 24 yards,0.280,-4.840
2,1:58,1,10,DEN 11,3,14,Ben Roethlisberger pass complete short middle to James Conner for 6 yards (tackle by Josey Jewell),4.840,5.280
2,1:50,,,,,,Timeout #3 by Denver Broncos,,
2,1:50,2,4,DEN 5,3,14,James Conner right guard for 3 yards (tackle by Jurrell Casey),5.280,5.120
2,1:26,3,1,DEN 2,3,14,James Conner right guard for -1 yards (tackle by Bradley Chubb),5.120,3.050
2,0:42,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,0:42,4,2,DEN 3,3,17,Chris Boswell 21 yard field goal good,3.050,3.000
