Unnamed: 0,ATL,NOR
First Downs,21,23
Rush-Yds-TDs,24-161-1,35-146-2
Cmp-Att-Yd-TD-INT,19-42-289-1-3,25-33-308-2-1
Sacked-Yards,3-8,2-17
Net Pass Yards,281,291
Total Yards,442,437
Fumbles-Lost,0-0,3-3
Turnovers,3,4
Penalties-Yards,4-25,7-65
Third Down Conv.,3-11,7-12
Fourth Down Conv.,1-2,0-0
Time of Possession,26:46,33:14
