Quarter,Time,Tm,Detail,ATL,NOR
1.0,11:03,Falcons,Michael Turner 13 yard rush (Jason Elam kick),7,0
,5:26,Saints,Pierre Thomas 22 yard rush (John Carney kick),7,7
,2:14,Falcons,Kroy Biermann 4 yard defensive fumble return (Jason Elam kick),14,7
2.0,10:38,Saints,Marques Colston 18 yard pass from Drew Brees (John Carney kick),14,14
,1:05,Saints,Reggie Bush 1 yard rush (John Carney kick),14,21
,0:42,Saints,Jabari Greer 48 yard interception return (John Carney kick),14,28
3.0,12:25,Falcons,Roddy White 68 yard pass from Matt Ryan (Jason Elam kick),21,28
4.0,11:33,Falcons,Jason Elam 25 yard field goal,24,28
,3:03,Saints,Pierre Thomas 1 yard pass from Drew Brees (John Carney kick),24,35
,0:28,Falcons,Jason Elam 40 yard field goal,27,35
