Quarter,Time,Down,ToGo,Location,BAL,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Paul Ernster kicks off 70 yards, returned by B.J. Sams for 20 yards (tackle by Domonique Foxworth)",0.000,0.280
1,14:55,1,10,BAL 20,0,0,Jamal Lewis left tackle for 2 yards (tackle by D.J. Williams and Kenard Lang),0.280,0.000
1,14:14,2,8,BAL 22,0,0,Jamal Lewis right guard for 4 yards (tackle by Al Wilson),0.000,-0.160
1,13:29,3,4,BAL 26,0,0,Steve McNair right tackle for 6 yards (tackle by Ian Gold),-0.160,1.070
1,12:43,1,10,BAL 32,0,0,Steve McNair pass incomplete short right intended for Todd Heap,1.070,0.530
1,12:38,2,10,BAL 32,0,0,Steve McNair sacked by Ebenezer Ekuban for -9 yards,0.530,-1.350
1,12:05,3,19,BAL 23,0,0,"Penalty on Steve McNair: Delay of Game, 5 yards (no play)",-1.350,-2.270
1,11:47,3,24,BAL 18,0,0,Musa Smith middle for 6 yards (tackle by Al Wilson),-2.270,-1.770
1,11:11,4,18,BAL 24,0,0,"Sam Koch punts 52 yards, returned by Darrent Williams for 13 yards (tackle by Ronnie Prude)",-1.770,-1.400
1,10:57,1,10,DEN 37,0,0,Javon Walker left end for no gain (tackle by Ed Reed),1.400,0.860
1,10:28,2,10,DEN 37,0,0,"Tatum Bell right tackle for no gain (tackle by Adalius Thomas). Penalty on Ray Lewis: Defensive Offside, 5 yards (no play)",0.860,1.530
1,10:10,2,5,DEN 42,0,0,"Jake Plummer pass complete short left to Tatum Bell for -2 yards (tackle by Terrell Suggs). Tatum Bell fumbles (forced by Terrell Suggs), recovered by Chris McAlister at DEN-40",1.530,-2.920
1,10:03,1,10,DEN 40,0,0,Jamal Lewis left end for 3 yards (tackle by Michael Myers and John Lynch),2.920,2.780
1,9:18,2,7,DEN 37,0,0,Jamal Lewis left tackle for 3 yards (tackle by Al Wilson),2.780,2.480
1,8:33,3,4,DEN 34,0,0,Steve McNair pass complete short left to Mark Clayton for 6 yards (tackle by Domonique Foxworth),2.480,3.710
1,7:53,1,10,DEN 28,0,0,Steve McNair pass complete short left to Todd Heap for 9 yards (tackle by Sam Brandon),3.710,4.420
1,7:06,2,1,DEN 19,0,0,Jamal Lewis middle for 6 yards (tackle by John Lynch),4.420,4.710
1,6:24,1,10,DEN 13,0,0,Jamal Lewis right tackle for no gain (tackle by Al Wilson and Champ Bailey),4.710,4.050
1,5:41,2,10,DEN 13,0,0,Steve McNair pass complete short middle to Jamal Lewis for 1 yard (tackle by Al Wilson),4.050,3.280
1,4:57,,,,0,0,Timeout #1 by Denver Broncos,0.000,3.280
1,4:57,3,9,DEN 12,0,0,Steve McNair pass complete short right to Mark Clayton for 6 yards (tackle by Domonique Foxworth and Champ Bailey),3.280,3.010
1,4:49,4,3,DEN 6,3,0,Matt Stover 24 yard field goal good,3.010,3.000
1,4:46,,,BAL 30,3,0,"Matt Stover kicks off 61 yards, returned by Quincy Morgan for 19 yards (tackle by Ovie Mughelli)",0.000,0.810
1,4:39,1,10,DEN 28,3,0,Tatum Bell left tackle for 3 yards (tackle by Haloti Ngata),0.810,0.670
1,4:00,2,7,DEN 31,3,0,Jake Plummer pass complete short right to Javon Walker for 9 yards (tackle by Ed Reed and Terrell Suggs),0.670,1.600
1,3:35,1,10,DEN 40,3,0,Jake Plummer pass complete short left to Kyle Johnson for -1 yards (tackle by Terrell Suggs),1.600,0.920
1,2:52,2,11,DEN 39,3,0,"Penalty on Javon Walker: False Start, 5 yards (no play)",0.920,0.240
1,2:29,,,,3,0,Timeout #2 by Denver Broncos,0.000,0.240
1,2:29,2,16,DEN 34,3,0,Jake Plummer pass incomplete deep right intended for Javon Walker is intercepted by Samari Rolle at BAL-42 and returned for -8 yards,0.240,-1.200
1,2:22,1,10,BAL 34,3,0,Steve McNair pass incomplete short right intended for Derrick Mason (defended by Al Wilson),1.200,0.660
1,2:16,2,10,BAL 34,3,0,Jamal Lewis left tackle for 4 yards (tackle by Kenard Lang and Gerard Warren),0.660,0.500
1,1:37,3,6,BAL 38,3,0,Steve McNair middle for 9 yards (tackle by Al Wilson),0.500,2.060
1,0:49,1,10,BAL 47,3,0,Jamal Lewis left end for 4 yards (tackle by Ian Gold),2.060,2.060
1,0:19,2,6,DEN 49,3,0,Mike Anderson middle for 9 yards (tackle by Nick Ferguson),2.060,2.920
Quarter,Time,Down,ToGo,Location,BAL,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 40,3,0,Steve McNair pass complete short right to Daniel Wilcox for 8 yards (tackle by Nick Ferguson),2.920,3.450
2,14:13,2,2,DEN 32,3,0,Mike Anderson right tackle for -2 yards (tackle by Al Wilson),3.450,2.480
2,13:28,3,4,DEN 34,3,0,"Penalty on Jason Brown: False Start, 5 yards (no play)",2.480,1.820
2,13:03,3,9,DEN 39,3,0,Steve McNair pass incomplete short right intended for Demetrius Williams,1.820,0.660
