Unnamed: 0,BAL,DEN
First Downs,16,13
Rush-Yds-TDs,25-103-0,28-116-0
Cmp-Att-Yd-TD-INT,20-34-165-0-3,13-24-106-1-1
Sacked-Yards,2-11,1-0
Net Pass Yards,154,106
Total Yards,257,222
Fumbles-Lost,1-0,2-1
Turnovers,3,2
Penalties-Yards,3-15,3-25
Third Down Conv.,6-15,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,31:38,28:22
