Unnamed: 0,LAR,KAN
First Downs,13,29
Rush-Yds-TDs,28-116-0,30-117-1
Cmp-Att-Yd-TD-INT,14-24-106-1-2,27-42-320-1-1
Sacked-Yards,3-24,0-0
Net Pass Yards,82,320
Total Yards,198,437
Fumbles-Lost,0-0,1-1
Turnovers,2,2
Penalties-Yards,5-25,3-25
Third Down Conv.,5-13,5-11
Fourth Down Conv.,3-3,0-0
Time of Possession,27:34,32:26
