Quarter,Time,Down,ToGo,Location,LAR,KAN,Detail,EPB,EPA
1,3:32,3,5,LAR 45,0,7,Bryce Perkins scrambles left end for 13 yards (tackle by Nick Bolton),1.030,2.790
1,2:50,1,10,KAN 42,0,7,Kyren Williams left guard for 2 yards (tackle by Khalen Saunders and Carlos Dunlap),2.790,2.510
1,2:06,2,8,KAN 40,0,7,Bryce Perkins pass complete short left to Kyren Williams for 15 yards (tackle by Willie Gay),2.510,3.910
1,1:20,1,10,KAN 25,0,7,Kyren Williams left end for -1 yards (tackle by Willie Gay and Frank Clark),3.910,3.230
1,0:35,2,11,KAN 26,0,7,Bryce Perkins pass incomplete deep left intended for Lance McCutcheon,3.230,2.540
1,0:30,3,11,KAN 26,0,7,Kyren Williams right end for -3 yards (tackle by L'Jarius Sneed),2.540,1.500
Quarter,Time,Down,ToGo,Location,LAR,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,14,KAN 29,3,7,Matt Gay 47 yard field goal good,1.500,3.000
2,14:57,,,LAR 35,3,7,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,14:57,1,10,KAN 25,3,7,Isiah Pacheco left end for 9 yards (tackle by Nick Scott and Troy Hill),0.610,1.280
2,14:21,2,1,KAN 34,3,7,Patrick Mahomes pass complete short middle to Skyy Moore for 2 yards (tackle by Michael Hoecht and Jalen Ramsey),1.280,1.330
2,13:41,1,10,KAN 36,3,7,Patrick Mahomes pass complete short middle to Justin Watson for 14 yards (tackle by Ernest Jones),1.330,2.260
2,12:58,1,10,KAN 50,3,7,"Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Derion Kendrick: Defensive Holding, 5 yards (accepted) (no play)",2.260,2.590
2,12:53,,,,,,Timeout #1 by Kansas City Chiefs,,
2,12:53,1,10,LAR 45,3,7,Isiah Pacheco up the middle for 3 yards (tackle by Jonah Williams and Troy Hill),2.590,2.450
2,12:19,2,7,LAR 42,3,7,Patrick Mahomes pass complete short left to Ronald Jones for 22 yards (tackle by Taylor Rapp and Jalen Ramsey),2.450,4.240
2,11:45,1,10,LAR 20,3,7,Ronald Jones up the middle for 3 yards (tackle by Jonah Williams),4.240,4.120
2,11:06,2,7,LAR 17,3,7,Patrick Mahomes pass incomplete deep right,4.120,3.360
2,10:56,3,7,LAR 17,3,7,Patrick Mahomes scrambles right end for 13 yards (tackle by Nick Scott),3.360,6.280
2,10:13,1,4,LAR 4,3,7,"Patrick Mahomes pass complete short right to Noah Gray for no gain, touchdown. Penalty on Trey Smith: Ineligible Downfield Pass, 5 yards (accepted) (no play)",6.280,5.140
2,10:08,1,9,LAR 9,3,7,Patrick Mahomes pass incomplete short right intended for Jody Fortson,5.140,4.380
2,10:02,2,9,LAR 9,3,7,Patrick Mahomes pass incomplete short right,4.380,3.360
2,9:59,3,9,LAR 9,3,7,Patrick Mahomes pass incomplete short right intended for Jerick McKinnon,3.360,2.830
2,9:53,4,9,LAR 9,3,10,Harrison Butker 27 yard field goal good,2.830,3.000
2,9:50,,,KAN 35,3,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,9:50,1,10,LAR 25,3,10,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",0.610,0.280
2,9:50,1,15,LAR 20,3,10,Cam Akers left end for 1 yard (tackle by Michael Danna and Derrick Nnadi),0.280,-0.480
2,9:07,,,,,,Timeout #2 by Los Angeles Rams,,
2,9:07,2,14,LAR 21,3,10,Bryce Perkins left end for 5 yards (tackle by Michael Danna),-0.480,-0.490
2,8:30,3,9,LAR 26,3,10,Bryce Perkins scrambles right end for 10 yards (tackle by L'Jarius Sneed),-0.490,1.330
2,7:51,1,10,LAR 36,3,10,Kyren Williams left guard for -1 yards (tackle by Nick Bolton),1.330,0.660
2,7:13,2,11,LAR 35,3,10,Kyren Williams up the middle for 5 yards (tackle by L'Jarius Sneed and Darius Harris),0.660,0.630
2,6:43,3,6,LAR 40,3,10,Bryce Perkins left end for 1 yard (tackle by Nick Bolton),0.630,-0.650
2,6:01,4,5,LAR 41,3,10,Riley Dixon pass complete short right to Jacob Harris for 6 yards (tackle by Trent McDuffie),-0.650,2.060
2,5:13,,,,,,Timeout #3 by Los Angeles Rams,,
2,5:13,1,10,LAR 47,3,10,Bryce Perkins sacked by Chris Jones for -9 yards,2.060,0.300
2,4:36,2,19,LAR 38,3,10,Cam Akers left guard for 8 yards (tackle by Frank Clark and Nick Bolton),0.300,0.700
2,3:58,3,11,LAR 46,3,10,Bryce Perkins left end for 2 yards (tackle by Michael Danna and Willie Gay),0.700,-0.190
2,3:22,4,9,LAR 48,3,10,Riley Dixon punts 48 yards out of bounds,-0.190,0.380
2,3:16,1,10,KAN 4,3,10,Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 21 yards,-0.380,0.610
2,2:52,1,10,KAN 25,3,10,Isiah Pacheco right end for 6 yards (tackle by Ernest Jones),0.610,0.870
2,2:18,2,4,KAN 31,3,10,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 8 yards (tackle by David Long),0.870,1.530
2,2:00,1,10,KAN 39,3,10,Patrick Mahomes pass incomplete deep middle intended for Skyy Moore,1.530,0.990
2,1:54,2,10,KAN 39,3,10,Patrick Mahomes pass complete short right to Justin Watson for 12 yards (tackle by Taylor Rapp),0.990,2.320
2,1:38,1,10,LAR 49,3,10,Patrick Mahomes pass incomplete short left intended for Travis Kelce,2.320,1.780
2,1:32,2,10,LAR 49,3,10,Patrick Mahomes pass complete short left to Jerick McKinnon for 7 yards (tackle by Taylor Rapp),1.780,2.020
2,1:06,3,3,LAR 42,3,10,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 9 yards (tackle by Derion Kendrick),2.020,3.380
2,1:00,,,,,,Timeout #2 by Kansas City Chiefs,,
2,1:00,1,10,LAR 33,3,10,"Patrick Mahomes pass incomplete deep right intended for Justin Watson. Penalty on Orlando Brown: Offensive Holding, 10 yards (accepted) (no play)",3.380,2.720
2,0:53,1,20,LAR 43,3,10,Patrick Mahomes pass complete short left to Jody Fortson for 21 yards (tackle by Ernest Jones and Troy Hill),2.720,4.110
2,0:33,1,10,LAR 22,3,10,Patrick Mahomes pass complete short right to Noah Gray for 9 yards (tackle by Troy Hill),4.110,5.060
2,0:26,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:26,2,1,LAR 13,3,10,Patrick Mahomes pass incomplete short right,5.060,4.390
2,0:22,3,1,LAR 13,3,10,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,4.390,2.720
2,0:19,4,1,LAR 13,3,13,Harrison Butker 32 yard field goal good,2.720,3.000
2,0:16,,,KAN 35,3,13,"Harrison Butker kicks off 70 yards, returned by Brandon Powell for 28 yards (tackle by Jack Cochrane)",0.000,0.480
2,0:10,1,10,LAR 23,3,13,Bryce Perkins kneels for -1 yards,0.480,-0.200
Quarter,Time,Down,ToGo,Location,LAR,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,3,13,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,3,13,Cam Akers left end for 3 yards (tackle by Nick Bolton),0.610,0.470
3,14:20,2,7,LAR 28,3,13,Bryce Perkins pass incomplete short right intended for Ben Skowronek,0.470,-0.230
3,14:17,3,7,LAR 28,3,13,Bryce Perkins sacked by Bryan Cook for -5 yards,-0.230,-1.830
3,13:31,4,12,LAR 23,3,13,Riley Dixon punts 48 yards out of bounds,-1.830,-0.870
3,13:24,1,10,KAN 29,3,13,Isiah Pacheco up the middle for 1 yard (tackle by Troy Hill),0.870,0.460
3,12:46,2,9,KAN 30,3,13,Patrick Mahomes pass complete short right to Skyy Moore for 10 yards (tackle by Michael Hoecht),0.460,1.600
3,12:09,1,10,KAN 40,3,13,Patrick Mahomes pass complete short right to Jody Fortson for 5 yards (tackle by Taylor Rapp),1.600,1.730
3,11:36,2,5,KAN 45,3,13,Isiah Pacheco right end for 2 yards (tackle by Jalen Ramsey and Bobby Wagner),1.730,1.290
3,10:57,3,3,KAN 47,3,13,Patrick Mahomes pass complete short right to Jerick McKinnon for 8 yards (tackle by Leonard Floyd),1.290,2.590
3,10:13,1,10,LAR 45,3,13,Patrick Mahomes pass complete short right to Noah Gray for 7 yards (tackle by Ernest Jones),2.590,2.990
3,9:30,2,3,LAR 38,3,13,Ronald Jones right end for 5 yards (tackle by Marquise Copeland),2.990,3.380
3,8:56,1,10,LAR 33,3,13,Ronald Jones right end for 3 yards (tackle by Jalen Ramsey and Ernest Jones),3.380,3.240
3,8:19,2,7,LAR 30,3,13,Patrick Mahomes pass complete short middle to Isiah Pacheco for 17 yards (tackle by Ernest Jones and Nick Scott),3.240,4.710
3,7:41,1,10,LAR 13,3,13,Isiah Pacheco up the middle for 3 yards (tackle by Aaron Donald),4.710,4.580
3,7:06,2,7,LAR 10,3,13,Patrick Mahomes scrambles left end for 7 yards (tackle by Michael Hoecht and Troy Hill),4.580,6.510
3,6:36,1,3,LAR 3,3,19,"Isiah Pacheco up the middle for 3 yards, touchdown",6.510,7.000
3,6:32,,,LAR 15,3,20,Harrison Butker kicks extra point good,0.000,0.000
3,6:32,,,KAN 35,3,20,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,6:32,1,10,LAR 25,3,20,Bryce Perkins pass complete deep right to Van Jefferson for 16 yards (tackle by Nick Bolton),0.610,1.660
3,6:04,1,10,LAR 41,3,20,Bryce Perkins pass complete short left to Ben Skowronek for no gain (tackle by L'Jarius Sneed),1.660,1.120
3,5:29,2,10,LAR 41,3,20,Kyren Williams up the middle for 9 yards (tackle by Bryan Cook),1.120,1.620
3,4:58,3,1,LAR 50,3,20,Bryce Perkins up the middle for 2 yards (tackle by Frank Clark),1.620,2.390
3,4:32,1,10,KAN 48,3,20,Bryce Perkins pass complete short middle to Kyren Williams for 6 yards (tackle by Willie Gay and L'Jarius Sneed),2.390,2.660
3,3:59,2,4,KAN 42,3,20,Kyren Williams right end for 2 yards (tackle by Frank Clark),2.660,2.210
3,3:12,3,2,KAN 40,3,20,Bryce Perkins pass incomplete short left intended for Ben Skowronek (defended by L'Jarius Sneed),2.210,0.590
3,3:08,4,2,KAN 40,3,20,Bryce Perkins pass complete short left to Tutu Atwell for 8 yards,0.590,3.450
3,2:32,1,10,KAN 32,3,20,Kyren Williams right tackle for 2 yards (tackle by Carlos Dunlap and Khalen Saunders),3.450,3.170
3,1:52,2,8,KAN 30,3,20,Bryce Perkins pass complete short right to Tutu Atwell for 15 yards,3.170,4.580
3,1:15,1,10,KAN 15,3,20,Bryce Perkins pass incomplete short left intended for Lance McCutcheon (defended by Trent McDuffie),4.580,3.950
3,1:09,2,10,KAN 15,3,20,Cam Akers right end for 2 yards (tackle by Justin Reid),3.950,3.400
3,0:43,3,8,KAN 13,3,20,Bryce Perkins pass complete short right to Van Jefferson for 6 yards (tackle by Willie Gay),3.400,3.000
Quarter,Time,Down,ToGo,Location,LAR,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,KAN 7,9,20,"Bryce Perkins pass complete short middle to Van Jefferson for 7 yards, touchdown",3.000,7.000
4,14:56,,,KAN 15,10,20,Matt Gay kicks extra point good,0.000,0.000
4,14:56,,,LAR 35,10,20,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,14:56,1,10,KAN 25,10,20,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 14 yards (tackle by Derion Kendrick),0.610,1.530
4,14:28,1,10,KAN 39,10,20,Ronald Jones left guard for 1 yard (tackle by Michael Hoecht and Bobby Brown),1.530,1.120
4,13:52,2,9,KAN 40,10,20,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 15 yards,1.120,2.590
4,13:15,1,10,LAR 45,10,20,Patrick Mahomes pass complete deep left to Marquez Valdes-Scantling for 23 yards (tackle by Nick Scott),2.590,4.110
4,12:33,1,10,LAR 22,10,20,Isiah Pacheco up the middle for 4 yards (tackle by Bobby Wagner and Michael Hoecht),4.110,4.130
4,11:53,2,6,LAR 18,10,20,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Ernest Jones),4.130,4.150
4,11:14,3,2,LAR 14,10,20,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Taylor Rapp and Ernest Jones),4.150,5.140
4,10:36,1,9,LAR 9,10,20,Patrick Mahomes pass complete short middle to Skyy Moore for 2 yards (tackle by Taylor Rapp),5.140,4.760
4,9:56,2,7,LAR 7,10,20,Patrick Mahomes pass incomplete short left intended for Jerick McKinnon,4.760,3.810
4,9:51,3,7,LAR 7,10,20,"Patrick Mahomes sacked by and Aaron Donald for no gain and Michael Hoecht for no gain. Penalty on Aaron Donald: Face Mask (15 Yards), 3 yards (accepted) (no play)",3.810,6.280
4,9:33,1,4,LAR 4,10,20,Isiah Pacheco up the middle for no gain (tackle by Bobby Wagner and Greg Gaines),6.280,5.340
4,9:02,,,,,,Timeout #1 by Los Angeles Rams,,
4,9:02,2,4,LAR 4,10,20,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by Jalen Ramsey),5.340,4.490
4,8:55,3,4,LAR 4,10,20,Patrick Mahomes pass short left intended for Travis Kelce is intercepted by Nick Scott in end zone and returned for no gain,4.490,-0.280
4,8:50,1,10,LAR 20,10,20,Kyren Williams up the middle for 4 yards (tackle by Frank Clark and Nick Bolton),0.280,0.270
4,8:19,2,6,LAR 24,10,20,Bryce Perkins pass short left intended for Van Jefferson is intercepted by L'Jarius Sneed at LA-35 and returned for 26 yards (tackle by Rob Havenstein),0.270,-5.140
4,8:09,1,9,LAR 9,10,20,Isiah Pacheco right guard for 4 yards (tackle by Bobby Wagner and Nick Scott),5.140,5.150
4,7:27,2,5,LAR 5,10,20,Isiah Pacheco up the middle for 1 yard (tackle by Ernest Jones and Greg Gaines),5.150,4.490
4,6:46,3,4,LAR 4,10,20,Patrick Mahomes pass incomplete short right intended for Travis Kelce (defended by Bobby Wagner),4.490,3.030
4,6:39,4,4,LAR 4,10,23,Harrison Butker 22 yard field goal good,3.030,3.000
4,6:36,,,KAN 35,10,23,"Harrison Butker kicks off 67 yards, returned by Brandon Powell for 29 yards (tackle by Jody Fortson and Leo Chenal)",0.000,0.740
4,6:31,1,10,LAR 27,10,23,Kyren Williams up the middle for 7 yards (tackle by Carlos Dunlap),0.740,1.140
4,6:12,2,3,LAR 34,10,23,Bryce Perkins pass complete short left to Brandon Powell for 5 yards (tackle by Nick Bolton),1.140,1.530
4,5:51,1,10,LAR 39,10,23,Bryce Perkins scrambles up the middle for 4 yards (tackle by Justin Reid),1.530,1.530
4,5:28,2,6,LAR 43,10,23,Bryce Perkins pass short right (defended by Carlos Dunlap) intended for Van Jefferson is intercepted by Nick Bolton at LA-42 and returned for 15 yards (tackle by Bryce Perkins and Matt Skura),1.530,-3.780
4,5:17,1,10,LAR 27,10,23,Isiah Pacheco left end for 8 yards (tackle by Nick Scott),3.780,4.350
4,4:35,2,2,LAR 19,10,23,Isiah Pacheco up the middle for no gain (tackle by Taylor Rapp),4.350,3.640
4,3:53,3,2,LAR 19,10,23,Isiah Pacheco left end for 2 yards (tackle by Bobby Wagner and Leonard Floyd),3.640,4.440
4,3:07,1,10,LAR 17,10,23,Isiah Pacheco left end for 2 yards (tackle by Michael Hoecht),4.440,4.150
4,2:27,2,8,LAR 15,10,23,"Isiah Pacheco right end for -1 yards (tackle by Troy Hill). Penalty on Ernest Jones: Unnecessary Roughness / Defense, 8 yards (accepted)",4.150,5.370
4,2:20,1,8,LAR 8,10,23,Isiah Pacheco right end for 3 yards (tackle by Jalen Ramsey),5.370,5.150
4,2:00,2,5,LAR 5,10,23,Isiah Pacheco right end for 1 yard (tackle by Troy Hill and Jonah Williams),5.150,4.490
4,1:54,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:54,3,4,LAR 4,10,23,Isiah Pacheco up the middle for 1 yard (tackle by Taylor Rapp and Troy Hill),4.490,3.040
4,1:47,,,,,,Timeout #3 by Los Angeles Rams,,
4,1:47,4,3,LAR 3,10,26,Harrison Butker 22 yard field goal good,3.040,3.000
4,1:44,,,KAN 35,10,26,"Harrison Butker kicks off 70 yards, returned by Brandon Powell for 21 yards (tackle by Deon Bush)",0.000,-0.140
4,1:40,1,10,LAR 16,10,26,Bryce Perkins pass complete short left to Ben Skowronek for 5 yards (tackle by L'Jarius Sneed),-0.140,0.150
4,1:19,2,5,LAR 21,10,26,Bryce Perkins pass incomplete short left intended for Lance McCutcheon (defended by Frank Clark),0.150,-0.700
4,1:14,3,5,LAR 21,10,26,Kyren Williams up the middle for 9 yards (tackle by Trent McDuffie),-0.700,0.940
4,0:52,1,10,LAR 30,10,26,Bryce Perkins pass incomplete short right intended for Brycen Hopkins,0.940,0.390
4,0:47,2,10,LAR 30,10,26,Bryce Perkins pass complete short right to Kyren Williams for 4 yards (tackle by L'Jarius Sneed),0.390,0.230
4,0:21,3,6,LAR 34,10,26,Bryce Perkins pass complete short right to Brycen Hopkins for 12 yards (tackle by Joshua Williams and Nick Bolton),0.230,1.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
