Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LVR 25,0,0,Aidan O'Connell pass complete short right to Michael Mayer for 17 yards (tackle by Xavien Howard),0.610,1.730
1,14:06,1,10,LVR 42,0,0,"Josh Jacobs left end for 7 yards. Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",1.730,1.070
1,13:55,1,20,LVR 32,0,0,Aidan O'Connell pass complete short right to Davante Adams for no gain (tackle by Raekwon Davis),1.070,-0.160
1,13:12,2,20,LVR 32,0,0,Aidan O'Connell pass complete short left to Davante Adams for 4 yards (tackle by Jalen Ramsey),-0.160,-0.290
1,12:24,3,16,LVR 36,0,0,"Aidan O'Connell pass complete short left to Michael Mayer for no gain. Michael Mayer fumbles (forced by Andrew Van Ginkel), recovered by Jevon Holland at LV-40, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Aidan O'Connell pass incomplete short left intended for Michael Mayer (defended by Andrew Van Ginkel)",-0.290,-0.980
1,12:20,4,16,LVR 36,0,0,"AJ Cole punts 50 yards, returned by Cedrick Wilson for 14 yards (tackle by Jesper Horsted). Penalty on Elijah Campbell: Defensive Illegal Blindside Block, 14 yards (accepted)",-0.980,0.280
1,12:06,1,10,MIA 14,0,0,De'Von Achane right tackle for 1 yard (tackle by John Jenkins),-0.280,-0.640
1,11:40,2,9,MIA 15,0,0,Tua Tagovailoa pass complete short right to Tyreek Hill for 5 yards (tackle by Marcus Peters),-0.640,-0.680
1,11:04,3,4,MIA 20,0,0,"Tua Tagovailoa scrambles up the middle for 6 yards (tackle by Luke Masterson) LVR challenged the fumble ruling, and the original play was overturned. Tua Tagovailoa scrambles up the middle for 7 yards. Tua Tagovailoa fumbles (forced by Luke Masterson), recovered by Marcus Epps at MIA-31 and returned for 1 yard",-0.680,-3.580
1,10:58,1,10,MIA 30,0,0,Josh Jacobs right guard for 2 yards (tackle by Bradley Chubb),3.580,3.300
1,10:21,2,8,MIA 28,0,0,Josh Jacobs left tackle for 1 yard (tackle by Bradley Chubb),3.300,2.740
1,9:38,3,7,MIA 27,0,0,Aidan O'Connell pass complete short right to Michael Mayer for 12 yards (tackle by Xavien Howard),2.740,4.580
1,9:14,1,10,MIA 15,0,0,"Aidan O'Connell pass complete short middle to Hunter Renfrow for no gain. Penalty on Michael Mayer: Offensive Pass Interference, 10 yards (accepted) (no play)",4.580,3.910
1,8:57,1,20,MIA 25,0,0,Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Xavien Howard),3.910,3.560
1,8:13,2,13,MIA 18,0,0,Aidan O'Connell pass complete short right to Davante Adams for -1 yards (tackle by Xavien Howard),3.560,2.790
1,7:30,3,14,MIA 19,0,0,Aidan O'Connell pass complete short left to Hunter Renfrow for 3 yards (tackle by Kader Kohou),2.790,2.380
1,6:46,4,11,MIA 16,3,0,Daniel Carlson 34 yard field goal good,2.380,3.000
1,6:41,,,LVR 35,3,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,6:41,1,10,MIA 25,3,0,Tua Tagovailoa pass complete short middle to De'Von Achane for 4 yards (tackle by Tyree Wilson and Marcus Peters),0.610,0.600
1,6:02,2,6,MIA 29,3,0,Raheem Mostert up the middle for 7 yards (tackle by John Jenkins and Divine Deablo),0.600,1.330
1,5:20,1,10,MIA 36,3,0,Tua Tagovailoa pass complete short right to Tyreek Hill for 1 yard (tackle by Marcus Peters),1.330,0.930
1,4:43,2,9,MIA 37,3,0,Raheem Mostert left end for -2 yards (tackle by Robert Spillane and Divine Deablo),0.930,-0.030
1,4:04,3,11,MIA 35,3,0,"Tua Tagovailoa sacked by Malcolm Koonce for no gain. Penalty on Jakorian Bennett: Defensive Holding, 5 yards (accepted) (no play)",-0.030,1.600
1,3:37,1,10,MIA 40,3,0,Raheem Mostert left end for 4 yards (tackle by Bilal Nichols and Marcus Epps),1.600,1.590
1,2:56,2,6,MIA 44,3,0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 18 yards (tackle by Nate Hobbs),1.590,3.050
1,2:14,1,10,LVR 38,3,0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle (defended by Nate Hobbs),3.050,2.510
1,2:10,2,10,LVR 38,3,6,"Tua Tagovailoa pass complete short right to Tyreek Hill for 38 yards, touchdown",2.510,7.000
1,2:03,,,LVR 15,3,7,Jason Sanders kicks extra point good,0.000,0.000
1,2:03,,,MIA 35,3,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,2:03,1,10,LVR 25,3,7,Aidan O'Connell pass complete deep right to Tre Tucker for 17 yards (tackle by Xavien Howard),0.610,1.730
1,1:24,1,10,LVR 42,3,7,Josh Jacobs left guard for 9 yards (tackle by Jevon Holland),1.730,2.400
1,0:48,2,1,MIA 49,3,7,Aidan O'Connell up the middle for 3 yards (tackle by Andrew Van Ginkel),2.400,2.520
1,0:08,1,10,MIA 46,9,7,"Aidan O'Connell pass complete deep left to Davante Adams for 46 yards, touchdown",2.520,7.000
1,0:01,,,MIA 15,10,7,Daniel Carlson kicks extra point good,0.000,0.000
1,0:01,,,LVR 35,10,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,0:01,1,10,MIA 25,10,7,Raheem Mostert right end for 10 yards (tackle by Divine Deablo),0.610,1.270
Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 35,10,7,Tua Tagovailoa pass incomplete short right intended for Raheem Mostert (defended by Maxx Crosby),1.270,0.720
2,14:58,2,10,MIA 35,10,7,Raheem Mostert left end for 3 yards (tackle by Robert Spillane and John Jenkins),0.720,0.430
2,14:14,3,7,MIA 38,10,7,Tua Tagovailoa pass complete deep right to Tyreek Hill for 21 yards (tackle by Marcus Peters),0.430,2.850
2,13:30,1,10,LVR 41,10,7,Tua Tagovailoa pass complete short right to Cedrick Wilson for 9 yards (tackle by Tre'von Moehrig),2.850,3.520
2,12:54,2,1,LVR 32,10,7,Salvon Ahmed up the middle for 3 yards (tackle by Isaiah Pola-Mao and Nate Hobbs),3.520,3.640
2,12:15,1,10,LVR 29,10,7,Tua Tagovailoa pass complete short right to Alec Ingold for 5 yards (tackle by Nate Hobbs),3.640,3.780
2,11:31,2,5,LVR 24,10,7,"Salvon Ahmed left guard for 1 yard (tackle by Tyree Wilson and Divine Deablo). Penalty on Tyree Wilson: Face Mask (15 Yards), 11 yards (accepted)",3.780,4.780
2,11:12,1,10,LVR 12,10,7,Tua Tagovailoa pass complete short left to Tyreek Hill for 1 yard (tackle by Nate Hobbs),4.780,4.270
2,10:41,2,9,LVR 11,10,7,Raheem Mostert left guard for 4 yards (tackle by Robert Spillane),4.270,4.160
2,10:04,,,,,,Timeout #1 by Las Vegas Raiders,,
2,10:04,3,5,LVR 7,10,7,"Penalty on Austin Jackson: False Start, 5 yards (accepted) (no play)",4.160,3.120
2,10:04,3,10,LVR 12,10,7,Tua Tagovailoa pass complete short right to Salvon Ahmed for 9 yards (tackle by Robert Spillane and Tyler Hall),3.120,3.060
2,9:14,4,1,LVR 3,10,7,Tua Tagovailoa pass complete short left to Tyreek Hill for -4 yards (tackle by Nate Hobbs and Isaiah Pola-Mao),3.060,0.380
2,9:08,1,10,LVR 7,10,7,Josh Jacobs left guard for 5 yards (tackle by Jerome Baker and David Long),-0.380,-0.420
2,8:29,2,5,LVR 12,10,7,Aidan O'Connell pass complete short right to Hunter Renfrow for -2 yards (tackle by Kader Kohou),-0.420,-1.070
2,7:45,3,7,LVR 10,10,7,Aidan O'Connell pass incomplete short left intended for Tre Tucker,-1.070,-2.490
2,7:39,4,7,LVR 10,10,7,"AJ Cole punts 53 yards, fair catch by Cedrick Wilson at MIA-37",-2.490,-1.400
2,7:31,1,10,MIA 37,10,7,Tua Tagovailoa pass complete short right to Jaylen Waddle for 9 yards (tackle by Tre'von Moehrig),1.400,2.070
2,7:00,2,1,MIA 46,10,7,Raheem Mostert up the middle for 4 yards (tackle by Tyler Hall and Robert Spillane),2.070,2.260
2,6:26,1,10,LVR 50,10,7,Tua Tagovailoa pass complete short left to Jaylen Waddle for 12 yards (tackle by Isaiah Pola-Mao),2.260,3.050
2,5:42,1,10,LVR 38,10,7,Tua Tagovailoa pass complete short right to Jaylen Waddle for 15 yards (tackle by Marcus Peters and Tre'von Moehrig),3.050,4.040
2,5:06,1,10,LVR 23,10,7,Tua Tagovailoa pass complete short left to Robbie Chosen for 9 yards (tackle by Isaiah Pola-Mao),4.040,4.950
2,4:29,2,1,LVR 14,10,7,Raheem Mostert left guard for 3 yards (tackle by Tre'von Moehrig),4.950,4.840
2,3:49,1,10,LVR 11,10,7,Tua Tagovailoa pass complete short right to Alec Ingold for 2 yards (tackle by Divine Deablo and Tre'von Moehrig),4.840,4.510
2,3:10,2,8,LVR 9,10,7,Tua Tagovailoa sacked by Maxx Crosby for -2 yards,4.510,3.130
2,2:33,3,10,LVR 11,10,13,"Tua Tagovailoa pass complete short right to Salvon Ahmed for 11 yards, touchdown",3.130,7.000
2,2:28,,,LVR 15,10,14,Jason Sanders kicks extra point good,0.000,0.000
2,2:28,,,MIA 35,10,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,2:28,1,10,LVR 25,10,14,Josh Jacobs right guard for 3 yards (tackle by Jaelan Phillips),0.610,0.470
2,2:00,2,7,LVR 28,10,14,Josh Jacobs left guard for 3 yards (tackle by Jaelan Phillips and Andrew Van Ginkel),0.470,0.170
2,1:22,3,4,LVR 31,10,14,Josh Jacobs up the middle for 1 yard (tackle by Bradley Chubb),0.170,-1.240
2,1:18,,,,,,Timeout #1 by Miami Dolphins,,
2,1:18,4,3,LVR 32,10,14,"Penalty on Curtis Bolton: False Start, 5 yards (accepted) (no play)",-1.240,-1.570
2,1:18,4,8,LVR 27,10,14,AJ Cole punts 61 yards out of bounds,-1.570,0.350
2,1:09,1,10,MIA 12,10,14,Raheem Mostert left end for 10 yards (tackle by Robert Spillane),-0.350,0.410
2,1:03,1,10,MIA 22,10,14,"Tua Tagovailoa pass complete short left to Julian Hill for 10 yards. Julian Hill fumbles (forced by Nate Hobbs) (tackle by Divine Deablo), recovered by Divine Deablo at MIA-32",0.410,-3.450
2,0:58,1,10,MIA 32,10,14,Josh Jacobs right tackle for 3 yards (tackle by Xavien Howard and Jaelan Phillips),3.450,3.310
2,0:18,2,7,MIA 29,10,14,Aidan O'Connell pass incomplete short left intended for Davante Adams (defended by Zach Sieler),3.310,2.610
2,0:13,3,7,MIA 29,10,14,Aidan O'Connell pass incomplete short right intended for Davante Adams (defended by Kader Kohou),2.610,1.500
2,0:09,4,7,MIA 29,13,14,Daniel Carlson 47 yard field goal good,1.500,3.000
2,0:05,,,LVR 35,13,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:05,1,10,MIA 25,13,14,Tua Tagovailoa pass complete deep right to Robbie Chosen for 30 yards (tackle by Nate Hobbs),0.610,2.590
Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,13,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIA 25,13,14,Tua Tagovailoa pass deep left intended for Jaylen Waddle is intercepted by Isaiah Pola-Mao at LV-32 and returned for no gain (tackle by Jaylen Waddle),0.610,-1.070
3,14:52,1,10,LVR 32,13,14,Josh Jacobs right end for no gain (tackle by David Long and Bradley Chubb),1.070,0.530
3,14:11,2,10,LVR 32,13,14,Aidan O'Connell pass complete short right to Michael Mayer for 9 yards (tackle by Jevon Holland),0.530,1.030
3,13:33,3,1,LVR 41,13,14,Josh Jacobs right tackle for -1 yards (tackle by Christian Wilkins and Jerome Baker),1.030,-0.720
3,12:51,4,2,LVR 40,13,14,"AJ Cole punts 47 yards, returned by Cedrick Wilson for 8 yards (tackle by Ameer Abdullah)",-0.720,-0.340
3,12:37,1,10,MIA 21,13,14,Raheem Mostert left tackle for 2 yards (tackle by Bilal Nichols and John Jenkins),0.340,0.000
3,11:53,2,9,MIA 23,13,14,Tua Tagovailoa pass complete deep right to Tyreek Hill for 31 yards (tackle by Marcus Peters),0.000,2.520
3,11:15,1,10,LVR 46,13,14,Raheem Mostert left guard for 2 yards (tackle by Robert Spillane and Jerry Tillery),2.520,2.250
3,10:38,2,8,LVR 44,13,14,Tua Tagovailoa pass complete short middle to Tyreek Hill for 10 yards (tackle by Luke Masterson),2.250,3.310
3,9:57,1,10,LVR 34,13,14,Raheem Mostert right guard for 1 yard (tackle by Maxx Crosby and Luke Masterson),3.310,2.910
3,9:18,2,9,LVR 33,13,14,Tua Tagovailoa pass complete short left to Cedrick Wilson for 2 yards (tackle by Tyler Hall and Maxx Crosby),2.910,2.480
3,8:34,3,7,LVR 31,13,14,Tua Tagovailoa pass incomplete deep left intended for Cedrick Wilson,2.480,1.320
3,8:27,4,7,LVR 31,13,14,Jason Sanders 50 yard field goal no good,1.320,-1.600
3,8:22,1,10,LVR 40,13,14,Aidan O'Connell pass deep middle intended for Tre Tucker is intercepted by Jalen Ramsey at MIA-44 and returned for 3 yards (tackle by Tre Tucker),1.600,-2.060
3,8:13,1,10,MIA 47,13,14,Raheem Mostert right guard for 7 yards (tackle by Tre'von Moehrig),2.060,2.460
3,7:37,2,3,LVR 46,13,14,Raheem Mostert up the middle for 1 yard (tackle by Bilal Nichols and Maxx Crosby),2.460,1.880
3,7:06,3,2,LVR 45,13,14,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 19 yards (tackle by Tre'von Moehrig and Isaiah Pola-Mao),1.880,3.840
3,6:22,1,10,LVR 26,13,14,Raheem Mostert right guard for 3 yards (tackle by Divine Deablo and Robert Spillane),3.840,3.700
