Quarter,Time,Tm,Detail,ATL,HOU
1.0,9:03,Falcons,Mohamed Sanu 14 yard pass from Matt Ryan (Matt Bryant kick),7,0
,4:09,Texans,Will Fuller 6 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,7
2.0,14:52,Falcons,Matt Bryant 35 yard field goal,10,7
,12:06,Texans,Will Fuller 33 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),10,13
,4:02,Texans,Ka'imi Fairbairn 50 yard field goal,10,16
,0:22,Falcons,Devonta Freeman 9 yard pass from Matt Ryan (Matt Bryant kick),17,16
3.0,11:51,Texans,Carlos Hyde 1 yard rush (Ka'imi Fairbairn kick),17,23
,7:37,Texans,Ka'imi Fairbairn 26 yard field goal,17,26
,1:58,Texans,Darren Fells 8 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),17,33
4.0,11:24,Falcons,Matt Ryan 1 yard rush (Austin Hooper pass from Matt Ryan),25,33
,6:24,Texans,Darren Fells 12 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),25,40
,3:22,Falcons,Calvin Ridley 29 yard pass from Matt Ryan (Matt Bryant kick),32,40
,1:51,Texans,Will Fuller 44 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),32,47
,0:24,Texans,Tashaun Gipson 79 yard interception return (Ka'imi Fairbairn kick failed),32,53
