Unnamed: 0,ATL,HOU
First Downs,22,31
Rush-Yds-TDs,20-57-1,34-166-1
Cmp-Att-Yd-TD-INT,32-46-330-3-1,28-33-426-5-0
Sacked-Yards,2-14,0-0
Net Pass Yards,316,426
Total Yards,373,592
Fumbles-Lost,1-0,5-1
Turnovers,1,1
Penalties-Yards,7-63,9-89
Third Down Conv.,9-16,10-13
Fourth Down Conv.,1-1,0-0
Time of Possession,29:00,31:00
