Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,BAL 20,0,0,Joe Flacco pass complete short left to Kyle Juszczyk for 9 yards (tackle by Adam Jones),0.280,0.950
1,14:36,2,1,BAL 29,0,0,Justin Forsett right guard for 4 yards (tackle by Adam Jones),0.950,1.140
1,14:08,1,10,BAL 33,0,0,Joe Flacco pass incomplete short middle intended for Justin Forsett (defended by Domata Peko),1.140,0.590
1,14:01,2,10,BAL 33,0,0,Justin Forsett left guard for -2 yards (tackle by Geno Atkins),0.590,-0.360
1,13:25,3,12,BAL 31,0,0,Joe Flacco pass complete short middle to Marlon Brown for 8 yards (tackle by Adam Jones and Reggie Nelson),-0.360,-0.780
1,12:49,4,4,BAL 39,0,0,"Sam Koch punts 46 yards, returned by Brandon Tate for 18 yards (tackle by Brynden Trawick)",-0.780,-1.140
1,12:45,1,10,CIN 33,0,0,Jeremy Hill left guard for 1 yard (tackle by C.J. Mosley and Brandon Williams),1.140,0.730
1,12:09,2,9,CIN 34,0,0,Jeremy Hill left guard for 3 yards (tackle by Lawrence Guy and Lardarius Webb),0.730,0.430
1,11:38,3,6,CIN 37,0,0,Andy Dalton pass complete deep left to Marvin Jones for 32 yards (tackle by Rashaan Melvin),0.430,3.510
1,10:56,1,10,BAL 31,0,0,"Andy Dalton pass incomplete deep middle intended for Mohamed Sanu. Penalty on Rashaan Melvin: Defensive Holding, 5 yards (no play)",3.510,3.840
1,10:51,1,10,BAL 26,0,0,Jeremy Hill left guard for 2 yards (tackle by Courtney Upshaw),3.840,3.570
1,10:11,2,8,BAL 24,0,0,Jeremy Hill left guard for 6 yards (tackle by Brandon Williams and Courtney Upshaw),3.570,3.750
1,9:58,3,2,BAL 18,0,0,Jeremy Hill right guard for 3 yards (tackle by Daryl Smith),3.750,4.580
1,9:45,1,10,BAL 15,0,0,"Andy Dalton pass incomplete short left intended for A.J. Green. Penalty on Rashaan Melvin: Illegal Use of Hands, 5 yards (no play)",4.580,4.910
1,9:20,1,10,BAL 10,0,0,"Jeremy Hill left guard for 2 yards (tackle by Lawrence Guy and C.J. Mosley). Penalty on A.J. Green: Illegal Formation, 5 yards (no play)",4.910,4.370
1,8:57,1,15,BAL 15,0,0,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Courtney Upshaw),4.370,3.460
1,8:51,2,15,BAL 15,0,0,"Penalty on Andy Dalton: Delay of Game, 5 yards (no play)",3.460,3.000
1,8:51,2,20,BAL 20,0,0,"Andy Dalton pass incomplete short middle intended for Tyler Eifert. Penalty on Will Hill: Defensive Pass Interference, 8 yards (no play)",3.000,4.780
1,8:47,1,10,BAL 12,0,0,Jeremy Hill right guard for 3 yards (tackle by Lawrence Guy),4.780,4.640
1,8:07,2,7,BAL 9,0,0,Jeremy Hill left end for 2 yards (tackle by C.J. Mosley),4.640,4.160
1,7:27,3,5,BAL 7,6,0,"Andy Dalton middle for 7 yards, touchdown",4.160,7.000
1,7:27,,,BAL 7,7,0,Mike Nugent kicks extra point good,0.000,0.000
1,7:27,,,CIN 35,7,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,7:20,1,10,BAL 20,7,0,Javorius Allen middle for 9 yards (tackle by A.J. Hawk),0.280,0.950
1,6:58,2,1,BAL 29,7,0,Javorius Allen right guard for 2 yards (tackle by Carlos Dunlap and Geno Atkins),0.950,1.000
1,6:22,1,10,BAL 31,7,0,Joe Flacco pass incomplete short left intended for Maxx Williams,1.000,0.460
1,6:15,2,10,BAL 31,7,0,"Joe Flacco pass complete short middle to Crockett Gillmore for -5 yards (tackle by A.J. Hawk). Penalty on BAL: Illegal Shift, 5 yards (no play)",0.460,-0.220
1,5:50,2,15,BAL 26,7,0,Joe Flacco pass complete short left to Steve Smith for 7 yards (tackle by Adam Jones),-0.220,0.040
1,5:15,3,8,BAL 33,7,0,Joe Flacco pass complete short right to Crockett Gillmore for 19 yards (tackle by Emmanuel Lamur),0.040,2.390
1,4:31,1,10,CIN 48,7,0,Michael Campanaro right end for 8 yards (tackle by Vincent Rey),2.390,2.930
1,4:01,2,2,CIN 40,7,0,Justin Forsett left guard for 3 yards (tackle by George Iloka),2.930,3.120
1,3:29,1,10,CIN 37,7,0,Joe Flacco pass complete short right to Steve Smith for 2 yards (tackle by Rey Maualuga),3.120,2.840
1,2:53,2,8,CIN 35,7,0,"Penalty on James Hurst: False Start, 5 yards (no play)",2.840,2.170
1,2:32,2,13,CIN 40,7,0,Joe Flacco pass complete short left to Steve Smith for 8 yards (tackle by Adam Jones),2.170,2.540
1,1:52,3,5,CIN 32,7,0,"Joe Flacco pass incomplete deep right intended for Kamar Aiken (defended by Dre Kirkpatrick). Penalty on Kelechi Osemele: Unnecessary Roughness (Offsetting), Penalty on Carlos Dunlap: Unnecessary Roughness (Offsetting)",2.540,1.260
1,1:46,4,5,CIN 32,7,0,Justin Tucker 50 yard field goal no good,1.260,-1.600
