Unnamed: 0,CIN,BAL
First Downs,23,19
Rush-Yds-TDs,31-86-1,18-36-0
Cmp-Att-Yd-TD-INT,20-32-383-3-1,32-49-362-2-1
Sacked-Yards,2-11,0-0
Net Pass Yards,372,362
Total Yards,458,398
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,9-67,13-116
Third Down Conv.,8-15,7-16
Fourth Down Conv.,1-2,2-3
Time of Possession,30:08,29:52
