Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 69 yards, returned by D.J. Reed for 23 yards (tackle by Anthony Sherman)",0.000,0.150
1,14:55,1,10,SFO 19,0,0,Jimmy Garoppolo pass incomplete short left intended for George Kittle (defended by Eric Murray),0.150,-0.390
1,14:50,2,10,SFO 19,0,0,Marquise Goodwin left end for -2 yards (tackle by Steven Nelson),-0.390,-1.420
1,14:07,3,12,SFO 17,0,0,Jimmy Garoppolo pass complete short right to Matt Breida for 7 yards (tackle by Kendall Fuller),-1.420,-1.770
1,13:27,4,5,SFO 24,0,0,Bradley Pinion punts 33 yards out of bounds,-1.770,-1.800
1,13:19,1,10,KAN 43,0,0,Kareem Hunt left tackle for 6 yards (tackle by Fred Warner),1.800,2.060
1,12:38,2,4,KAN 49,0,0,Tyreek Hill left guard for 5 yards (tackle by DeForest Buckner),2.060,2.520
1,11:58,1,10,SFO 46,0,0,Patrick Mahomes pass complete short left to Sammy Watkins for 9 yards (tackle by Adrian Colbert),2.520,3.190
1,11:58,2,1,SFO 37,0,0,Patrick Mahomes pass incomplete short right intended for Sammy Watkins,3.190,2.480
1,11:22,3,1,SFO 37,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for 9 yards (tackle by Antone Exum),2.480,3.710
1,10:45,,,,,,Timeout #1 by Kansas City Chiefs,,
1,10:45,1,10,SFO 28,0,0,Patrick Mahomes pass incomplete short right intended for Chris Conley (defended by Reuben Foster),3.710,3.170
1,10:40,2,10,SFO 28,0,0,Patrick Mahomes pass incomplete short left intended for Kareem Hunt (defended by Fred Warner),3.170,2.480
1,10:32,3,10,SFO 28,0,0,"Penalty on Travis Kelce: False Start, 5 yards (no play)",2.480,1.820
1,10:32,3,15,SFO 33,0,0,Patrick Mahomes pass complete short right to Spencer Ware for 14 yards (tackle by Cassius Marsh and Fred Warner),1.820,2.340
1,9:59,4,1,SFO 19,0,0,Patrick Mahomes right guard for 2 yards (tackle by Cassius Marsh),2.340,4.440
1,9:15,1,10,SFO 17,0,0,Patrick Mahomes pass complete short right to Anthony Sherman for 16 yards (tackle by Jimmie Ward and Antone Exum),4.440,6.970
1,8:27,1,1,SFO 1,0,6,"Kareem Hunt up the middle for 1 yard, touchdown",6.970,7.000
1,8:24,,,SFO 15,0,7,Harrison Butker kicks extra point good,0.000,0.000
1,8:24,,,KAN 35,0,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,8:24,1,10,SFO 25,0,7,Matt Breida left tackle for 26 yards (tackle by Eric Murray),0.610,2.320
1,8:02,1,10,KAN 49,0,7,Jimmy Garoppolo pass complete short middle to Marquise Goodwin for 13 yards (tackle by Eric Murray),2.320,3.180
1,7:23,1,10,KAN 36,0,7,Jimmy Garoppolo pass incomplete short middle intended for Pierre Garcon,3.180,2.640
1,7:18,2,10,KAN 36,0,7,Alfred Morris up the middle for -1 yards (tackle by Allen Bailey),2.640,1.820
1,6:37,3,11,KAN 37,0,7,Jimmy Garoppolo sacked by Dee Ford for -7 yards,1.820,0.330
1,5:54,4,18,KAN 44,0,7,"Bradley Pinion punts 33 yards, returned by Tyreek Hill for 5 yards (tackle by Garrett Celek)",0.330,0.140
1,5:46,1,10,KAN 16,0,7,"Patrick Mahomes pass complete short left to Chris Conley for 9 yards (tackle by Jimmie Ward). Penalty on Antone Exum: Unnecessary Roughness, 15 yards",-0.140,1.600
1,5:16,1,10,KAN 40,0,7,Sammy Watkins right end for 11 yards (tackle by Ronald Blair),1.600,2.320
1,4:32,1,10,SFO 49,0,7,Patrick Mahomes pass incomplete deep middle intended for Tyreek Hill (defended by Richard Sherman),2.320,1.780
1,4:24,2,10,SFO 49,0,7,Patrick Mahomes pass complete short middle to Travis Kelce for 17 yards (tackle by Richard Sherman),1.780,3.450
1,3:40,1,10,SFO 32,0,7,"Kareem Hunt right guard for 1 yard (tackle by Malcolm Smith). Penalty on Arik Armstead: Illegal Use of Hands, 5 yards",3.450,3.840
1,3:16,1,10,SFO 26,0,7,Patrick Mahomes pass incomplete deep right intended for Demetrius Harris,3.840,3.300
1,3:11,2,10,SFO 26,0,7,Patrick Mahomes sacked by Antone Exum for -6 yards,3.300,1.820
1,2:29,3,16,SFO 32,0,7,"Patrick Mahomes pass incomplete deep left intended for Chris Conley. Penalty on K'Waun Williams: Defensive Pass Interference, 31 yards (no play)",1.820,6.970
1,2:23,1,1,SFO 1,0,13,"Kareem Hunt up the middle for 1 yard, touchdown",6.970,7.000
1,2:20,,,SFO 15,0,14,Harrison Butker kicks extra point good,0.000,0.000
1,2:20,,,KAN 35,0,14,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,2:20,1,10,SFO 25,0,14,"Jimmy Garoppolo pass incomplete deep left intended for Kyle Juszczyk. Penalty on Anthony Hitchens: Defensive Pass Interference, 18 yards (no play)",0.610,1.800
1,2:14,1,10,SFO 43,0,14,Matt Breida left guard for 1 yard (tackle by Reggie Ragland),1.800,1.390
1,1:39,2,9,SFO 44,0,14,Jimmy Garoppolo pass complete short middle to Matt Breida for 7 yards (tackle by Anthony Hitchens),1.390,1.620
1,1:00,3,2,KAN 49,0,14,Alfred Morris left guard for 3 yards (tackle by Anthony Hitchens),1.620,2.520
1,0:18,1,10,KAN 46,0,14,"Alfred Morris right guard for no gain (tackle by Anthony Hitchens). Penalty on Michael Person: Chop Block, 15 yards (no play)",2.520,1.530
Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,25,SFO 39,0,14,Matt Breida right guard for 4 yards (tackle by Anthony Hitchens),1.530,0.490
2,14:25,2,21,SFO 43,0,14,"Penalty on Joe Staley: False Start, 5 yards (no play)",0.490,-0.180
2,14:04,2,26,SFO 38,0,14,Jimmy Garoppolo pass complete short middle to Trent Taylor for 10 yards (tackle by Ron Parker),-0.180,0.500
2,13:20,3,16,SFO 48,0,14,Jimmy Garoppolo pass complete short left to George Kittle for 15 yards (tackle by Armani Watts and Terrance Smith),0.500,0.790
2,12:35,4,1,KAN 37,0,14,Alfred Morris left guard for 2 yards (tackle by Chris Jones),0.790,3.250
2,12:01,1,10,KAN 35,6,14,"Jimmy Garoppolo pass complete deep right to Kyle Juszczyk for 35 yards, touchdown",3.250,7.000
2,11:52,,,KAN 15,7,14,Robbie Gould kicks extra point good,0.000,0.000
2,11:52,,,SFO 35,7,14,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,11:52,1,10,KAN 25,7,14,Patrick Mahomes pass complete deep right to Travis Kelce for 25 yards (tackle by Adrian Colbert and Richard Sherman),0.610,2.260
2,11:12,1,10,KAN 50,7,14,Patrick Mahomes pass complete deep middle to Tyreek Hill for 42 yards (tackle by Adrian Colbert),2.260,5.370
2,10:24,1,8,SFO 8,7,14,Kareem Hunt left guard for 4 yards (tackle by Earl Mitchell and DeForest Buckner),5.370,5.340
2,9:47,2,4,SFO 4,7,14,Patrick Mahomes right guard for no gain (tackle by Fred Warner),5.340,4.490
2,9:04,3,4,SFO 4,7,20,"Patrick Mahomes pass complete short right to Chris Conley for 4 yards, touchdown",4.490,7.000
2,8:54,,,SFO 15,7,21,Harrison Butker kicks extra point good,0.000,0.000
2,8:54,,,KAN 35,7,21,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,8:54,1,10,SFO 25,7,21,Jimmy Garoppolo pass incomplete deep middle intended for Marquise Goodwin,0.610,0.060
2,8:47,2,10,SFO 25,7,21,Matt Breida right guard for -1 yards (tackle by Justin Houston),0.060,-0.760
2,8:04,3,11,SFO 24,7,21,Jimmy Garoppolo pass complete short right to Trent Taylor for 5 yards (tackle by Kendall Fuller),-0.760,-1.440
2,7:20,4,6,SFO 29,7,21,"Bradley Pinion punts 43 yards, fair catch by Tyreek Hill at KC-28",-1.440,-0.810
2,7:12,1,10,KAN 28,7,21,"Sammy Watkins left end for 9 yards (tackle by Antone Exum). Sammy Watkins fumbles (forced by Antone Exum), recovered by Tyreek Hill at KC-37 (tackle by Reuben Foster)",0.810,1.480
2,6:25,2,1,KAN 37,7,21,Kareem Hunt up the middle for 2 yards (tackle by Arik Armstead),1.480,1.530
2,5:43,1,10,KAN 39,7,21,Patrick Mahomes pass incomplete deep right intended for Demarcus Robinson,1.530,0.990
2,5:35,2,10,KAN 39,7,21,"Patrick Mahomes left end for 7 yards (tackle by Reuben Foster). Penalty on Reuben Foster: Unnecessary Roughness, 15 yards",0.990,2.980
2,5:35,1,10,SFO 39,7,21,"Penalty on SFO: Defensive Too Many Men on Field, 5 yards (no play)",2.980,3.710
2,4:49,1,5,SFO 34,7,21,Patrick Mahomes pass incomplete short left intended for Tyreek Hill (defended by Sheldon Day),3.710,3.120
2,4:45,2,5,SFO 34,7,21,Tyreek Hill left end for no gain (tackle by Antone Exum),3.120,2.410
2,4:14,3,5,SFO 34,7,21,"Patrick Mahomes aborted snap, recovered by Patrick Mahomes at SF-39 Patrick Mahomes pass complete deep middle to Travis Kelce for 21 yards (tackle by Fred Warner). Penalty on Cassius Marsh: Defensive Offside (Declined)",2.410,4.710
2,3:42,1,10,SFO 13,7,27,"Patrick Mahomes pass complete short middle to Demetrius Harris for 13 yards, touchdown",4.710,7.000
2,3:37,,,SFO 15,7,28,Harrison Butker kicks extra point good,0.000,0.000
2,3:37,,,KAN 35,7,28,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,3:37,1,10,SFO 25,7,28,"Jimmy Garoppolo sacked by Justin Houston for no gain. Jimmy Garoppolo fumbles (forced by Justin Houston), recovered by Laken Tomlinson at SF-26. Penalty on Steven Nelson: Defensive Holding, 5 yards",0.610,1.000
2,3:18,1,10,SFO 31,7,28,Matt Breida right end for -1 yards (tackle by Justin Houston),1.000,0.320
2,2:47,2,11,SFO 30,7,28,"Jimmy Garoppolo right end for 9 yards (tackle by Chris Jones). Penalty on Alfred Morris: Illegal Block Above the Waist, 10 yards",0.320,0.190
2,2:20,2,12,SFO 29,7,28,Jimmy Garoppolo pass incomplete deep right intended for Pierre Garcon,0.190,-0.490
2,2:15,3,12,SFO 29,7,28,Jimmy Garoppolo pass incomplete short right intended for Kendrick Bourne (defended by Orlando Scandrick),-0.490,-1.440
2,2:09,4,12,SFO 29,7,28,Bradley Pinion punts 39 yards out of bounds,-1.440,-1.070
2,2:00,1,10,KAN 32,7,28,Spencer Ware right end for 1 yard (tackle by Reuben Foster),1.070,0.660
2,1:37,2,9,KAN 33,7,28,Patrick Mahomes pass incomplete short left intended for Travis Kelce,0.660,-0.030
2,1:32,3,9,KAN 33,7,28,Patrick Mahomes pass complete short right to Travis Kelce for 16 yards (tackle by Reuben Foster),-0.030,2.190
2,1:25,1,10,KAN 49,7,28,Patrick Mahomes pass complete short right to Spencer Ware for 15 yards (tackle by Ahkello Witherspoon),2.190,3.180
2,1:18,1,10,SFO 36,7,28,Patrick Mahomes sacked by Arik Armstead for -1 yards,3.180,2.500
2,1:10,2,11,SFO 37,7,28,Patrick Mahomes pass complete short right to Damien Williams for 9 yards (tackle by D.J. Reed),2.500,3.010
2,1:04,3,2,SFO 28,7,28,"Patrick Mahomes pass incomplete deep middle intended for Travis Kelce. Penalty on DeForest Buckner: Defensive Offside, 5 yards (no play)",3.010,4.040
2,0:59,1,10,SFO 23,7,28,"Patrick Mahomes up the middle for no gain (tackle by Malcolm Smith). Penalty on Laurent Duvernay-Tardif: Offensive Holding, 10 yards (no play)",4.040,3.380
2,0:53,1,20,SFO 33,7,28,Patrick Mahomes pass complete short right to Travis Kelce for 14 yards (tackle by Ahkello Witherspoon),3.380,4.050
2,0:46,2,6,SFO 19,7,28,Patrick Mahomes pass complete short right to Damien Williams for 7 yards (tackle by Ahkello Witherspoon),4.050,4.780
2,0:41,1,10,SFO 12,7,34,"Patrick Mahomes pass complete short left to Sammy Watkins for 12 yards, touchdown",4.780,7.000
2,0:34,,,SFO 15,7,35,Harrison Butker kicks extra point good,0.000,0.000
2,0:34,,,KAN 35,7,35,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,0:34,1,10,SFO 25,7,35,Jimmy Garoppolo pass complete short left to Kendrick Bourne for 27 yards (tackle by Ron Parker),0.610,2.390
2,0:26,,,,,,Timeout #1 by San Francisco 49ers,,
2,0:26,1,10,KAN 48,7,35,Jimmy Garoppolo pass complete short middle to Trent Taylor for 9 yards (tackle by Terrance Smith and Reggie Ragland),2.390,3.060
2,0:21,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:21,2,1,KAN 39,7,35,Jimmy Garoppolo pass complete short right to George Kittle for 15 yards (tackle by Kendall Fuller and Ron Parker),3.060,3.970
2,0:13,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:13,1,10,KAN 24,7,35,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 3 yards (tackle by Orlando Scandrick),3.970,3.840
2,0:09,2,7,KAN 21,7,35,Jimmy Garoppolo pass incomplete short right intended for Kyle Juszczyk,3.840,3.140
2,0:04,3,7,KAN 21,10,35,Robbie Gould 39 yard field goal good,3.140,3.000
Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,10,35,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,10,35,Patrick Mahomes pass complete short right to Travis Kelce for no gain (tackle by Reuben Foster),0.610,0.060
3,14:23,2,10,KAN 25,10,35,Kareem Hunt up the middle for 3 yards (tackle by D.J. Jones and Fred Warner),0.060,-0.230
3,13:41,3,7,KAN 28,10,35,Patrick Mahomes pass complete short right to Travis Kelce for 13 yards (tackle by Fred Warner),-0.230,1.660
3,13:01,1,10,KAN 41,10,35,Patrick Mahomes pass incomplete short right intended for Travis Kelce,1.660,1.120
3,12:54,2,10,KAN 41,10,35,Patrick Mahomes pass complete short right to Marcus Kemp for 7 yards (tackle by Reuben Foster),1.120,1.360
3,12:08,3,3,KAN 48,10,35,"Penalty on Mitch Morse: False Start, 5 yards (no play)",1.360,0.700
3,11:54,3,8,KAN 43,10,35,"Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by D.J. Reed). Penalty on Cassius Marsh: Defensive Offside, 5 yards (no play)",0.700,1.360
3,11:47,3,3,KAN 48,10,35,Patrick Mahomes pass incomplete short right intended for Demetrius Harris,1.360,-0.190
3,11:43,4,3,KAN 48,10,35,"Dustin Colquitt punts 39 yards, fair catch by Dante Pettis at SF-13",-0.190,0.320
3,11:36,1,10,SFO 13,10,35,Jimmy Garoppolo pass complete short right to Pierre Garcon for 11 yards (tackle by Ron Parker),-0.320,0.540
3,10:59,1,10,SFO 24,10,35,Jimmy Garoppolo pass incomplete deep left intended for Pierre Garcon,0.540,0.000
3,10:51,2,10,SFO 24,10,35,"Jimmy Garoppolo for 21 yards. Jimmy Garoppolo fumbles, recovered by Jimmy Garoppolo at SF-22 Matt Breida lateral for 21 yards (tackle by Eric Murray)",0.000,1.930
3,10:13,1,10,SFO 45,10,35,Jimmy Garoppolo pass incomplete short right intended for George Kittle,1.930,1.380
3,10:13,2,10,SFO 45,10,35,Matt Breida right end for 21 yards (tackle by Ron Parker),1.380,3.310
3,9:51,1,10,KAN 34,10,35,Jimmy Garoppolo pass complete short left to George Kittle for 23 yards (tackle by Jarvis Jenkins),3.310,4.840
3,9:04,1,10,KAN 11,16,35,"Jimmy Garoppolo pass complete short right to Marquise Goodwin for 11 yards, touchdown",4.840,7.000
3,8:59,,,KAN 15,16,35,Robbie Gould kicks extra point no good hit left upright,0.000,-1.000
3,8:59,,,SFO 35,16,35,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,8:59,1,10,KAN 25,16,35,Kareem Hunt right end for -5 yards (tackle by Ronald Blair),0.610,-0.610
3,8:23,2,15,KAN 20,16,35,Patrick Mahomes pass incomplete short right intended for Sammy Watkins,-0.610,-1.290
3,8:17,3,15,KAN 20,16,35,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,-1.290,-2.030
3,8:09,4,15,KAN 20,16,35,"Dustin Colquitt punts 48 yards, returned by Dante Pettis for 1 yard (tackle by Armani Watts). Penalty on Elijah Lee: Illegal Block Above the Waist, 10 yards",-2.030,-0.480
3,7:55,1,10,SFO 23,16,35,Alfred Morris right guard for 6 yards (tackle by Derrick Nnadi),0.480,0.740
3,7:35,2,4,SFO 29,16,35,Alfred Morris right guard for -1 yards (tackle by Reggie Ragland and Derrick Nnadi),0.740,-0.100
3,6:56,3,5,SFO 28,16,35,"Jimmy Garoppolo sacked by Dee Ford for no gain. Penalty on Chris Jones: Defensive Offside, 5 yards (no play)",-0.100,1.140
3,6:33,1,10,SFO 33,16,35,Jimmy Garoppolo pass incomplete short left intended for Trent Taylor,1.140,0.590
3,6:28,2,10,SFO 33,16,35,Alfred Morris right end for 4 yards (tackle by Anthony Hitchens),0.590,0.430
3,5:44,3,6,SFO 37,16,35,Jimmy Garoppolo pass complete deep left to George Kittle for 18 yards,0.430,2.590
3,5:15,1,10,KAN 45,16,35,Alfred Morris left end for 16 yards (tackle by Kendall Fuller and Breeland Speaks),2.590,3.640
