Unnamed: 0,SFO,KAN
First Downs,26,31
Rush-Yds-TDs,29-178-1,28-77-2
Cmp-Att-Yd-TD-INT,20-30-251-2-0,24-38-314-3-0
Sacked-Yards,4-23,2-7
Net Pass Yards,228,307
Total Yards,406,384
Fumbles-Lost,3-0,2-0
Turnovers,0,0
Penalties-Yards,14-147,6-48
Third Down Conv.,2-9,7-11
Fourth Down Conv.,2-2,1-1
Time of Possession,29:59,30:01
