Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alfred Morris,SFO,14,67,1,6,41,2.9,26,1.9,1,14.0
Matt Breida,SFO,10,90,0,4,42,4.2,48,4.8,0,
Jimmy Garoppolo,SFO,3,23,0,1,-14,-4.7,37,12.3,0,
Marquise Goodwin,SFO,1,-2,0,0,-2,-2.0,0,0.0,0,
Raheem Mostert,SFO,1,0,0,,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kareem Hunt,KAN,18,44,2,6,13,0.7,31,1.7,2,9.0
Patrick Mahomes,KAN,5,7,0,1,6,1.2,1,0.2,0,
Tyreek Hill,KAN,2,5,0,1,4,2.0,1,0.5,0,
Sammy Watkins,KAN,2,20,0,1,4,2.0,16,8.0,1,2.0
Spencer Ware,KAN,1,1,0,0,0,0.0,1,1.0,0,
