Unnamed: 0,CIN,SEA
First Downs,24,19
Rush-Yds-TDs,30-84-1,25-102-0
Cmp-Att-Yd-TD-INT,27-43-342-1-2,24-37-248-3-2
Sacked-Yards,2-14,2-10
Net Pass Yards,328,238
Total Yards,412,340
Fumbles-Lost,2-2,1-0
Turnovers,4,2
Penalties-Yards,10-72,3-20
Third Down Conv.,11-18,5-12
Fourth Down Conv.,0-0,1-1
Time of Possession,33:22,26:38
