Unnamed: 0,OAK,SEA
First Downs,17,21
Rush-Yds-TDs,18-37-0,38-149-2
Cmp-Att-Yd-TD-INT,24-41-194-2-2,17-35-179-0-0
Sacked-Yards,1-5,1-2
Net Pass Yards,189,177
Total Yards,226,326
Fumbles-Lost,4-1,0-0
Turnovers,3,0
Penalties-Yards,5-69,9-65
Third Down Conv.,5-15,7-18
Fourth Down Conv.,2-2,0-0
Time of Possession,24:54,35:06
