Unnamed: 0,CIN,BAL
First Downs,21,18
Rush-Yds-TDs,31-120-0,30-85-0
Cmp-Att-Yd-TD-INT,24-51-274-2-3,20-36-140-2-2
Sacked-Yards,5-30,5-36
Net Pass Yards,244,104
Total Yards,364,189
Fumbles-Lost,1-0,1-1
Turnovers,3,3
Penalties-Yards,9-134,8-65
Third Down Conv.,5-19,3-16
Fourth Down Conv.,3-5,0-0
Time of Possession,37:58,31:35
