Quarter,Time,Tm,Detail,CIN,BAL
1,9:42,Ravens,Dallas Clark 1 yard pass from Joe Flacco (Justin Tucker kick),0,7
,4:39,Ravens,Justin Tucker 36 yard field goal,0,10
2,6:30,Ravens,Torrey Smith 7 yard pass from Joe Flacco (Justin Tucker kick),0,17
3,10:37,Bengals,Mike Nugent 32 yard field goal,3,17
4,8:22,Bengals,Giovani Bernard 18 yard pass from Andy Dalton (Mike Nugent kick),10,17
,0:00,Bengals,A.J. Green 51 yard pass from Andy Dalton (Mike Nugent kick),17,17
OT,5:27,Ravens,Justin Tucker 46 yard field goal,17,20
