Quarter,Time,Tm,Detail,ARI,CAR
1.0,7:21,Panthers,Mike Davis 1 yard rush (Joey Slye kick),0,7
,1:29,Panthers,Teddy Bridgewater 18 yard rush (Joey Slye kick),0,14
2.0,7:26,Cardinals,Jordan Thomas 3 yard pass from Kyler Murray (Zane Gonzalez kick),7,14
,1:55,Panthers,Reggie Bonnafon 3 yard pass from Teddy Bridgewater (Joey Slye kick),7,21
3.0,5:26,Panthers,Ian Thomas 2 yard pass from Teddy Bridgewater (Joey Slye kick),7,28
,1:15,Cardinals,Christian Kirk 3 yard pass from Kyler Murray (Zane Gonzalez kick),14,28
4.0,7:45,Panthers,Joey Slye 27 yard field goal,14,31
,2:13,Cardinals,Chase Edmonds 2 yard pass from Kyler Murray (Zane Gonzalez kick),21,31
