Unnamed: 0,ARI,CAR
First Downs,21,30
Rush-Yds-TDs,23-129-0,35-168-2
Cmp-Att-Yd-TD-INT,24-31-133-3-0,26-37-276-2-1
Sacked-Yards,1-0,0-0
Net Pass Yards,133,276
Total Yards,262,444
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,5-29,10-72
Third Down Conv.,3-9,7-11
Fourth Down Conv.,0-0,1-1
Time of Possession,22:52,37:08
