Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA
2,14:21,1,10,CAR 13,0,14,"Reggie Bonnafon up the middle for 4 yards (tackle by Curtis Riley). Penalty on Seth Roberts: Offensive Holding, 6 yards (no play)",-0.320,-0.610
2,13:50,1,16,CAR 7,0,14,"Teddy Bridgewater pass incomplete short left intended for Curtis Samuel. Penalty on Deionte Thompson: Defensive Holding, 5 yards (no play)",-0.610,-0.350
2,13:46,1,10,CAR 12,0,14,Reggie Bonnafon left guard for 2 yards (tackle by Chandler Jones and De'Vondre Campbell),-0.350,-0.610
2,13:05,2,8,CAR 14,0,14,Teddy Bridgewater pass deep right intended for Ian Thomas is intercepted by Patrick Peterson at CAR-38 and returned for no gain,-0.610,-3.050
2,12:58,1,10,CAR 38,0,14,Kenyan Drake left guard for 3 yards (tackle by Donte Jackson and Brian Burns),3.050,2.910
2,12:25,2,7,CAR 35,0,14,Kyler Murray pass complete short right to Dan Arnold for 8 yards (tackle by Juston Burris and Tahir Whitehead),2.910,3.780
2,11:42,1,10,CAR 27,0,14,Kyler Murray pass complete short left to DeAndre Hopkins for 3 yards (tackle by Rasul Douglas),3.780,3.640
2,11:16,2,7,CAR 24,0,14,Kyler Murray pass complete short right to Christian Kirk for 8 yards (tackle by Rasul Douglas),3.640,4.510
2,10:48,1,10,CAR 16,0,14,Kenyan Drake right end for no gain (tackle by Tre Boston),4.510,3.900
2,10:16,2,10,CAR 16,0,14,Chase Edmonds up the middle for 3 yards (tackle by Yetur Gross-Matos),3.900,3.540
2,9:30,3,7,CAR 13,0,14,Kyler Murray pass complete short right to Chase Edmonds for 7 yards (tackle by Jeremy Chinn),3.540,5.830
2,8:42,,,,,,Timeout #1 by Arizona Cardinals,,
2,8:42,1,6,CAR 6,0,14,Kenyan Drake right end for 3 yards (tackle by Shaq Thompson and Troy Pride),5.830,5.530
2,8:10,2,3,CAR 3,0,14,"Kyler Murray pass incomplete short right. Penalty on Rasul Douglas: Defensive Holding, 2 yards (no play)",5.530,6.970
